fit_id,year,month,day_idx,day,model_variant,model_family,model_label,smooth,gc_alpha,gc_beta,nugget_mode,loss,direction,bin_idx,k_min,k_max,k_mid,data_spectrum_mean,expected_spectrum_mean,expected_spectrum_profile_mean,continuous_spectrum_mean,continuous_spectrum_profile_mean,ratio_I_over_EI_mean,ratio_I_over_EI_median,ratio_I_over_EI_p10,ratio_I_over_EI_p90,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_median,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_EI_over_continuous_mean,ratio_EI_over_continuous_median,whitened_ratio_mean,whitened_ratio_median,n,global_scale,profile_sigmasq,strategy,loss_label
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,0,0.0,0.17290287070878946,0.08645143535439473,782.0550347174168,879.647544838392,820.0480732239772,2209.7583859276474,2060.0388386275904,0.9438904151812778,0.9945649486191777,0.8729460683682176,0.9945649486191777,1.0124905032048366,1.0668479614807065,0.9363900616186189,1.0668479614807065,0.7439950743204463,0.9577265773038585,1.260900576830131,1.4708158753781533,3,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,1,0.17290287070878946,0.3458057414175789,0.2593543060631842,101.07792736507369,130.88015456739421,122.01252559167449,112.78004132273892,105.13876396008565,0.9900886515979739,0.7083757820445502,0.18038939400100407,2.1357680023471257,1.0620463360477133,0.7598591324636568,0.19349973828245196,2.2909913954470285,1.15718137114898,1.051920204545982,1.159823548183685,1.0780421567810217,14,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,2,0.3458057414175789,0.5187086121263684,0.4322571767719737,37.239363459908134,42.48282639616581,39.604453096819455,36.5293104366559,34.05431051965664,0.8345405609709122,0.7689015731321942,0.47586181292802127,1.2641419418526492,0.8951933179234659,0.8247838183059537,0.5104465080672799,1.3560172772629677,1.1729470420959336,1.0708134009770909,0.8700614039721951,0.7705036364555127,26,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,3,0.5187086121263684,0.6916114828351578,0.6051600474807631,21.15833752665076,20.464106307481728,19.077585160297495,17.425463618649474,16.24482208738877,1.0050782470202342,0.8257380822118703,0.3637653338235304,1.7258175886938032,1.0781253456104989,0.8857510924226586,0.3902030786282819,1.8512465967574816,1.182864119551473,1.120036201470108,0.8308367879794819,0.7751998032057115,32,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,4,0.6916114828351578,0.8645143535439472,0.7780629181895525,6.945691846074539,11.541206400142602,10.759245707729402,9.779905154806873,9.117279330309554,0.5965565305231649,0.5237813750272113,0.32174902222059565,0.9893653640064286,0.6399130789600495,0.5618487691378578,0.3451331046212925,1.0612704813449354,1.1938261808380843,1.1038111574713652,0.6870933123982002,0.672660956833657,46,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,5,0.8645143535439472,1.0374172242527369,0.950965788898342,4.88946158585434,7.254945189839226,6.7633950201796305,6.086688760195864,5.6742924133661585,0.6727992681077066,0.5768963220551198,0.3642930517143043,1.1904251973266313,0.721696987876914,0.6188240054354495,0.3907691500113431,1.2769429455828054,1.2116233607227274,1.1186972377724773,0.7864822924883751,0.803449308357794,50,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,6,1.0374172242527369,1.2103200949615263,1.1238686596071314,4.491413663391112,4.979528864810735,4.642146817906971,4.27756837424347,3.98774682424269,0.8747051873701984,0.7130275179286382,0.40783281596989984,1.4621601790576944,0.938277029909499,0.7648489473090079,0.43747329819585606,1.5684270881973927,1.1884621421847756,1.0980507484417936,0.9140204129936171,0.8479474288172825,58,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,7,1.2103200949615263,1.3832229656703157,1.296771530315921,2.6568221759167527,3.5657491714816305,3.324156083685443,3.158819782228958,2.9447977104904473,0.7387035611143444,0.651384171177267,0.3281003789604393,1.4251155254320973,0.7923910745170825,0.6987254840682677,0.35194606540373957,1.5286901024338215,1.1317912606203024,1.1036524808581452,0.8369319158616862,0.7436198549049242,66,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,8,1.3832229656703157,1.556125836379105,1.4696744010247103,2.3942116323136835,2.7645927946524513,2.5772811028764275,2.329738927706083,2.171890241711824,0.8623965680966723,0.7739715566045853,0.3790814039100584,1.4008173905881163,0.925073844538011,0.8302222781468828,0.4066322903880507,1.502626027219755,1.1938576419381712,1.1097921351216922,0.9568042408545155,0.8513896093929919,82,0.9322461911431078,21.793371475209845,standard_432,1.19013
1,2024,7,0,2024-07-01,gc_a075_b1,cauchy,GC a=0.75 b=1 nugget0,,0.75,1.0,zero,1.190131368975791,norm,9,1.556125836379105,1.7290287070878945,1.6425772717334999,1.7714635633419362,2.073473960015487,1.9329882016588544,1.7619774508860986,1.6425967674686084,0.8428093335569239,0.8288829301496652,0.4030958134721773,1.413573652640871,0.9040630485424481,0.8891245016869418,0.4323920197280791,1.516309389162069,1.1876848859179108,1.0959126570899493,0.9045498322883848,0.8617095454810817,98,0.9322461911431078,21.793371475209845,standard_432,1.19013
