residual_mode,model,semivariogram_rmse,asymmetry_rmse,log_interaction_rmse,n_surface_cells
fitted_gls,truth,0.10836748549339952,0.12150543337303903,0.38652866468331065,338
fitted_gls,fitted,0.11215356877608001,0.09239219051812998,0.38053029755094075,338
fitted_gls,no_advection,1.3578859005226152,1.9679535116713485,0.8309363198851974,338
fitted_gls,reversed_advection,1.961067721155547,3.928405275248134,1.2690463597558186,338
fitted_gls,separable_same_margins,1.194886249192611,1.9687294577173473,1.0383128659343215,338
truth_mean,truth,0.10673735310696028,0.12376102850800252,0.41046561047145647,338
truth_mean,fitted,0.12365610839533324,0.09267179047330201,0.40461685005744025,338
truth_mean,no_advection,1.3654563302359468,1.9658450872002409,0.8488620859133748,338
truth_mean,reversed_advection,1.9607047954423895,3.9262843494909685,1.2682789927730236,338
truth_mean,separable_same_margins,1.1926176660529388,1.9666204428873943,1.055202752440327,338
