residual_mode,space_cells,tau,model,sector,n_entries,rms_z,max_abs_z,rmse_raw
fitted_gls,1,1,truth,odd_odd,2,1.4015342321911215,1.9578862850498506,0.06749747865414862
fitted_gls,1,1,truth,even_even,2,0.5278952133615857,0.6783871535862791,0.004957882200336904
fitted_gls,1,1,truth,odd_even,2,0.7945765937121588,1.0877075617984056,0.010565208567616861
fitted_gls,1,1,truth,even_odd,2,0.7644412679037038,0.9255612647640036,0.0049608542016120515
fitted_gls,1,1,truth,all_space_time,8,0.9298782145586418,1.9578862850498506,0.03433920473404475
fitted_gls,1,1,fitted,odd_odd,2,1.0266444185440675,1.3880287190388338,0.04925522141610108
fitted_gls,1,1,fitted,even_even,2,0.42521622840676143,0.5952952393944678,0.003984402394212547
fitted_gls,1,1,fitted,odd_even,2,0.7949204081045115,1.0881026713677817,0.010569999212834236
fitted_gls,1,1,fitted,even_odd,2,0.7660292022226136,0.9264135767321526,0.004970944593506022
fitted_gls,1,1,fitted,all_space_time,8,0.7831836944336582,1.3880287190388338,0.025388912307832193
fitted_gls,1,1,no_advection,odd_odd,2,20.276225504630325,25.594546377461818,0.9290976965484482
fitted_gls,1,1,no_advection,even_even,2,15.2995513282187,16.841676067656223,0.14460633396158296
fitted_gls,1,1,no_advection,odd_even,2,0.6836953370791798,0.9340528024371616,0.00909626861615581
fitted_gls,1,1,no_advection,even_odd,2,0.743322357737147,0.8232250612731796,0.0048090410508682966
fitted_gls,1,1,no_advection,all_space_time,8,12.7104441208881,25.594546377461818,0.47017001992151924
fitted_gls,1,1,reversed_advection,odd_odd,2,40.77461801415247,50.75886583952494,1.8711383819087561
fitted_gls,1,1,reversed_advection,even_even,2,0.4380674797202342,0.6051547835945531,0.004106399792132899
fitted_gls,1,1,reversed_advection,odd_even,2,0.750689445145515,1.0350784054619087,0.009959953582362653
fitted_gls,1,1,reversed_advection,even_odd,2,0.8559866633701522,0.9831398151516725,0.005544522480539382
fitted_gls,1,1,reversed_advection,all_space_time,8,20.39643121435559,50.75886583952494,0.9355888051350699
fitted_gls,1,1,separable_same_margins,odd_odd,2,20.259413198738365,25.59496888155494,0.928242488081094
fitted_gls,1,1,separable_same_margins,even_even,2,53.80703488411326,54.049268624702904,0.5078115551590365
fitted_gls,1,1,separable_same_margins,odd_even,2,0.514086279530067,0.6998348694454156,0.006846911305174286
fitted_gls,1,1,separable_same_margins,even_odd,2,1.1381121741528424,1.5665509805535311,0.007256419035626377
fitted_gls,1,1,separable_same_margins,all_space_time,8,28.754131921348066,54.049268624702904,0.5290572341542219
fitted_gls,1,2,truth,odd_odd,2,0.9414782622039201,1.0224965191143058,0.061090900214243404
fitted_gls,1,2,truth,even_even,2,0.6139337020591669,0.8193494713830592,0.0071417644553316215
fitted_gls,1,2,truth,odd_even,2,0.29721372121196715,0.4095255859524353,0.008743421267910624
fitted_gls,1,2,truth,even_odd,2,0.498332718250879,0.7004575951446731,0.004498756353624808
fitted_gls,1,2,truth,all_space_time,8,0.6324490894298453,1.0224965191143058,0.031143976595481165
fitted_gls,1,2,fitted,odd_odd,2,0.5603015398795804,0.7134402220554141,0.03757020903905974
fitted_gls,1,2,fitted,even_even,2,0.23426641924527095,0.32075950802814884,0.002719681124072637
fitted_gls,1,2,fitted,odd_even,2,0.29697643258798434,0.4090609736109727,0.00873716396287228
fitted_gls,1,2,fitted,even_odd,2,0.499046806632379,0.7016707460892372,0.004505084074215737
fitted_gls,1,2,fitted,all_space_time,8,0.42013726551571534,0.7134402220554141,0.019465039746203637
fitted_gls,1,2,no_advection,odd_odd,2,5.559233035330891,7.164391836205244,0.33664768201740025
fitted_gls,1,2,no_advection,even_even,2,4.310676648235058,4.553941711976131,0.05085747218023347
