residual_mode,space_cells,tau,contrast_i,contrast_j,empirical,jackknife_se,n_stencils,n_spatial_blocks,truth,z_truth,fitted,z_fitted,no_advection,z_no_advection,reversed_advection,z_reversed_advection,separable_same_margins,z_separable_same_margins
fitted_gls,1,1,D_lat,D_lat,3.5247878470327296,0.02825043766088247,91764,300,3.5588751015107305,-1.2066097837910832,3.5416727337955067,-0.5976858470464371,3.5416727337955067,-0.5976858470464371,3.5416727337955067,-0.5976858470464371,3.5416727337955067,-0.5976858470464371
fitted_gls,1,1,D_lat,D_lon,0.03445874740615302,0.0188174604816597,91764,300,-0.0006734971966142574,1.8670024383475474,-0.0006501091486946736,1.8657595475790307,-0.0006501091486946736,1.8657595475790307,-0.0006501091486946736,1.8657595475790307,-0.0006501091486946736,1.8657595475790307
fitted_gls,1,1,D_lat,D_time,-0.6257990310437002,0.048231269380515994,91764,300,-0.7202303718743572,1.9578862850498506,-0.6927454180995547,1.3880287190388338,-0.0021968121609151118,-12.929417510514494,0.6939027081944901,-27.361953276131494,-0.004784747001177519,-12.875760725745984
fitted_gls,1,1,D_lat,Q_lat,-0.0009333653016229781,0.0034671900781906607,91764,300,-0.0024585908500742363,0.43990248992844116,-0.002448636759473157,0.43703155110576375,-0.002448636759473157,0.43703155110576375,-0.002448636759473157,0.43703155110576375,-0.002448636759473157,0.43703155110576375
fitted_gls,1,1,D_lat,Q_lon,-0.0024031527883949517,0.0033236405180715476,91764,300,-0.001209498157949442,-0.35914071451328183,-0.0012051253188060437,-0.36045639204207053,-0.0012051253188060437,-0.36045639204207053,-0.0012051253188060437,-0.36045639204207053,-0.0012051253188060437,-0.36045639204207053
fitted_gls,1,1,D_lat,Q_time,0.0021837361704783015,0.015152119035993844,91764,300,-0.0020911002827822506,0.2821279613172047,-0.002097360579722505,0.28254112444807655,-0.0016019894670794936,0.24984793404571384,-0.0013917138453302931,0.23597029612261605,-0.0008009067262855603,0.19697858033413318
fitted_gls,1,1,D_lon,D_lat,0.03445874740615302,0.0188174604816597,91764,300,-0.0006734971966142572,1.8670024383475474,-0.0006501091486946743,1.865759547579031,-0.0006501091486946743,1.865759547579031,-0.0006501091486946743,1.865759547579031,-0.0006501091486946743,1.865759547579031
fitted_gls,1,1,D_lon,D_lon,3.406417964480126,0.02523948578126859,91764,300,3.429736694283499,-0.9238987674098711,3.4062049116311996,0.008441251567980023,3.4062049116311996,0.008441251567980023,3.4062049116311996,0.008441251567980023,3.4062049116311996,0.008441251567980023
fitted_gls,1,1,D_lon,D_time,1.1571584219111106,0.04518664166720781,91764,300,1.1711062216751873,-0.30867086487196654,1.1379143336327329,0.42588002932608504,0.0006268261180118193,25.594546377461818,-1.136464260213378,50.75886583952494,0.000607734576952911,25.59496888155494
fitted_gls,1,1,D_lon,Q_lat,0.0001320008613696812,0.0036844094396246804,91764,300,2.575939798531234e-05,0.028835411787239196,2.5387042487367007e-05,0.028936474251671288,2.5387042487367007e-05,0.028936474251671288,2.5387042487367007e-05,0.028936474251671288,2.5387042487367007e-05,0.028936474251671288
fitted_gls,1,1,D_lon,Q_lon,-0.0008307790096793384,0.003215615070375102,91764,300,-3.2962155336899885e-05,-0.24810707652560327,-3.271919073952052e-05,-0.2481826342624785,-3.271919073952052e-05,-0.2481826342624785,-3.271919073952052e-05,-0.2481826342624785,-3.271919073952052e-05,-0.2481826342624785
fitted_gls,1,1,D_lon,Q_time,0.01404827427310036,0.013162434428273086,91764,300,-0.0002686051862079505,1.0877075617984056,-0.0002738057900068447,1.0881026713677817,0.001753865508476505,0.9340528024371616,0.00042412263308652415,1.0350784054619087,0.004836743693406021,0.6998348694454156
fitted_gls,1,1,D_time,D_lat,-0.6257990310437002,0.048231269380515994,91764,300,-0.7202303718743571,1.9578862850498484,-0.6927454180995547,1.3880287190388338,-0.002196812160915112,-12.929417510514494,0.6939027081944898,-27.36195327613149,-0.00478474700117752,-12.875760725745984
fitted_gls,1,1,D_time,D_lon,1.1571584219111106,0.04518664166720781,91764,300,1.1711062216751873,-0.30867086487196654,1.1379143336327326,0.4258800293260899,0.0006268261180118173,25.594546377461818,-1.136464260213378,50.75886583952494,0.000607734576952916,25.59496888155494
fitted_gls,1,1,D_time,D_time,8.421326935529658,0.17718013630315435,91764,300,8.426156399761844,-0.027257368308616765,8.324451805759743,0.5467606684993275,6.271017050931005,12.136292078020999,8.32182510841673,0.5615856787844457,6.5082211499013445,10.79751842133702
fitted_gls,1,1,D_time,Q_lat,0.004044364650629111,0.00636694756783574,91764,300,0.0004875410410153169,0.5586387467021083,0.00046888642381357387,0.5615686620191405,-0.00011786998838457014,0.6537252890286503,-0.0004526228096568904,0.7063019464780395,-0.0059297833048968926,1.566550980553532
fitted_gls,1,1,D_time,Q_lon,0.006092715556029162,0.00653359619350241,91764,300,4.547199971379191e-05,0.9255612647640036,3.990333748301665e-05,0.9264135767321526,0.0007140954292989272,0.8232250612731796,-0.0003307229979264665,0.9831398151516723,0.0036786718525146206,0.369481619619419
fitted_gls,1,1,D_time,Q_time,0.04746723026412533,0.02267350669769578,91764,300,0.0022791337325565966,1.9929910769453685,0.0021871950216759543,1.997045972913004,0.0015197165733728444,2.0264846679151733,-0.002891090262221177,2.2210203828534483,-0.000465098548597027,2.114023624655887
fitted_gls,1,1,Q_lat,D_lat,-0.0009333653016229781,0.0034671900781906607,91764,300,-0.0024585908500741552,0.43990248992841774,-0.0024486367594732114,0.43703155110577946,-0.0024486367594732114,0.43703155110577946,-0.0024486367594732114,0.43703155110577946,-0.0024486367594732114,0.43703155110577946
fitted_gls,1,1,Q_lat,D_lon,0.0001320008613696812,0.0036844094396246804,91764,300,2.575939798531474e-05,0.028835411787238543,2.538704248736708e-05,0.028936474251671267,2.538704248736708e-05,0.028936474251671267,2.538704248736708e-05,0.028936474251671267,2.538704248736708e-05,0.028936474251671267
fitted_gls,1,1,Q_lat,D_time,0.004044364650629111,0.00636694756783574,91764,300,0.0004875410410153151,0.5586387467021086,0.00046888642381357344,0.5615686620191406,-0.00011786998838456937,0.6537252890286502,-0.0004526228096568924,0.7063019464780397,-0.005929783304896887,1.5665509805535311
