residual_mode,axis,sign,space_cells,tau,empirical_variance,jackknife_se,empirical_mean,n_rectangles,n_spatial_blocks,truth,z_truth,fitted,z_fitted,no_advection,z_no_advection,reversed_advection,z_reversed_advection,separable_same_margins,z_separable_same_margins
fitted_gls,lat,-1,1,1,1.9029329760484675,0.01150596868294132,-0.00010515789390015683,114776,300,1.9075639613411994,-0.40248547691580744,1.9063948874626173,-0.3008796138375098,1.7073827091630251,16.995550072664802,1.9065385348809343,-0.3133642139850777,1.1379500183674238,66.4857500277402
fitted_gls,lat,1,1,1,1.9029329760484675,0.011625178302742935,0.00010515789390015683,114776,300,1.9075639613411994,-0.39835821628983625,1.9063948874626173,-0.29779426379490753,1.7073827091630251,16.821270331767955,1.9065385348809343,-0.310150841438372,1.1379500183674238,65.80397631411361
fitted_gls,lon,-1,1,1,1.887847779101956,0.011419333636170865,-0.0012130023179820542,114118,300,1.892782628422039,-0.4321486241939684,1.887123540916274,0.06342210576874285,1.648020661629501,21.00184871670619,1.8864125414170516,0.12568488938427605,1.110498020434734,68.07312785791267
fitted_gls,lon,1,1,1,1.887847779101956,0.011392659314014137,0.0012130023179820542,114118,300,1.892782628422039,-0.43316043989946895,1.887123540916274,0.06357059978006227,1.648020661629501,21.051021615071292,1.8864125414170516,0.12597916301585432,1.110498020434734,68.23251158849297
fitted_gls,lat,-1,1,2,1.9536004879478934,0.012605976917300964,0.0003264116959759586,96985,300,1.963363923488414,-0.7745084418741686,1.95967567577022,-0.48192915647725754,1.8850388662713176,5.438818595842347,1.9596736490639208,-0.48176838303522085,1.4814327646979255,37.45586132257195
fitted_gls,lat,1,1,2,1.9536004879478934,0.01339604967219313,-0.0003264116959759586,96985,300,1.963363923488414,-0.7288294519232017,1.95967567577022,-0.4535059193560034,1.8850388662713176,5.118047734541681,1.9596736490639208,-0.4533546280164799,1.4814327646979255,35.246788031106725
fitted_gls,lon,-1,1,2,1.8850336727579515,0.01141053800448941,-0.002309446936930441,96341,300,1.9037684870805383,-1.6418870271687118,1.8951191142666728,-0.8838708135193276,1.8106082202313794,6.522519139526104,1.8950166196878684,-0.8748883642462016,1.4542612213871338,37.75215955648479
fitted_gls,lon,1,1,2,1.885033672757951,0.011854299496651538,0.002309446936930441,96341,300,1.9037684870805383,-1.5804235693453803,1.8951191142666728,-0.8507834234802757,1.8106082202313794,6.27835095170276,1.8950166196878684,-0.8421372290059963,1.4542612213871338,36.33892086938556
fitted_gls,lat,-1,2,1,3.298123291850279,0.02752658178951746,-6.654789582334577e-05,112594,300,3.2948972004532506,0.11719912852589949,3.291436713528276,0.242913499871941,2.648891021768717,23.585648049072315,3.2916200332606986,0.236253765153539,1.7883069863197143,54.84939310937349
fitted_gls,lat,1,2,1,3.298123291850279,0.02777635326472016,6.654789582334577e-05,112594,280,3.2948972004532506,0.1161452465081486,3.291436713528276,0.24072916477829398,2.648891021768717,23.37356037684679,3.2916200332606986,0.2341293159545312,1.7883069863197143,54.3561745179934
fitted_gls,lon,-1,2,1,3.3943950931929177,0.028870303597171378,-0.0016556054178038656,112828,300,3.3931887701905885,0.04178421602907348,3.383926619801215,0.36260350905102073,2.5830198044780373,28.104148125216682,3.381479784572058,0.4473561761271172,1.7378750571633417,57.37799155641289
fitted_gls,lon,1,2,1,3.394395093192918,0.02880359354753932,0.0016556054178038656,112828,300,3.3931887701905885,0.04188098961813901,3.383926619801215,0.36344331044754,2.5830198044780373,28.16923823674065,3.381479784572058,0.4483922674281501,1.7378750571633417,57.510880831433354
fitted_gls,lat,-1,2,2,3.5025608874491416,0.03275356436353219,0.0029924398433898306,94956,300,3.5197339076089045,-0.5243099642273831,3.5063258432712434,-0.11494797269434562,3.229092587165129,8.349268410875371,3.506307134797102,-0.11437678374117456,2.510599775772296,30.285592757693713
fitted_gls,lat,1,2,2,3.5025608874491416,0.03228266164716895,-0.0029924398433898306,94956,280,3.5197339076089045,-0.53195800109217,3.5063258432712434,-0.11662470285909528,3.229092587165129,8.471058033345109,3.506307134797102,-0.11604518205173746,2.510599775772296,30.7273645066325
fitted_gls,lon,-1,2,2,3.429140582013706,0.030185007566088544,-0.006687604500186372,95112,300,3.4614151539801026,-1.069225240236666,3.4393748164672675,-0.33905025304877573,3.121091905564614,10.205353627115555,3.43894302732316,-0.3247454978433213,2.4366589161382346,32.87995418594755
fitted_gls,lon,1,2,2,3.429140582013705,0.030474641437948244,0.006687604500186372,95112,300,3.4614151539801026,-1.0590632225194256,3.4393748164672675,-0.33582788740603,3.121091905564614,10.108360981911234,3.43894302732316,-0.3216590859457442,2.4366589161382346,32.56745999444615
fitted_gls,lat,-1,4,1,4.911529011117703,0.056261809383734075,-0.00023840571370193316,109953,300,4.883517917600868,0.49787047063818246,4.878489769729187,0.5872410032740237,3.4441624984598254,26.081040207038026,4.877593876712595,0.603164647152621,2.7006702474340165,39.295905835599925
fitted_gls,lat,1,4,1,4.911529011117704,0.054985198472691496,0.00023840571370193316,109953,280,4.883517917600868,0.5094297064463275,4.878489769729187,0.6008751865272574,3.4441624984598254,26.68657299448776,4.877593876712595,0.6171685353097855,2.7006702474340165,40.20825285884372
fitted_gls,lon,-1,4,1,5.311016434761627,0.06176745485053643,-0.0035495332077996175,110997,300,5.259480243792509,0.8343583379600875,5.257782948449859,0.8618371347918014,3.4010264046698686,30.92227184548095,5.253386813977676,0.9330094776189461,2.6311399765847567,43.38654498006399
fitted_gls,lon,1,4,1,5.311016434761627,0.06282613952586658,0.0035495332077996175,110997,300,5.259480243792509,0.8202985470386893,5.257782948449859,0.8473142980534584,3.4010264046698686,30.401199954445453,5.253386813977676,0.9172873141477006,2.6311399765847567,42.6554373450484
fitted_gls,lat,-1,4,2,5.671030198673193,0.07779886184446931,0.0048132422447343635,92614,300,5.688699361517146,-0.22711338475974427,5.65018975215581,0.26787598202973395,4.797161332852577,11.23241195440109,5.65002649625929,0.26997441756785323,3.966657099366383,21.907429734821662
fitted_gls,lat,1,4,2,5.671030198673193,0.07630688748432027,-0.0048132422447343635,92614,280,5.688699361517146,-0.23155397142340328,5.65018975215581,0.2731135707987718,4.797161332852577,11.452031325483965,5.65002649625929,0.27525303555617275,3.966657099366383,22.33577014469406
fitted_gls,lon,-1,4,2,5.720431687379946,0.07718475053234866,-0.010089816303753841,93412,300,5.774822435966579,-0.7046825728073949,5.723134301064352,-0.03501486583509828,4.694897804039878,13.286742216135812,5.721134859000878,-0.009110240249291992,3.859059751750255,24.115799076782366
