residual_mode,tau,dr,dc,h_lat,h_lon,n_pairs,source,covariance,correlation,semivariogram,log_correlation_interaction,cross_variogram_asymmetry
fitted_gls,0,-6,-6,-0.26400000000000023,-0.3780000000000143,124555,empirical,1.3823820222680028,0.14576892654726648,8.18032061503393,0.0,0.0
fitted_gls,0,-6,-6,-0.26400000000000023,-0.3780000000000143,124555,truth,1.6135490154653205,0.16135490154653204,8.38645098453468,0.0,0.0
fitted_gls,0,-6,-6,-0.26400000000000023,-0.3780000000000143,124555,fitted,1.5056778157987671,0.15436865489657448,8.248101646797165,0.0,0.0
fitted_gls,0,-6,-6,-0.26400000000000023,-0.3780000000000143,124555,no_advection,1.5056778157987671,0.15436865489657448,8.248101646797165,0.0,0.0
fitted_gls,0,-6,-6,-0.26400000000000023,-0.3780000000000143,124555,reversed_advection,1.5056778157987671,0.15436865489657448,8.248101646797165,0.0,0.0
fitted_gls,0,-6,-6,-0.26400000000000023,-0.3780000000000143,124555,separable_same_margins,1.5056778157987671,0.15436865489657448,8.248101646797165,0.0,0.0
fitted_gls,0,-6,-5,-0.26400000000000023,-0.31500000000001194,125512,empirical,1.567647135054464,0.16530469609759202,7.9806369296942,0.0,0.0
fitted_gls,0,-6,-5,-0.26400000000000023,-0.31500000000001194,125512,truth,1.8527479679194756,0.18527479679194755,8.147252032080525,0.0,0.0
fitted_gls,0,-6,-5,-0.26400000000000023,-0.31500000000001194,125512,fitted,1.7339403626145389,0.1777711264914182,8.019839099981393,0.0,0.0
fitted_gls,0,-6,-5,-0.26400000000000023,-0.31500000000001194,125512,no_advection,1.7339403626145389,0.1777711264914182,8.019839099981393,0.0,0.0
fitted_gls,0,-6,-5,-0.26400000000000023,-0.31500000000001194,125512,reversed_advection,1.7339403626145389,0.1777711264914182,8.019839099981393,0.0,0.0
fitted_gls,0,-6,-5,-0.26400000000000023,-0.31500000000001194,125512,separable_same_margins,1.7339403626145389,0.1777711264914182,8.019839099981393,0.0,0.0
fitted_gls,0,-6,-4,-0.26400000000000023,-0.25200000000000955,126686,empirical,1.7629121099001743,0.18589492753653933,7.773365608872838,0.0,0.0
fitted_gls,0,-6,-4,-0.26400000000000023,-0.25200000000000955,126686,truth,2.093581248098896,0.2093581248098896,7.9064187519011035,0.0,0.0
fitted_gls,0,-6,-4,-0.26400000000000023,-0.25200000000000955,126686,fitted,1.964330671001569,0.20139174548024583,7.7894487915943635,0.0,0.0
fitted_gls,0,-6,-4,-0.26400000000000023,-0.25200000000000955,126686,no_advection,1.964330671001569,0.20139174548024583,7.7894487915943635,0.0,0.0
fitted_gls,0,-6,-4,-0.26400000000000023,-0.25200000000000955,126686,reversed_advection,1.964330671001569,0.20139174548024583,7.7894487915943635,0.0,0.0
fitted_gls,0,-6,-4,-0.26400000000000023,-0.25200000000000955,126686,separable_same_margins,1.964330671001569,0.20139174548024583,7.7894487915943635,0.0,0.0
fitted_gls,0,-6,-3,-0.26400000000000023,-0.18900000000000716,127283,empirical,1.9600714056123365,0.20668491064672562,7.567448844128408,0.0,0.0
fitted_gls,0,-6,-3,-0.26400000000000023,-0.18900000000000716,127283,truth,2.3185354414469708,0.23185354414469708,7.68146455855303,0.0,0.0
fitted_gls,0,-6,-3,-0.26400000000000023,-0.18900000000000716,127283,fitted,2.1799701855851077,0.22350004877031704,7.573809277010826,0.0,0.0
fitted_gls,0,-6,-3,-0.26400000000000023,-0.18900000000000716,127283,no_advection,2.1799701855851077,0.22350004877031704,7.573809277010826,0.0,0.0
fitted_gls,0,-6,-3,-0.26400000000000023,-0.18900000000000716,127283,reversed_advection,2.1799701855851077,0.22350004877031704,7.573809277010826,0.0,0.0
fitted_gls,0,-6,-3,-0.26400000000000023,-0.18900000000000716,127283,separable_same_margins,2.1799701855851077,0.22350004877031704,7.573809277010826,0.0,0.0
fitted_gls,0,-6,-2,-0.26400000000000023,-0.12600000000000477,127830,empirical,2.140281122174449,0.2256876005786651,7.376807513635606,0.0,0.0
fitted_gls,0,-6,-2,-0.26400000000000023,-0.12600000000000477,127830,truth,2.504894075773887,0.2504894075773887,7.495105924226113,0.0,0.0
fitted_gls,0,-6,-2,-0.26400000000000023,-0.12600000000000477,127830,fitted,2.3588878938197975,0.24184347235507292,7.394891568776135,0.0,0.0
fitted_gls,0,-6,-2,-0.26400000000000023,-0.12600000000000477,127830,no_advection,2.3588878938197975,0.24184347235507292,7.394891568776135,0.0,0.0
fitted_gls,0,-6,-2,-0.26400000000000023,-0.12600000000000477,127830,reversed_advection,2.3588878938197975,0.24184347235507292,7.394891568776135,0.0,0.0
fitted_gls,0,-6,-2,-0.26400000000000023,-0.12600000000000477,127830,separable_same_margins,2.3588878938197975,0.24184347235507292,7.394891568776135,0.0,0.0
fitted_gls,0,-6,-1,-0.26400000000000023,-0.06300000000000239,128681,empirical,2.2774175830512027,0.24014831720437657,7.238969721247406,0.0,0.0
fitted_gls,0,-6,-1,-0.26400000000000023,-0.06300000000000239,128681,truth,2.6291629212118233,0.26291629212118234,7.370837078788177,0.0,0.0
fitted_gls,0,-6,-1,-0.26400000000000023,-0.06300000000000239,128681,fitted,2.4783178162032566,0.25408794874921864,7.275461646392676,0.0,0.0
fitted_gls,0,-6,-1,-0.26400000000000023,-0.06300000000000239,128681,no_advection,2.4783178162032566,0.25408794874921864,7.275461646392676,0.0,0.0
fitted_gls,0,-6,-1,-0.26400000000000023,-0.06300000000000239,128681,reversed_advection,2.4783178162032566,0.25408794874921864,7.275461646392676,0.0,0.0
fitted_gls,0,-6,-1,-0.26400000000000023,-0.06300000000000239,128681,separable_same_margins,2.4783178162032566,0.25408794874921864,7.275461646392676,0.0,0.0
fitted_gls,0,-6,0,-0.26400000000000023,0.0,129467,empirical,2.3561353105969505,0.2484489160690508,7.159937708294251,0.0,0.0
fitted_gls,0,-6,0,-0.26400000000000023,0.0,129467,truth,2.672519718707764,0.2672519718707764,7.327480281292236,0.0,0.0
fitted_gls,0,-6,0,-0.26400000000000023,0.0,129467,fitted,2.5200069442235207,0.258362099931346,7.233772518372412,0.0,0.0
fitted_gls,0,-6,0,-0.26400000000000023,0.0,129467,no_advection,2.5200069442235207,0.258362099931346,7.233772518372412,0.0,0.0
fitted_gls,0,-6,0,-0.26400000000000023,0.0,129467,reversed_advection,2.5200069442235207,0.258362099931346,7.233772518372412,0.0,0.0
fitted_gls,0,-6,0,-0.26400000000000023,0.0,129467,separable_same_margins,2.5200069442235207,0.258362099931346,7.233772518372412,0.0,0.0
fitted_gls,0,-6,1,-0.26400000000000023,0.06300000000000239,128675,empirical,2.3541991944531193,0.2482447571843063,7.167168836736152,0.0,0.0
fitted_gls,0,-6,1,-0.26400000000000023,0.06300000000000239,128675,truth,2.627924673514774,0.2627924673514774,7.372075326485226,0.0,0.0
fitted_gls,0,-6,1,-0.26400000000000023,0.06300000000000239,128675,fitted,2.4771259152813507,0.25396574986964826,7.276653547314583,0.0,0.0
fitted_gls,0,-6,1,-0.26400000000000023,0.06300000000000239,128675,no_advection,2.4771259152813507,0.25396574986964826,7.276653547314583,0.0,0.0
fitted_gls,0,-6,1,-0.26400000000000023,0.06300000000000239,128675,reversed_advection,2.4771259152813507,0.25396574986964826,7.276653547314583,0.0,0.0
fitted_gls,0,-6,1,-0.26400000000000023,0.06300000000000239,128675,separable_same_margins,2.4771259152813507,0.25396574986964826,7.276653547314583,0.0,0.0
fitted_gls,0,-6,2,-0.26400000000000023,0.12600000000000477,127806,empirical,2.2575897415707993,0.2380575180462641,7.269473155123607,0.0,0.0
fitted_gls,0,-6,2,-0.26400000000000023,0.12600000000000477,127806,truth,2.5031196791151116,0.25031196791151117,7.496880320884888,0.0,0.0
fitted_gls,0,-6,2,-0.26400000000000023,0.12600000000000477,127806,fitted,2.3571834818027515,0.24166872860332192,7.396595980793181,0.0,0.0
fitted_gls,0,-6,2,-0.26400000000000023,0.12600000000000477,127806,no_advection,2.3571834818027515,0.24166872860332192,7.396595980793181,0.0,0.0
fitted_gls,0,-6,2,-0.26400000000000023,0.12600000000000477,127806,reversed_advection,2.3571834818027515,0.24166872860332192,7.396595980793181,0.0,0.0
fitted_gls,0,-6,2,-0.26400000000000023,0.12600000000000477,127806,separable_same_margins,2.3571834818027515,0.24166872860332192,7.396595980793181,0.0,0.0
fitted_gls,0,-6,3,-0.26400000000000023,0.18900000000000716,126910,empirical,2.0945555280934505,0.2208659444390781,7.4389574958010325,0.0,0.0
fitted_gls,0,-6,3,-0.26400000000000023,0.18900000000000716,126910,truth,2.316626797283393,0.2316626797283393,7.6833732027166075,0.0,0.0
fitted_gls,0,-6,3,-0.26400000000000023,0.18900000000000716,126910,fitted,2.1781433439726334,0.22331275300261183,7.575636118623299,0.0,0.0
fitted_gls,0,-6,3,-0.26400000000000023,0.18900000000000716,126910,no_advection,2.1781433439726334,0.22331275300261183,7.575636118623299,0.0,0.0
fitted_gls,0,-6,3,-0.26400000000000023,0.18900000000000716,126910,reversed_advection,2.1781433439726334,0.22331275300261183,7.575636118623299,0.0,0.0
fitted_gls,0,-6,3,-0.26400000000000023,0.18900000000000716,126910,separable_same_margins,2.1781433439726334,0.22331275300261183,7.575636118623299,0.0,0.0
fitted_gls,0,-6,4,-0.26400000000000023,0.25200000000000955,126041,empirical,1.886453043673163,0.1989220278681756,7.655883682233594,0.0,0.0
fitted_gls,0,-6,4,-0.26400000000000023,0.25200000000000955,126041,truth,2.0920834149482515,0.20920834149482515,7.9079165850517485,0.0,0.0
fitted_gls,0,-6,4,-0.26400000000000023,0.25200000000000955,126041,fitted,1.9629073035929092,0.20124581564718796,7.790872159003023,0.0,0.0
fitted_gls,0,-6,4,-0.26400000000000023,0.25200000000000955,126041,no_advection,1.9629073035929092,0.20124581564718796,7.790872159003023,0.0,0.0
fitted_gls,0,-6,4,-0.26400000000000023,0.25200000000000955,126041,reversed_advection,1.9629073035929092,0.20124581564718796,7.790872159003023,0.0,0.0
fitted_gls,0,-6,4,-0.26400000000000023,0.25200000000000955,126041,separable_same_margins,1.9629073035929092,0.20124581564718796,7.790872159003023,0.0,0.0
fitted_gls,0,-6,5,-0.26400000000000023,0.31500000000001194,125178,empirical,1.6597120614370606,0.17501272562580186,7.888592559981253,0.0,0.0
fitted_gls,0,-6,5,-0.26400000000000023,0.31500000000001194,125178,truth,1.8518425214174032,0.18518425214174034,8.148157478582597,0.0,0.0
fitted_gls,0,-6,5,-0.26400000000000023,0.31500000000001194,125178,fitted,1.7330912735881112,0.17768407418213814,8.02068818900782,0.0,0.0
fitted_gls,0,-6,5,-0.26400000000000023,0.31500000000001194,125178,no_advection,1.7330912735881112,0.17768407418213814,8.02068818900782,0.0,0.0
fitted_gls,0,-6,5,-0.26400000000000023,0.31500000000001194,125178,reversed_advection,1.7330912735881112,0.17768407418213814,8.02068818900782,0.0,0.0
fitted_gls,0,-6,5,-0.26400000000000023,0.31500000000001194,125178,separable_same_margins,1.7330912735881112,0.17768407418213814,8.02068818900782,0.0,0.0
fitted_gls,0,-6,6,-0.26400000000000023,0.3780000000000143,124306,empirical,1.3969116406461228,0.14730104056495685,8.1597348794746,0.0,0.0
fitted_gls,0,-6,6,-0.26400000000000023,0.3780000000000143,124306,truth,1.613085672629574,0.1613085672629574,8.386914327370427,0.0,0.0
fitted_gls,0,-6,6,-0.26400000000000023,0.3780000000000143,124306,fitted,1.5052547919842811,0.15432528465059872,8.248524670611651,0.0,0.0
fitted_gls,0,-6,6,-0.26400000000000023,0.3780000000000143,124306,no_advection,1.5052547919842811,0.15432528465059872,8.248524670611651,0.0,0.0
fitted_gls,0,-6,6,-0.26400000000000023,0.3780000000000143,124306,reversed_advection,1.5052547919842811,0.15432528465059872,8.248524670611651,0.0,0.0
fitted_gls,0,-6,6,-0.26400000000000023,0.3780000000000143,124306,separable_same_margins,1.5052547919842811,0.15432528465059872,8.248524670611651,0.0,0.0
fitted_gls,0,-5,-6,-0.2200000000000002,-0.3780000000000143,125733,empirical,1.58299939547044,0.16692355577954834,7.972280645384834,0.0,0.0
fitted_gls,0,-5,-6,-0.2200000000000002,-0.3780000000000143,125733,truth,1.8784533340837908,0.18784533340837908,8.12154666591621,0.0,0.0
fitted_gls,0,-5,-6,-0.2200000000000002,-0.3780000000000143,125733,fitted,1.7601238307214804,0.18045556980975966,7.993655631874453,0.0,0.0
fitted_gls,0,-5,-6,-0.2200000000000002,-0.3780000000000143,125733,no_advection,1.7601238307214804,0.18045556980975966,7.993655631874453,0.0,0.0
fitted_gls,0,-5,-6,-0.2200000000000002,-0.3780000000000143,125733,reversed_advection,1.7601238307214804,0.18045556980975966,7.993655631874453,0.0,0.0
fitted_gls,0,-5,-6,-0.2200000000000002,-0.3780000000000143,125733,separable_same_margins,1.7601238307214804,0.18045556980975966,7.993655631874453,0.0,0.0
