date,method,frequency_third,estimated_mode_count,estimated_residual_energy,energy_per_mode,known_parameter_chi2_standard_error
2024-07-13,true,low,46604.071321963245,46393.009874818345,0.995471180067364,0.0065509316580421
2024-07-13,true,middle,46714.721513212105,46412.60469248704,0.9935327277796224,0.0065431686707014
2024-07-13,true,high,46419.2071648243,46284.18859579718,0.9970913210872452,0.0065639632154111
2024-07-13,lat_range_quarter_512,low,46647.26881188053,37369.67902185739,0.8011118329898824,0.006547897725340699
2024-07-13,lat_range_quarter_512,middle,46628.81060463456,45096.79894605883,0.9671445263409001,0.006549193603286804
2024-07-13,lat_range_quarter_512,high,46461.92058348544,47011.817423229455,1.0118354306674846,0.006560945327080687
2024-07-13,lat_range_2x,low,46636.466504633674,56829.768601370306,1.2185693484244535,0.006548656019363872
2024-07-13,lat_range_2x,middle,46659.33299320882,60613.26415228493,1.2990598078439544,0.006547051162313703
2024-07-13,lat_range_2x,high,46442.20050215756,63842.388435541434,1.3746632964253171,0.006562338119008195
2024-07-13,wrong_smooth_10,low,46629.929332296815,71576.82887496238,1.5349975841671895,0.006549115039925245
2024-07-13,wrong_smooth_10,middle,46584.64682838446,84063.82360908523,1.8045392491387175,0.006552297293252305
2024-07-13,wrong_smooth_10,high,46523.42383931899,80430.1512585259,1.7288098042034226,0.006556607158094745
