model,loss,steps,time_s,rmsre,mae_zero_true,sigmasq_est,range_lat_est,range_lon_est,range_time_est,advec_lat_est,advec_lon_est,nugget_est,natural,raw,iter,n1,n2,p_total,init_sigmasq,init_range_lon,init_advec_lat,init_advec_lon,init_nugget
DW_2110,2.047,4,50.12129211425781,0.04893673613362082,,10.131851749921301,0.29666101231964115,0.39961333668439203,2.0249050733401006,0.07809476867686937,-0.1418091482914394,2.500978263863751,"sigmasq: 10.1319, range_lat: 0.2967, range_lon: 0.3996, range_time: 2.0249, advec_lat: 0.0781, advec_lon: -0.1418, nugget: 2.5010","log_phi1: 3.2329, log_phi2: 0.9173, log_phi3: 0.5958, log_phi4: -3.2456, advec_lat: 0.0781, advec_lon: -0.1418, log_nugget: 0.9167",6,113,158,8,10.869436808468151,0.6715405757236371,0.05988861403914583,0.04166981081315008,3.170947136298389
DW_Gradient,-65.235,4,98.33944821357727,0.05831386823386342,,9.50906964731488,0.2766343764689462,0.3745975276498719,1.860374944836894,0.08232475386539717,-0.1353607563111187,2.518833786405603,"sigmasq: 9.5091, range_lat: 0.2766, range_lon: 0.3746, range_time: 1.8604, advec_lat: 0.0823, advec_lon: -0.1354, nugget: 2.5188","log_phi1: 3.2341, log_phi2: 0.9819, log_phi3: 0.6063, log_phi4: -3.2054, advec_lat: 0.0823, advec_lon: -0.1354, log_nugget: 0.9238",6,113,158,16,10.869436808468151,0.6715405757236371,0.05988861403914583,0.04166981081315008,3.170947136298389
DW_2110,1.966,4,39.38736295700073,0.05107910656780217,,10.186358759186197,0.31109603504042604,0.4206857041234603,2.1289876407527224,0.0729446958735384,-0.1205971428546175,2.5247494655097866,"sigmasq: 10.1864, range_lat: 0.3111, range_lon: 0.4207, range_time: 2.1290, advec_lat: 0.0729, advec_lon: -0.1206, nugget: 2.5247","log_phi1: 3.1869, log_phi2: 0.8659, log_phi3: 0.6036, log_phi4: -3.2430, advec_lat: 0.0729, advec_lon: -0.1206, log_nugget: 0.9261",7,113,158,8,17.212621758343328,0.5201676945848454,0.012264993257678117,-0.03402226599661236,2.135627388973352
DW_Gradient,-65.492,4,76.56862497329712,0.03250425213067929,,9.819887102234858,0.3012281703175714,0.4044808083323568,2.036415754293347,0.07386154257413506,-0.12287355987935378,2.52426640397954,"sigmasq: 9.8199, range_lat: 0.3012, range_lon: 0.4045, range_time: 2.0364, advec_lat: 0.0739, advec_lon: -0.1229, nugget: 2.5243","log_phi1: 3.1896, log_phi2: 0.9052, log_phi3: 0.5895, log_phi4: -3.2327, advec_lat: 0.0739, advec_lon: -0.1229, log_nugget: 0.9260",7,113,158,16,17.212621758343328,0.5201676945848454,0.012264993257678117,-0.03402226599661236,2.135627388973352
DW_2110,2.032,4,46.925915241241455,0.051674007991905954,,10.400766819054768,0.3181715127413115,0.4293979830762176,2.0054598382226527,0.08369027250627356,-0.11663644995389376,2.547236377821549,"sigmasq: 10.4008, range_lat: 0.3182, range_lon: 0.4294, range_time: 2.0055, advec_lat: 0.0837, advec_lon: -0.1166, nugget: 2.5472","log_phi1: 3.1873, log_phi2: 0.8454, log_phi3: 0.5996, log_phi4: -3.0825, advec_lat: 0.0837, advec_lon: -0.1166, log_nugget: 0.9350",8,113,158,8,9.192308360330173,0.6088628661652846,0.14565292116042722,0.015487431635071824,3.148990518325245
DW_Gradient,-65.572,4,81.70096778869629,0.026832835748183553,,9.772070164416538,0.2968534258912635,0.40191551535789843,1.9206447950704018,0.08349407978025064,-0.1222424486727887,2.489907355227183,"sigmasq: 9.7721, range_lat: 0.2969, range_lon: 0.4019, range_time: 1.9206, advec_lat: 0.0835, advec_lon: -0.1222, nugget: 2.4899","log_phi1: 3.1910, log_phi2: 0.9115, log_phi3: 0.6060, log_phi4: -3.1283, advec_lat: 0.0835, advec_lon: -0.1222, log_nugget: 0.9122",8,113,158,16,9.192308360330173,0.6088628661652846,0.14565292116042722,0.015487431635071824,3.148990518325245
DW_2110,1.993,4,48.39883804321289,0.1696953177299427,,12.15322027076632,0.37291008656473484,0.48674363133907406,2.426416692317232,0.07518436012961732,-0.12673417523786146,2.504664422607807,"sigmasq: 12.1532, range_lat: 0.3729, range_lon: 0.4867, range_time: 2.4264, advec_lat: 0.0752, advec_lon: -0.1267, nugget: 2.5047","log_phi1: 3.2176, log_phi2: 0.7200, log_phi3: 0.5328, log_phi4: -3.2129, advec_lat: 0.0752, advec_lon: -0.1267, log_nugget: 0.9182",9,113,158,8,8.574815736906078,0.36329924925831886,0.0707507859658024,-0.09312100233348083,3.1646892843663466
DW_Gradient,-65.26,4,84.04455494880676,0.1733013933764054,,12.318478291143949,0.3722488836830503,0.4881598852053877,2.4358355305025494,0.07678084023666709,-0.12937295551509237,2.522539420878768,"sigmasq: 12.3185, range_lat: 0.3722, range_lon: 0.4882, range_time: 2.4358, advec_lat: 0.0768, advec_lon: -0.1294, nugget: 2.5225","log_phi1: 3.2282, log_phi2: 0.7171, log_phi3: 0.5422, log_phi4: -3.2148, advec_lat: 0.0768, advec_lon: -0.1294, log_nugget: 0.9253",9,113,158,16,8.574815736906078,0.36329924925831886,0.0707507859658024,-0.09312100233348083,3.1646892843663466
DW_2110,1.946,4,39.85623788833618,0.06364015481649901,,10.552032212431307,0.31902803259125523,0.43295701955434457,2.0978594166586446,0.07283942945822022,-0.11795087528832691,2.494378593628847,"sigmasq: 10.5520, range_lat: 0.3190, range_lon: 0.4330, range_time: 2.0979, advec_lat: 0.0728, advec_lon: -0.1180, nugget: 2.4944","log_phi1: 3.1934, log_phi2: 0.8371, log_phi3: 0.6107, log_phi4: -3.1561, advec_lat: 0.0728, advec_lon: -0.1180, log_nugget: 0.9140",10,113,158,8,12.000854377465439,0.33124520413319475,-0.07013829293825939,-0.15789443582688936,1.8999372687154985
DW_Gradient,-65.469,4,76.56969332695007,0.03585478404633636,,10.133755426473307,0.3053267473622024,0.41812811763429747,2.0115050328936714,0.07392178074149817,-0.12915179438927749,2.5110211378353617,"sigmasq: 10.1338, range_lat: 0.3053, range_lon: 0.4181, range_time: 2.0115, advec_lat: 0.0739, advec_lon: -0.1292, nugget: 2.5110","log_phi1: 3.1878, log_phi2: 0.8720, log_phi3: 0.6288, log_phi4: -3.1417, advec_lat: 0.0739, advec_lon: -0.1292, log_nugget: 0.9207",10,113,158,16,12.000854377465439,0.33124520413319475,-0.07013829293825939,-0.15789443582688936,1.8999372687154985
