year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2025,7,1,lon,Vecchia_mm20,0.1800,0.4981,15779.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.5067,16295,14.5919,0.5433,15740,17.3518,0.4670,15382,19.5354,0.4506,15085,18.6540,0.5031,15568,15.4044,0.4483,15388,13.4510,0.4750,16205,11.3957,0.5908,16574.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.3690,0.6222,15287.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.6302,15871,14.5919,0.6792,15289,17.3518,0.5868,14877,19.5354,0.5845,14506,18.6540,0.6289,14988,15.4044,0.5689,14811,13.4510,0.6013,15767,11.3957,0.6975,16192.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.5580,0.7022,14849.2500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.7130,15461,14.5919,0.7506,14846,17.3518,0.6537,14450,19.5354,0.6647,13998,18.6540,0.7176,14493,15.4044,0.6586,14318,13.4510,0.6965,15365,11.3957,0.7628,15863.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.7470,0.7660,14452.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.7672,15050,14.5919,0.7827,14452,17.3518,0.7201,14064,19.5354,0.7345,13546,18.6540,0.7892,14041,15.4044,0.7392,13915,13.4510,0.7860,15018,11.3957,0.8089,15534.0000,7.7096
2025,7,1,lon,Vecchia_mm20,0.9360,0.8096,14092.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8109,14661,14.5919,0.8260,14094,17.3518,0.7580,13694,19.5354,0.7933,13188,18.6540,0.8341,13666,15.4044,0.7869,13563,13.4510,0.8447,14680,11.3957,0.8230,15195.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.1250,0.8394,13758.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8361,14307,14.5919,0.8299,13737,17.3518,0.7856,13345,19.5354,0.8440,12912,18.6540,0.8576,13321,15.4044,0.8286,13196,13.4510,0.8879,14369,11.3957,0.8455,14877.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.3140,0.8608,13429.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8519,13954,14.5919,0.8234,13400,17.3518,0.7992,13004,19.5354,0.8756,12682,18.6540,0.8813,12992,15.4044,0.8632,12831,13.4510,0.9215,14032,11.3957,0.8705,14543.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.5030,0.8726,13109.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8768,13602,14.5919,0.8170,13059,17.3518,0.8071,12667,19.5354,0.8782,12430,18.6540,0.9059,12717,15.4044,0.8770,12487,13.4510,0.9437,13680,11.3957,0.8749,14231.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.6920,0.8805,12794.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8657,13272,14.5919,0.8232,12723,17.3518,0.8305,12336,19.5354,0.8774,12194,18.6540,0.9258,12424,15.4044,0.8679,12158,13.4510,0.9570,13343,11.3957,0.8965,13903.0000,7.7096
2025,7,1,lon,Vecchia_mm20,1.8810,0.8846,12477.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,True,1424,0.8678,12939,14.5919,0.8225,12369,17.3518,0.8625,11994,19.5354,0.8987,11877,18.6540,0.9294,12181,15.4044,0.8439,11862,13.4510,0.9467,13007,11.3957,0.9050,13592.0000,7.7096
