group,sample_count,empirical_h_aa,empirical_h_bb,empirical_h_ab,joint_h_aa,joint_h_bb,joint_h_ab,separable_h_aa,separable_h_bb,separable_h_ab,empirical_mean_l_squared,joint_mean_variance_l,separable_mean_variance_l,empirical_over_joint_pooled,empirical_over_separable_pooled,mean_individual_standardized_joint,mean_individual_standardized_separable,closer_variance_model,maximum_grid_error_standardized,maximum_source_error_standardized
all,29576,27.277727621705321,25.986610903531009,0.19885038780096251,28.237913972055576,28.224748823987049,0.39086387909880166,29.451120877151144,28.476938927244351,7.2253519073017527,1.2952664237833171,1.3811816674340245,1.7466829531179251,0.9377958412883356,0.74155783193005653,0.9378574294615607,0.74285674987857642,joint,0.032551478849720449,0.08124922008678552
time_0_1,4911,27.738124734686824,28.457499981352747,-0.17584567802500387,28.145533735306511,28.244564096979964,0.39461983311357324,28.282897198224244,29.119081281041961,7.2499479470014787,1.3470989464042364,1.3795666184138271,1.7344433225765679,0.97646531049952434,0.77667510311209265,0.97643156741149784,0.77687426647956848,joint,0.025390914898638726,0.049651198833542368
time_1_2,3129,30.673561760036627,25.702439709963421,-2.3602218377534823,28.353718534750577,28.128652998006892,0.38864881972127441,31.26755473118348,27.17473733325793,7.173010428464579,1.2483623072813199,1.3816361404338053,1.7578278558352385,0.90353912346948295,0.71017324201416521,0.90360331361740576,0.71109995033976214,joint,0.027099242671164783,0.052812962469416642
time_2_3,2425,30.50840638289155,28.318702797123649,0.79752218256741303,28.148906179991499,28.161980502176849,0.37999923521107476,28.430022482284105,27.885407759642813,7.1681722804986254,1.4587327020210621,1.3769848174617132,1.7048409942975511,1.0593673100260033,0.85564149788767052,1.0594623118516817,0.8563785966636569,joint,0.032551478849720449,0.052812962469416642
time_3_4,1923,25.135238638420528,23.87521484666815,1.5245521698911495,28.493331514151059,28.721689488238006,0.40730040317935379,31.274319111108451,32.648122042762189,7.2016381748176634,1.2565805277563711,1.4000296117673869,1.8892188706946413,0.89753853575287823,0.66513231857267163,0.89726619864780477,0.66458934331476593,joint,0.032551478849720449,0.080956372647961947
time_4_5,3095,29.948374027955417,27.636357203562326,0.10165446419179532,28.136993276320108,28.137222566833977,0.38094957631892934,27.8595616999017,27.2858573215136,7.1985602415506351,1.3952317103844969,1.3761510871596361,1.6780892043945375,1.0138652095710239,0.8314407283776688,1.0137676894994843,0.83131847518319646,joint,0.028123125961270218,0.08124922008678552
time_5_6,6524,27.014389600811775,25.094618656441035,1.3744880001693431,28.353623094795747,28.128865111608473,0.38830801913313112,31.308161399088885,27.23023424392532,7.2057329963449117,1.3243685088926287,1.3816223877557898,1.7617194116827184,0.95856040017116373,0.75174769609176806,0.95853146495879782,0.75179301952384714,joint,0.026671209122611585,0.080862509855039164
time_6_7,7569,24.219384604035184,24.38440715142286,-0.002321848393757802,28.155137656142273,28.263909402967805,0.3949045652880358,28.372275805154938,29.290019197040422,7.283240851609162,1.1725218274024078,1.380274891178469,1.7422974863782885,0.84948428381633234,0.6729745273522304,0.84948234314390803,0.67355241418222567,joint,0.025889283607678452,0.080500990800301542
mirror_clockwise,13779,26.240842477630352,24.064864664298014,1.0280337350363107,28.239226164379861,28.216823448306187,0.39108694397338661,29.467981745375713,28.433000078277626,7.2286894875654726,1.2642466768233513,1.3810366099103717,1.7462152797739827,0.915433137507774,0.7239924489648184,0.91550325205737615,0.72512222020943062,joint,0.032551478849720449,0.08124922008678552
mirror_counterclockwise,15797,28.182155069968218,27.662862181013526,-0.5244082905275721,28.236769406756071,28.231661766413239,0.39066930981938741,29.436413913596908,28.515264773918563,7.2224406888138244,1.3223235291426492,1.3813081944719687,1.7470908831683263,0.95729796900838082,0.75687163265635782,0.95735595515962135,0.75832576831949317,joint,0.032551478849720449,0.081166299127226213
