model_family,spec_name,smooth,mean_design,point_neighbors,cluster_block_shape,cluster_neighbor_blocks,n_cond_points_nominal,loss,converged,fit_steps,precompute_s,fit_s,total_s,n_batches,n_target_blocks,n_target_points,max_points_per_cluster,median_cond_points,max_cond_points,median_target_size,abs_error_sigmasq,sigmasq_re,abs_error_range,range_re,abs_error_nugget,nugget_re,overall_rmsre,median_abs_error,est_sigmasq,est_range,est_nugget,error,fit_id,asset_i,restart,asset_year,asset_day_idx,n_valid,n_grid,valid_by_t,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_target_size,target_chunk_size
point,point_m8,0.5,latlon,8,,,8,1.15480440472565,1,1,0.4694972038269043,4.779676914215088,5.249174118041992,1,0,143853,1,8.0,8,1.0,0.022095433775289663,0.0022095433775289664,0.016693071757799938,0.06814918007712417,0.19324173051523252,0.19324173051523252,0.11830970549035447,0.022095433775289663,10.02209543377529,0.26164204603611774,1.1932417305152325,,1,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",,,,,,
point,point_m16,0.5,latlon,16,,,16,1.1536967412211465,1,1,0.6705601215362549,9.223103284835815,9.89366340637207,1,0,143853,1,16.0,16,1.0,0.019945444525015787,0.0019945444525015787,0.00844716571116283,0.03448540960847187,0.15090033683789672,0.15090033683789672,0.0893758605389393,0.019945444525015787,9.980054555474984,0.25339613998948063,1.1509003368378967,,2,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",,,,,,
point,point_m24,0.5,latlon,24,,,24,1.154454221558422,1,1,0.8786907196044922,25.524646997451782,26.403337717056274,1,0,143853,1,24.0,24,1.0,0.04290524598491707,0.004290524598491707,0.0076008100506320675,0.031030177093110897,0.14946291117246235,0.14946291117246235,0.0881673452549326,0.04290524598491707,9.957094754015083,0.25254978432894987,1.1494629111724624,,3,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",,,,,,
point,point_m40,0.5,latlon,40,,,40,1.1709750987938996,1,1,1.3149940967559814,66.88827013969421,68.2032642364502,1,0,143853,1,40.0,40,1.0,0.05831780491596383,0.005831780491596383,0.006853228853320625,0.027978189635257656,0.1475421360058391,0.1475421360058391,0.08676687281855544,0.05831780491596383,9.941682195084036,0.2518022031316384,1.147542136005839,,4,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",,,,,,
point,point_m60,0.5,latlon,60,,,60,1.1563578549932862,1,1,1.8617007732391357,135.06037402153015,136.9220747947693,1,0,143853,1,60.0,60,1.0,0.06653151528448475,0.0066531515284484755,0.006427811726334665,0.02624143148699699,0.14636356605538214,0.14636356605538214,0.08593635361939957,0.06653151528448475,9.933468484715515,0.25137678600465246,1.1463635660553821,,5,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",,,,,,
cluster,cluster_4x4_B2,0.5,latlon,,4x4,2,32,1.1783544315340109,1,1,0.34068989753723145,4.818366050720215,5.159055948257446,15,9279,143853,16,32.0,32,9.0,0.1812614211189416,0.018126142111894162,0.0038014706817589283,0.015519439070765783,0.13765969547993495,0.13765969547993495,0.0806630889906906,0.13765969547993495,9.818738578881058,0.24114750359655887,1.137659695479935,,6,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",1160.0,4.0,4.0,2.0,16.0,96.0
cluster,cluster_4x4_B3,0.5,latlon,,4x4,3,48,1.1610652591791302,1,1,0.3079521656036377,7.401521921157837,7.709474086761475,15,9279,143853,16,48.0,48,9.0,0.13289913581820123,0.013289913581820124,0.002309903379973971,0.009430141060110727,0.1457508701174126,0.1457508701174126,0.08467361947188494,0.13289913581820123,9.867100864181799,0.24725887765829177,1.1457508701174126,,7,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",1160.0,4.0,4.0,3.0,16.0,96.0
cluster,cluster_4x4_B4,0.5,latlon,,4x4,4,64,1.1570297183837723,1,1,0.3153836727142334,10.792773246765137,11.10815691947937,15,9279,143853,16,64.0,64,9.0,0.08989568414056137,0.008989568414056136,0.005724073352364911,0.023368431605927286,0.14917654101124378,0.14917654101124378,0.08733181231004579,0.08989568414056137,9.910104315859439,0.2506730476306827,1.1491765410112438,,8,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",1160.0,4.0,4.0,4.0,16.0,96.0
cluster,cluster_4x4_B5,0.5,latlon,,4x4,5,80,1.171077165761198,1,1,0.39027905464172363,14.598035335540771,14.988314390182495,15,9279,143853,16,80.0,80,9.0,0.0647376167416045,0.0064737616741604494,0.00634320373261954,0.02589602079905922,0.14880406622239328,0.14880406622239328,0.08728337682086157,0.0647376167416045,9.935262383258396,0.25129217801093734,1.1488040662223933,,9,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",1160.0,4.0,4.0,5.0,16.0,96.0
cluster,cluster_4x4_B6,0.5,latlon,,4x4,6,96,1.1537117001866681,1,1,0.3931100368499756,24.8453471660614,25.238457202911377,15,9279,143853,16,96.0,96,9.0,0.0567052475955343,0.00567052475955343,0.006640091526927405,0.02710806014391695,0.14925044095891704,0.14925044095891704,0.08764073615666425,0.0567052475955343,9.943294752404466,0.2515890658052452,1.149250440958917,,10,1,0,2022,0,143853,18126,"[18047, 18067, 18030, 18009, 18009, 18035, 17932, 17724]",1160.0,4.0,4.0,6.0,16.0,96.0
