model_family,spec_name,n,loss_median,loss_p90_p10,overall_rmsre_median,overall_rmsre_p90_p10,median_abs_error_median,median_abs_error_p90_p10,precompute_s_median,precompute_s_p90_p10,fit_s_median,fit_s_p90_p10,total_s_median,total_s_p90_p10,n_cond_points_nominal_median,n_cond_points_nominal_p90_p10,n_batches_median,n_batches_p90_p10,n_target_points_median,n_target_points_p90_p10
cluster,cluster_4x4_B2,1,1.1783544315340109,0.0,0.0806630889906906,0.0,0.13765969547993495,0.0,0.34068989753723145,0.0,4.818366050720215,0.0,5.159055948257446,0.0,32.0,0.0,15.0,0.0,143853.0,0.0
cluster,cluster_4x4_B3,1,1.1610652591791302,0.0,0.08467361947188494,0.0,0.13289913581820123,0.0,0.3079521656036377,0.0,7.401521921157837,0.0,7.709474086761475,0.0,48.0,0.0,15.0,0.0,143853.0,0.0
point,point_m60,1,1.1563578549932862,0.0,0.08593635361939957,0.0,0.06653151528448475,0.0,1.8617007732391357,0.0,135.06037402153015,0.0,136.9220747947693,0.0,60.0,0.0,1.0,0.0,143853.0,0.0
cluster,cluster_4x4_B7,1,1.1525313336294605,0.0,0.08660016204362736,0.0,0.06349309110009216,0.0,0.4076707363128662,0.0,25.175610065460205,0.0,25.58328080177307,0.0,112.0,0.0,15.0,0.0,143853.0,0.0
point,point_m40,1,1.1709750987938996,0.0,0.08676687281855544,0.0,0.05831780491596383,0.0,1.3149940967559814,0.0,66.88827013969421,0.0,68.2032642364502,0.0,40.0,0.0,1.0,0.0,143853.0,0.0
cluster,cluster_4x4_B5,1,1.171077165761198,0.0,0.08728337682086157,0.0,0.0647376167416045,0.0,0.39027905464172363,0.0,14.598035335540771,0.0,14.988314390182495,0.0,80.0,0.0,15.0,0.0,143853.0,0.0
cluster,cluster_4x4_B4,1,1.1570297183837723,0.0,0.08733181231004579,0.0,0.08989568414056137,0.0,0.3153836727142334,0.0,10.792773246765137,0.0,11.10815691947937,0.0,64.0,0.0,15.0,0.0,143853.0,0.0
cluster,cluster_4x4_B6,1,1.1537117001866681,0.0,0.08764073615666425,0.0,0.0567052475955343,0.0,0.3931100368499756,0.0,24.8453471660614,0.0,25.238457202911377,0.0,96.0,0.0,15.0,0.0,143853.0,0.0
point,point_m24,1,1.154454221558422,0.0,0.0881673452549326,0.0,0.04290524598491707,0.0,0.8786907196044922,0.0,25.524646997451782,0.0,26.403337717056274,0.0,24.0,0.0,1.0,0.0,143853.0,0.0
point,point_m16,1,1.1536967412211465,0.0,0.0893758605389393,0.0,0.019945444525015787,0.0,0.6705601215362549,0.0,9.223103284835815,0.0,9.89366340637207,0.0,16.0,0.0,1.0,0.0,143853.0,0.0
point,point_m8,1,1.15480440472565,0.0,0.11830970549035447,0.0,0.022095433775289663,0.0,0.4694972038269043,0.0,4.779676914215088,0.0,5.249174118041992,0.0,8.0,0.0,1.0,0.0,143853.0,0.0
