day,day_idx,grid_n_lat,grid_n_lon,points_per_hour,n_hours,rows_total,rows_valid,valid_rate,lat_step,lon_step,day_build_s,fft_first_s,fft_median_s,fft_min_s,fft_max_s,fft_seed_lat,fft_seed_lon,reverse_precompute_s,reverse_refine_s,reverse_incremental_s,reverse_total_seed_s,reverse_closure_calls,reverse_points_per_hour,reverse_n_tails,reverse_seed_lat,reverse_seed_lon,reverse_seed_movement,reverse_over_fft_ratio
2024-07-01,0,114,159,18126,8,145008,131428,0.9063499945,0.0440000000,0.0630000000,0.0102092500,0.0254785420,0.0225861670,0.0218279160,0.0254785420,-0.0440000000,-0.2520000000,0.3950105840,5.6409033330,6.0359139169,6.0585000839,4,4560,33050,-0.0600900498,-0.2375717815,0.0216116447,268.2394091305
2024-07-02,1,114,159,18126,8,145008,140191,0.9667811431,0.0440000000,0.0630000000,0.0091012500,0.0272757920,0.0272757920,0.0268491250,0.0291212920,-0.0440000000,-0.2520000000,0.3819848750,7.4585607080,7.8405455830,7.8678213750,5,4560,35193,-0.0447991985,-0.2591891194,0.0072334056,288.4543694468
2024-07-03,2,114,159,18126,8,145008,140352,0.9678914267,0.0440000000,0.0630000000,0.0074402500,0.0230540840,0.0220087080,0.0214225420,0.0272697080,-0.0880000000,-0.2520000000,0.3660651250,5.9489915420,6.3150566670,6.3370653750,4,4560,35236,-0.0958658232,-0.2670606672,0.0169910232,287.9344559476
2024-07-04,3,114,159,18126,8,145008,139272,0.9604435617,0.0440000000,0.0630000000,0.0077632500,0.0195798750,0.0268162920,0.0195798750,0.0284755830,0.0000000000,-0.1260000000,0.3651532500,7.3105145000,7.6756677500,7.7024840420,5,4560,34987,0.0065192320,-0.1817982193,0.0561777684,287.2315102826
2024-07-05,4,114,159,18126,8,145008,142684,0.9839732980,0.0440000000,0.0630000000,0.0065861250,0.0219652910,0.0252712080,0.0219652910,0.0254459170,0.0440000000,-0.2520000000,0.3746820000,7.5616425840,7.9363245841,7.9615957920,5,4560,35838,0.0459978539,-0.2527605368,0.0021377176,315.0461110657
