,points_per_hour,rows_total,rows_valid,valid_rate,day_build_s,fft_first_s,fft_median_s,reverse_precompute_s,reverse_refine_s,reverse_incremental_s,reverse_total_seed_s,reverse_over_fft_ratio,reverse_seed_movement
mean,18126.0000000000,145008.0000000000,138785.4000000000,0.9570878848,0.0082200250,0.0234707168,0.0247916334,0.3765791668,6.7841225334,7.1607017002,7.1854933336,289.3811711746,0.0208303119
median,18126.0000000000,145008.0000000000,140191.0000000000,0.9667811431,0.0077632500,0.0230540840,0.0252712080,0.3746820000,7.3105145000,7.6756677500,7.7024840420,287.9344559476,0.0169910232
min,18126.0000000000,145008.0000000000,131428.0000000000,0.9063499945,0.0065861250,0.0195798750,0.0220087080,0.3651532500,5.6409033330,6.0359139169,6.0585000839,268.2394091305,0.0021377176
max,18126.0000000000,145008.0000000000,142684.0000000000,0.9839732980,0.0102092500,0.0272757920,0.0272757920,0.3950105840,7.5616425840,7.9363245841,7.9615957920,315.0461110657,0.0561777684
