year,month,day_num,direction,lag,model,smooth,fitted_gamma_t0,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget,resolution_label,variant
2024,7,1,lat,0.0440,nu=0.3 x1 nugget_free,0.3000,3.5860,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,0.1320,nu=0.3 x1 nugget_free,0.3000,6.6447,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,0.1760,nu=0.3 x1 nugget_free,0.3000,7.7108,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,0.3960,nu=0.3 x1 nugget_free,0.3000,11.0641,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,0.6160,nu=0.3 x1 nugget_free,0.3000,12.7588,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,0.8360,nu=0.3 x1 nugget_free,0.3000,13.6793,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,1.0560,nu=0.3 x1 nugget_free,0.3000,14.1939,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,1.2760,nu=0.3 x1 nugget_free,0.3000,14.4861,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,1.4960,nu=0.3 x1 nugget_free,0.3000,14.6537,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,1.7160,nu=0.3 x1 nugget_free,0.3000,14.7504,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,1.9360,nu=0.3 x1 nugget_free,0.3000,14.8065,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,2.1560,nu=0.3 x1 nugget_free,0.3000,14.8392,hour_dummy_plus_lat_lon_ols,False,14.8852,0.4265,0.4943,2.3470,0.0000,x1,nugget_free
2024,7,1,lat,0.0440,nu=0.5 x1 nugget_free,0.5000,3.0841,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,0.1320,nu=0.5 x1 nugget_free,0.5000,6.5959,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,0.1760,nu=0.5 x1 nugget_free,0.5000,7.8073,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,0.3960,nu=0.5 x1 nugget_free,0.5000,10.9076,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,0.6160,nu=0.5 x1 nugget_free,0.5000,11.8294,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,0.8360,nu=0.5 x1 nugget_free,0.5000,12.1034,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,1.0560,nu=0.5 x1 nugget_free,0.5000,12.1849,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,1.2760,nu=0.5 x1 nugget_free,0.5000,12.2091,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,1.4960,nu=0.5 x1 nugget_free,0.5000,12.2163,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,1.7160,nu=0.5 x1 nugget_free,0.5000,12.2184,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
2024,7,1,lat,1.9360,nu=0.5 x1 nugget_free,0.5000,12.2191,hour_dummy_plus_lat_lon_ols,False,11.6433,0.1814,0.2127,1.1799,0.5760,x1,nugget_free
