tile_id,tile_y,tile_x,tile_center_lat,tile_center_lon,n,smooth_mean,smooth_median,smooth_sd,smooth_q10,smooth_q90,smooth_min,smooth_max,sigmasq_median,range_lat_median,range_lon_median,nugget_median,nugget_mean,qc_removed_sum,qc_removed_mean
0,0,0,-1.745,122.29025,76,0.32621938157894736,0.31338900000000003,0.06834952870375766,0.2437695,0.42432400000000003,0.217011,0.502058,12.327100999999999,0.2972665,0.337095,0.000287,0.05419234210526316,13,0.17105263157894737
1,0,1,-1.745,124.77875,76,0.3828760657894737,0.3766045,0.10506910048475533,0.2740785,0.4880685,0.197966,0.935941,12.0199405,0.18527349999999998,0.21455649999999998,0.0002785,0.08751993421052631,3,0.039473684210526314
2,0,2,-1.745,127.26725,76,0.4178111578947369,0.4045455,0.0960445541359568,0.313408,0.506578,0.273265,0.813897,12.5677925,0.2117635,0.2443285,0.0002385,0.054293513157894734,7,0.09210526315789473
3,0,3,-1.745,129.75575,76,0.3698984736842105,0.372774,0.07625621096478609,0.2718895,0.46731,0.176262,0.569136,13.393262,0.2150895,0.2534735,0.0003975,0.09209440789473684,10,0.13157894736842105
4,1,0,0.741,122.29025,76,0.37858392105263156,0.3748835,0.07929778346877264,0.28174699999999997,0.4723865,0.170103,0.585817,13.030426,0.189887,0.245144,0.00037,0.1046241052631579,18,0.23684210526315788
5,1,1,0.741,124.77875,76,0.3778078026315789,0.36149050000000005,0.09289972687308537,0.2761225,0.504704,0.181164,0.646639,12.653731,0.19226100000000002,0.2435345,0.0003215,0.07281927631578948,7,0.09210526315789473
6,1,2,0.741,127.26725,76,0.38832619736842106,0.39868,0.06507774556062818,0.29383349999999997,0.4566805,0.251492,0.573398,15.3233085,0.2028895,0.26288100000000003,0.0003905,0.07869761842105263,11,0.14473684210526316
7,1,3,0.741,129.75575,76,0.4129340789473684,0.41952999999999996,0.0912125601553884,0.28643850000000004,0.5140645,0.226891,0.701095,14.4376615,0.1722235,0.211679,0.000415,0.10182198684210526,23,0.3026315789473684
