index,smooth,sigmasq,range_lat,range_lon,nugget,loss,nll,n_fit,n_qc_removed,qc_max_abs_whitened
smooth,1.0,0.20455878602584587,-0.3770029951935016,-0.42400497629646666,-0.12572783826945136,0.10421663633476251,0.07547972949650293,-0.03575678191768634,-0.16701230516643661,-0.08951292397380907
sigmasq,0.20455878602584587,1.0,0.2197551102522029,0.21841789185797533,0.1093324752235696,0.6956188460434543,0.4876107285198738,0.0374765499115708,0.05289295123282034,0.012753935056353603
range_lat,-0.3770029951935016,0.2197551102522029,1.0,0.8667407286119838,-0.07219695825972582,-0.32565937169531967,-0.42379799869369816,-0.3753606511529567,0.010997961940458656,0.007576726812531832
range_lon,-0.42400497629646666,0.21841789185797533,0.8667407286119838,1.0,0.07626860418594648,-0.28199747066029884,-0.353640645242032,-0.3191737719756437,0.038630561432457265,-0.00504308903258544
nugget,-0.12572783826945136,0.1093324752235696,-0.07219695825972582,0.07626860418594648,1.0,0.26748277755862826,0.24614934113279552,0.10873551814154846,0.1246619071283404,0.09018930114777075
loss,0.10421663633476251,0.6956188460434543,-0.32565937169531967,-0.28199747066029884,0.26748277755862826,1.0,0.8516551355157007,0.35727682812196393,0.14491241095553353,0.08092789849517142
nll,0.07547972949650293,0.4876107285198738,-0.42379799869369816,-0.353640645242032,0.24614934113279552,0.8516551355157007,1.0,0.758790074821359,0.1884348385500555,0.12103386982482053
n_fit,-0.03575678191768634,0.0374765499115708,-0.3753606511529567,-0.3191737719756437,0.10873551814154846,0.35727682812196393,0.758790074821359,1.0,0.17191408661871346,0.13707965798099064
n_qc_removed,-0.16701230516643661,0.05289295123282034,0.010997961940458656,0.038630561432457265,0.1246619071283404,0.14491241095553353,0.1884348385500555,0.17191408661871346,1.0,0.5160859812953148
qc_max_abs_whitened,-0.08951292397380907,0.012753935056353603,0.007576726812531832,-0.00504308903258544,0.09018930114777075,0.08092789849517142,0.12103386982482053,0.13707965798099064,0.5160859812953148,1.0
