hour_index,day_index,hour_slot,hour_utc,hour,month,method,nugget_mode,tile_id,tile_y,tile_x,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_center_lat,tile_center_lon,sigmasq,range_lat,range_lon,smooth,nugget,phi1,phi2,phi3,sigma,success,loss,nll,message,n_eval,raw_params,n_restarts,n,n_fit,n_initial_fit,fit_method,outlier_whitened_threshold,n_qc_initial_fit,n_qc_removed,n_qc_fit,qc_max_abs_whitened,qc_refit,qc_initial_success,source_file,pre_qc_loss,pre_qc_nll,hour_utc_dt
49,7,1,1,2024-07-07T01:00:00Z,2024-07,full_likelihood,free,1,0,1,-2.988,-0.502,123.5345,126.023,-1.745,124.77875,5.544892,0.067317,0.143038,0.935941,2.486952,38.765141,6.991144,4.514994,2.354759,True,2.234334,5094.282367,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,186,"[3.6575214162737195, 1.9446442388088343, 1.507403914309479, -0.5683896345131614, 0.9110577001249405]",1,2280,2280,2280,full_likelihood,10.0,2280,0,2280,4.741204,False,True,h049_20240707T0100Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000001
73,10,1,1,2024-07-10T01:00:00Z,2024-07,full_likelihood,free,2,0,2,-2.988,-0.502,126.023,128.5115,-1.745,127.26725,3.134598,0.111341,0.152266,0.813897,1.140038,20.586283,6.56744,1.870241,1.77048,True,1.850115,2958.334164,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,174,"[3.0246249819656903, 1.8821241484446702, 0.6260673854265457, -0.7917421264322406, 0.13106156414701287]",1,1599,1599,1599,full_likelihood,10.0,1599,0,1599,3.781317,False,True,h073_20240710T0100Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000001
5,1,5,5,2024-07-01T05:00:00Z,2024-07,full_likelihood,free,2,0,2,-2.988,-0.502,126.023,128.5115,-1.745,127.26725,5.761579,0.209858,0.206007,0.793093,0.440633,27.967878,4.854203,0.963632,2.400329,True,1.621052,3031.367938,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,144,"[3.331056622447541, 1.5798450210779522, -0.03704555411478027, -0.8316177078081658, -0.8195426536242211]",1,1870,1870,1870,full_likelihood,10.0,1870,0,1870,6.958666,False,True,h005_20240701T0500Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000005
73,10,1,1,2024-07-10T01:00:00Z,2024-07,full_likelihood,free,7,1,3,-0.502,1.984,128.5115,131.0,0.741,129.75575,3.931508,0.182505,0.379965,0.701095,0.664477,10.347016,2.631819,4.334507,1.982803,True,1.608406,2090.927468,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,144,"[2.3366982154860585, 0.9676751208570404, 1.4666077734598362, -1.0162788257180915, -0.40875567743627916]",1,1300,1300,1300,full_likelihood,10.0,1300,0,1300,3.482268,False,True,h073_20240710T0100Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000001
28,4,4,4,2024-07-04T04:00:00Z,2024-07,full_likelihood,free,5,1,1,-0.502,1.984,123.5345,126.023,0.741,124.77875,15.10795,0.127831,0.145695,0.646639,0.000178,103.695786,6.863657,1.29902,3.886895,True,2.195243,4875.635296,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,204,"[4.641461474429281, 1.926240347498355, 0.2616102488476192, -1.133444440283976, -8.633686863747524]",1,2221,2221,2221,full_likelihood,10.0,2221,0,2221,4.863163,False,True,h028_20240704T0400Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000004
51,7,3,3,2024-07-07T03:00:00Z,2024-07,full_likelihood,free,1,0,1,-2.988,-0.502,123.5345,126.023,-1.745,124.77875,13.740205,0.118898,0.191058,0.643365,1.426817,71.916272,5.234003,2.582155,3.706778,True,2.303575,5229.114836,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84,"[4.275502553978074, 1.6551763768825691, 0.9486242601099939, -1.1407102692661344, 0.3554462357071009]",1,2270,2270,2270,full_likelihood,10.0,2270,0,2270,4.747248,False,True,h051_20240707T0300Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000003
6,1,6,6,2024-07-01T06:00:00Z,2024-07,full_likelihood,free,2,0,2,-2.988,-0.502,126.023,128.5115,-1.745,127.26725,5.896316,0.231047,0.213598,0.621247,0.255964,27.604787,4.681701,0.854656,2.428233,True,1.617646,3308.086625,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,108,"[3.3179891877008436, 1.543661520621777, -0.15705566875263216, -1.1905428893053451, -1.362717271095445]",1,2045,2045,2045,full_likelihood,10.0,2045,0,2045,5.364225,False,True,h006_20240701T0600Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000006
1,1,1,1,2024-07-01T01:00:00Z,2024-07,full_likelihood,free,7,1,3,-0.502,1.984,128.5115,131.0,0.741,129.75575,13.936736,0.132917,0.155972,0.620765,0.000117,89.354252,6.411419,1.376995,3.733194,True,2.157674,3881.655165,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,210,"[4.492608832218378, 1.8580805736027457, 0.31990376379573515, -1.191642726337051, -9.055366862799554]",1,1799,1799,1799,full_likelihood,10.0,1799,0,1799,4.101704,False,True,h001_20240701T0100Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000001
47,6,7,7,2024-07-06T07:00:00Z,2024-07,full_likelihood,free,5,1,1,-0.502,1.984,123.5345,126.023,0.741,124.77875,11.628786,0.103801,0.148499,0.614839,0.943244,78.308908,6.734057,2.046653,3.410101,True,2.294091,5042.411892,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,72,"[4.360661361508152, 1.9071777931205092, 0.7162058458272841, -1.2052278157551204, -0.0584306265631947]",1,2198,2198,2198,full_likelihood,10.0,2198,0,2198,9.793306,False,True,h047_20240706T0700Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000007
5,1,5,5,2024-07-01T05:00:00Z,2024-07,full_likelihood,free,1,0,1,-2.988,-0.502,123.5345,126.023,-1.745,124.77875,16.501113,0.140198,0.159428,0.59343,0.000182,103.501678,6.272406,1.293153,4.062156,True,2.248728,4155.648746,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,198,"[4.639587827896885, 1.8361599757819507, 0.2570835865142924, -1.2551609229016396, -8.614110219696354]",1,1848,1848,1848,full_likelihood,10.0,1848,0,1848,3.591867,False,True,h005_20240701T0500Z_full_likelihood_free_tiles.csv,,,1970-01-01 00:00:00.000000005
