hour_index,hour_utc_dt,day_index,hour_slot,smooth_median,smooth_mean,smooth_min,smooth_max,range_lat_median,range_lon_median,nugget_median,qc_removed_sum
0,1970-01-01 00:00:00.000000000,1,0,0.3547695,0.352479125,0.258157,0.449608,0.44216849999999996,0.5938220000000001,0.000404,0
1,1970-01-01 00:00:00.000000001,1,1,0.382548,0.39049325,0.267669,0.620765,0.2732375,0.4211545,0.000331,0
2,1970-01-01 00:00:00.000000002,1,2,0.419093,0.415032875,0.305927,0.534016,0.20819100000000001,0.277637,0.00017999999999999998,0
3,1970-01-01 00:00:00.000000003,1,3,0.4185675,0.4092945,0.308273,0.522681,0.24377100000000002,0.2810895,0.000174,0
4,1970-01-01 00:00:00.000000004,1,4,0.420909,0.40945075,0.283339,0.545663,0.261043,0.2766035,0.0001965,0
5,1970-01-01 00:00:00.000000005,1,5,0.400787,0.4583315,0.332621,0.793093,0.212915,0.21911049999999999,0.00024150000000000002,0
6,1970-01-01 00:00:00.000000006,1,6,0.384994,0.41977025,0.334082,0.621247,0.219655,0.2181905,0.0002495,0
7,1970-01-01 00:00:00.000000007,1,7,0.37563199999999997,0.382152125,0.342063,0.463411,0.2120455,0.213736,0.00015099999999999998,3
8,1970-01-01 00:00:00.000000000,2,0,0.33026,0.341755,0.219185,0.474175,0.1877995,0.2383275,0.0014565,4
9,1970-01-01 00:00:00.000000001,2,1,0.3677055,0.366120375,0.25169,0.441159,0.1597575,0.203574,0.0007245,4
10,1970-01-01 00:00:00.000000002,2,2,0.38594,0.37929025,0.262426,0.448665,0.180634,0.2269855,0.00041549999999999996,4
11,1970-01-01 00:00:00.000000003,2,3,0.3930435,0.39820737500000003,0.339443,0.474814,0.180365,0.2282555,0.0003815,1
12,1970-01-01 00:00:00.000000004,2,4,0.3881645,0.394055625,0.35358,0.452689,0.1987885,0.2600595,0.0004375,3
13,1970-01-01 00:00:00.000000005,2,5,0.369612,0.3684325,0.287209,0.449365,0.243133,0.26733450000000003,0.0004345,0
14,1970-01-01 00:00:00.000000006,2,6,0.39261500000000005,0.403112375,0.338051,0.489821,0.1814885,0.2088045,0.0002975,0
15,1970-01-01 00:00:00.000000007,2,7,0.30483099999999996,0.3132975,0.252202,0.375965,0.213399,0.253308,0.000446,9
16,1970-01-01 00:00:00.000000000,3,0,0.30072299999999996,0.32107474999999996,0.221162,0.524678,0.2375905,0.328758,0.000385,3
17,1970-01-01 00:00:00.000000001,3,1,0.30423,0.30759675000000003,0.176262,0.459521,0.19846049999999998,0.27261199999999997,0.00037799999999999997,1
18,1970-01-01 00:00:00.000000002,3,2,0.35311950000000003,0.35302125,0.235627,0.502058,0.1577615,0.21784199999999998,0.0006850000000000001,1
19,1970-01-01 00:00:00.000000003,3,3,0.3992135,0.384263,0.253464,0.464043,0.167247,0.2077055,0.00042500000000000003,0
20,1970-01-01 00:00:00.000000004,3,4,0.383483,0.3931715,0.268757,0.495176,0.172468,0.23054449999999999,0.000622,0
21,1970-01-01 00:00:00.000000005,3,5,0.3870245,0.366626375,0.271564,0.429912,0.2001775,0.2247325,0.0002475,0
22,1970-01-01 00:00:00.000000006,3,6,0.378078,0.36655675,0.272215,0.430248,0.22709600000000002,0.2260005,0.0002505,2
23,1970-01-01 00:00:00.000000007,3,7,0.33779950000000003,0.35703850000000004,0.27572,0.480323,0.218835,0.211731,0.000452,3
24,1970-01-01 00:00:00.000000000,4,0,0.3592605,0.363713375,0.245566,0.569136,0.1646,0.3063985,0.0041,2
25,1970-01-01 00:00:00.000000001,4,1,0.380676,0.39249375,0.286837,0.586903,0.16233999999999998,0.251978,0.0008634999999999999,2
26,1970-01-01 00:00:00.000000002,4,2,0.400028,0.40677375,0.304458,0.529533,0.1691485,0.241026,0.000435,0
27,1970-01-01 00:00:00.000000003,4,3,0.4055265,0.402587125,0.271506,0.489781,0.1545505,0.24181799999999998,0.000414,0
28,1970-01-01 00:00:00.000000004,4,4,0.426601,0.44539825,0.280839,0.646639,0.16016049999999998,0.24114649999999999,0.00027249999999999996,0
29,1970-01-01 00:00:00.000000005,4,5,0.45136350000000003,0.449269875,0.249464,0.573398,0.15706399999999998,0.21459699999999998,0.0004725,1
30,1970-01-01 00:00:00.000000006,4,6,0.4021355,0.389941375,0.226891,0.491606,0.1611765,0.21847850000000002,0.0002185,1
