hour_index,hour_utc_dt,day_index,hour_slot,smooth_median,smooth_mean,smooth_min,smooth_max,range_lat_median,range_lon_median,nugget_median,qc_removed_sum
31,1970-01-01 00:00:00.000000007,4,7,0.3796005,0.385392625,0.239585,0.487746,0.1750625,0.2038345,0.000167,2
32,1970-01-01 00:00:00.000000000,5,0,0.270943,0.282380875,0.170103,0.437303,0.2576025,0.359459,0.0004355,4
33,1970-01-01 00:00:00.000000001,5,1,0.303942,0.332115,0.216786,0.469707,0.21757900000000002,0.3062895,0.0009664999999999999,2
34,1970-01-01 00:00:00.000000002,5,2,0.365107,0.402665625,0.303672,0.559963,0.17366199999999998,0.21941850000000002,0.0012799999999999999,3
35,1970-01-01 00:00:00.000000003,5,3,0.37903450000000005,0.40144437499999996,0.299504,0.583939,0.1527135,0.195828,0.001106,0
36,1970-01-01 00:00:00.000000004,5,4,0.42251,0.409375875,0.280728,0.498618,0.154162,0.193425,0.0005995,1
37,1970-01-01 00:00:00.000000005,5,5,0.412122,0.404399,0.329751,0.488864,0.1860155,0.2037335,0.0002155,3
38,1970-01-01 00:00:00.000000006,5,6,0.3859705,0.378905875,0.28137,0.436178,0.2026635,0.24680449999999998,0.00019950000000000002,2
39,1970-01-01 00:00:00.000000007,5,7,0.353051,0.358442625,0.320681,0.414223,0.196524,0.2337805,0.00023,2
40,1970-01-01 00:00:00.000000000,6,0,0.3308455,0.336848125,0.280273,0.4329,0.38137699999999997,0.48093549999999996,0.001964,0
41,1970-01-01 00:00:00.000000001,6,1,0.309716,0.33069475,0.26685,0.456632,0.3261115,0.39566650000000003,0.0006364999999999999,3
42,1970-01-01 00:00:00.000000002,6,2,0.405816,0.381260375,0.262842,0.451816,0.25333249999999996,0.336747,0.0003705,3
43,1970-01-01 00:00:00.000000003,6,3,0.37439500000000003,0.35905475,0.255181,0.451157,0.2391635,0.28588,0.00032649999999999997,1
44,1970-01-01 00:00:00.000000004,6,4,0.33439450000000004,0.34257475,0.294416,0.393099,0.254703,0.291582,0.000403,0
45,1970-01-01 00:00:00.000000005,6,5,0.343349,0.342040375,0.260137,0.455625,0.276163,0.265987,0.000361,3
46,1970-01-01 00:00:00.000000006,6,6,0.33431350000000004,0.358271,0.272719,0.491563,0.370236,0.335582,0.0001515,0
47,1970-01-01 00:00:00.000000007,6,7,0.363745,0.382363875,0.28909,0.614839,0.2116635,0.27405250000000003,0.0001415,4
48,1970-01-01 00:00:00.000000000,7,0,0.3926855,0.38828612500000004,0.240259,0.514985,0.261753,0.394115,0.0672825,0
49,1970-01-01 00:00:00.000000001,7,1,0.401997,0.44379962500000003,0.222019,0.935941,0.283825,0.47410699999999995,0.047425999999999996,0
50,1970-01-01 00:00:00.000000002,7,2,0.372077,0.380208,0.277133,0.514501,0.2128645,0.2864715,0.0004495,0
51,1970-01-01 00:00:00.000000003,7,3,0.4198275,0.438653125,0.281853,0.643365,0.251797,0.308289,0.0009365,0
52,1970-01-01 00:00:00.000000004,7,4,0.46995750000000003,0.430857625,0.241809,0.574455,0.194058,0.24376549999999997,0.0006305,0
53,1970-01-01 00:00:00.000000005,7,5,0.3588835,0.3610585,0.266106,0.497328,0.20116,0.25942299999999996,0.0003525,0
54,1970-01-01 00:00:00.000000006,7,6,0.3746855,0.3792985,0.221483,0.52605,0.2216625,0.251298,0.000177,1
55,1970-01-01 00:00:00.000000007,7,7,0.38184399999999996,0.399207625,0.273265,0.585817,0.22700599999999999,0.263173,0.000381,9
56,1970-01-01 00:00:00.000000000,8,0,0.377764,0.3816985,0.279667,0.469087,0.265465,0.30823,0.00036849999999999996,3
57,1970-01-01 00:00:00.000000001,8,1,0.37925600000000004,0.406766375,0.311464,0.50512,0.1844845,0.21353,0.0008195,0
58,1970-01-01 00:00:00.000000002,8,2,0.462402,0.450639875,0.284951,0.5391,0.159438,0.186515,0.0004625,0
59,1970-01-01 00:00:00.000000003,8,3,0.4249595,0.42490025,0.341027,0.505337,0.188244,0.2054165,0.0012485,0
60,1970-01-01 00:00:00.000000004,8,4,0.429373,0.430482625,0.374659,0.504288,0.1795835,0.1867995,0.000283,0
61,1970-01-01 00:00:00.000000005,8,5,0.41375850000000003,0.441782375,0.375581,0.553575,0.16762549999999998,0.15731299999999998,0.000147,0
62,1970-01-01 00:00:00.000000006,8,6,0.4298125,0.42540375,0.313908,0.537581,0.1767455,0.143929,0.0001715,0
63,1970-01-01 00:00:00.000000007,8,7,0.437565,0.449858875,0.368558,0.541011,0.148,0.1249285,0.000181,0
64,1970-01-01 00:00:00.000000000,9,0,0.3271955,0.352226,0.259098,0.471809,0.28342049999999996,0.3335085,0.0002695,0
65,1970-01-01 00:00:00.000000001,9,1,0.36954149999999997,0.37458474999999997,0.279798,0.462151,0.29054100000000005,0.3801435,0.0005369999999999999,0
66,1970-01-01 00:00:00.000000002,9,2,0.3483905,0.366271625,0.274982,0.513144,0.189529,0.21519749999999999,0.00030199999999999997,0
67,1970-01-01 00:00:00.000000003,9,3,0.380905,0.375884375,0.286715,0.462798,0.1947715,0.242153,0.000301,0
68,1970-01-01 00:00:00.000000004,9,4,0.39467949999999996,0.38322175,0.282347,0.427447,0.1972015,0.23198950000000002,0.000122,0
69,1970-01-01 00:00:00.000000005,9,5,0.3489945,0.35636075,0.22907,0.435551,0.2162645,0.23504150000000001,0.000303,0
70,1970-01-01 00:00:00.000000006,9,6,0.33555999999999997,0.331826625,0.22609,0.403969,0.20227099999999998,0.212522,0.0001385,0
71,1970-01-01 00:00:00.000000007,9,7,0.3456575,0.34562875,0.256415,0.487921,0.16292600000000002,0.165826,0.000144,0
72,1970-01-01 00:00:00.000000000,10,0,0.281993,0.277176875,0.220157,0.340614,0.22110200000000002,0.321492,0.000321,1
73,1970-01-01 00:00:00.000000001,10,1,0.293733,0.404262875,0.217011,0.813897,0.18077100000000002,0.26909,0.0007605,0
74,1970-01-01 00:00:00.000000002,10,2,0.360333,0.3481035,0.269504,0.439808,0.1678735,0.225959,0.0012885000000000001,1
75,1970-01-01 00:00:00.000000003,10,3,0.3714025,0.379861,0.248419,0.522672,0.1459705,0.2244885,0.000147,0
