hour_index,day_index,hour_slot,hour_utc,hour,month,method,nugget_mode,tile_id,tile_y,tile_x,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_center_lat,tile_center_lon,sigmasq,range_lat,range_lon,smooth,nugget,phi1,phi2,phi3,sigma,success,loss,nll,message,n_eval,raw_params,n_restarts,n,n_fit,n_initial_fit,fit_method,outlier_whitened_threshold,n_qc_initial_fit,n_qc_removed,n_qc_fit,qc_max_abs_whitened,qc_refit,qc_initial_success,pre_qc_loss,pre_qc_nll
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,0,0,0,-2.988000,-0.502000,121.046000,123.534500,-1.745000,122.290250,12.946703,0.328083,0.426272,0.283901,0.000225,30.371937,2.345921,1.688134,3.598153,True,2.143642,4863.924174,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,258,"[3.4135190573815843, 0.8526778781660701, 0.523623613731942, -2.2486066901526183, -8.400526504169905]",1,2269,2269,2269,full_likelihood,10.000000,2269,0,2269,4.865164,False,True,,
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,1,0,1,-2.988000,-0.502000,123.534500,126.023000,-1.745000,124.778750,15.721424,0.159463,0.149577,0.454539,0.000094,105.106190,6.685539,0.879844,3.965025,True,2.312450,4897.769469,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,240,"[4.654971174412558, 1.8999467967879928, -0.12801051791807624, -1.6206297862980297, -9.272230942449273]",1,2118,2118,2118,full_likelihood,10.000000,2118,0,2118,5.647539,False,True,,
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,2,0,2,-2.988000,-0.502000,126.023000,128.511500,-1.745000,127.267250,11.242242,0.349027,0.309959,0.300198,0.056783,36.270124,3.226236,0.788659,3.352945,True,2.084015,4461.876154,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,258,"[3.5909943593306046, 1.1713160242763767, -0.23742100506185942, -2.173868137875297, -2.868526901863308]",1,2141,2141,2141,full_likelihood,10.000000,2141,0,2141,5.714795,False,True,,
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,3,0,3,-2.988000,-0.502000,128.511500,131.000000,-1.745000,129.755750,10.932730,0.290922,0.326754,0.275720,0.120285,33.458556,3.060403,1.261507,3.306468,True,2.141893,4799.982676,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,276,"[3.510307551441947, 1.1185465093601468, 0.23230707798696404, -2.2878934543129787, -2.117894246208919]",1,2241,2241,2241,full_likelihood,10.000000,2241,0,2241,5.638422,False,True,,
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,4,1,0,-0.502000,1.984000,121.046000,123.534500,0.741000,122.290250,10.644628,0.178441,0.179652,0.375401,0.000200,59.251468,5.566326,1.013617,3.262611,True,2.142846,4602.833480,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,228,"[4.081790556855021, 1.7167352100476314, 0.013524829825816835, -1.876279057677122, -8.518395407224586]",1,2148,2148,2148,full_likelihood,10.000000,2148,0,2148,5.285220,False,True,,
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,5,1,1,-0.502000,1.984000,123.534500,126.023000,0.741000,124.778750,13.661676,0.112715,0.117615,0.480323,0.019772,116.156240,8.502342,1.088837,3.696170,True,2.344596,5005.712233,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; whitened_outlier_qc |r|>10 removed 1/2136,270,"[4.75493617892166, 2.1403416384654723, 0.08510978165679867, -1.5461558213911433, -3.9235046733904686]",1,2136,2135,2136,full_likelihood,10.000000,2136,1,2135,10.005600,True,True,2.372451,5067.556234
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,6,1,2,-0.502000,1.984000,126.023000,128.511500,0.741000,127.267250,12.122796,0.184518,0.169882,0.400186,0.000235,71.360087,5.886438,0.847648,3.481781,True,2.185133,4341.859745,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,210,"[4.267738708045511, 1.772651098439414, -0.16528930903620206, -1.7911400031098286, -8.356405493624166]",1,1987,1987,1987,full_likelihood,10.000000,1987,0,1987,9.736325,False,True,,
23,3,7,7,2024-07-03T07:00:00Z,2024-07,full_likelihood,free,7,1,3,-0.502000,1.984000,128.511500,131.000000,0.741000,129.755750,17.555454,0.253152,0.243810,0.286040,0.000669,72.004524,4.101547,0.927558,4.189923,True,2.401119,5308.873913,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; whitened_outlier_qc |r|>10 removed 2/2213,222,"[4.276728946427908, 1.411364281729084, -0.07520017332011189, -2.2385381872580465, -7.310161040559759]",1,2213,2211,2213,full_likelihood,10.000000,2213,2,2211,18.140707,True,True,2.553601,5651.118209
