model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,valid_rate,n_valid_o3
Debiased_Whittle,2025-07-13,10.4428,0.1444,0.2332,0.7388,0.0402,-0.3238,1.3723,339083.1680,102.6563,,
Vecchia_mm20,2025-07-13,19.4011,0.2789,0.5770,1.6070,0.0359,-0.1726,2.9342,1.5711,37.4239,,
Corridor_4x4_lag643,2025-07-14,16.1775,0.2151,0.3718,1.1544,0.0437,-0.1943,1.4452,1.3176,20.4270,0.8886,128847.0000
Debiased_Whittle,2025-07-14,12.1216,0.1893,0.3196,1.0456,0.0501,-0.3744,0.8847,101410.7200,82.1191,,
Vecchia_mm20,2025-07-14,19.5246,0.3148,0.6320,1.7326,0.0378,-0.1498,2.2635,1.4960,34.3813,,
Corridor_4x4_lag643,2025-07-15,14.8524,0.2615,0.2843,1.1774,0.0458,-0.1132,1.0660,1.2462,22.1580,0.9235,133911.0000
Debiased_Whittle,2025-07-15,10.4792,0.1985,0.2381,1.2642,0.0156,-0.2913,0.6823,-18568.1600,68.4075,,
Vecchia_mm20,2025-07-15,14.9047,0.3159,0.3829,1.4458,0.0406,-0.0963,1.4785,1.3938,29.9923,,
Corridor_4x4_lag643,2025-07-16,16.3494,0.2092,0.2302,1.1429,0.0066,-0.0363,1.4451,1.3940,23.0994,0.9484,137525.0000
Debiased_Whittle,2025-07-16,11.4936,0.1369,0.1543,0.8499,-0.0146,0.0607,0.9052,451206.2880,93.3717,,
Vecchia_mm20,2025-07-16,17.8060,0.2704,0.3317,1.5205,0.0104,-0.0461,2.1673,1.5572,41.9036,,
Corridor_4x4_lag643,2025-07-17,13.2690,0.1826,0.1819,1.1254,0.0019,-0.0420,1.5909,1.3898,27.1537,0.9823,142441.0000
Debiased_Whittle,2025-07-17,10.4973,0.1685,0.1386,0.7759,0.0025,0.1144,1.0027,336940.6880,84.2753,,
Vecchia_mm20,2025-07-17,15.1050,0.3165,0.3318,1.9017,-0.0044,-0.0623,2.9939,1.5504,42.2082,,
Corridor_4x4_lag643,2025-07-18,9.8741,0.2074,0.2521,1.2395,-0.0147,-0.0124,1.7984,1.2677,30.2204,0.9898,143529.0000
