year,month,lat_lag,lon_lag,gamma_min,n_pairs,row,col,day_num,tau,lat_step,lon_step
2025,7,0.0440,-0.2520,9.6274,106991,21,16,1,1,0.0440,0.0630
2025,7,0.0880,-0.6300,11.2959,84981,22,10,1,2,0.0440,0.0630
2025,7,0.3080,-1.0710,11.8327,63548,27,3,1,3,0.0440,0.0630
2025,7,0.0000,-0.3780,5.8204,96173,20,14,2,1,0.0440,0.0630
2025,7,-0.0440,-0.7560,7.3109,75262,19,8,2,2,0.0440,0.0630
2025,7,-0.4400,-0.7560,8.1407,56151,10,8,2,3,0.0440,0.0630
2025,7,-0.0440,-0.2520,9.4411,120431,19,16,3,1,0.0440,0.0630
2025,7,-0.0880,-0.5670,11.5108,98814,18,11,3,2,0.0440,0.0630
2025,7,-0.2640,-1.0080,12.6318,75532,14,4,3,3,0.0440,0.0630
2025,7,0.0000,-0.0630,9.6970,120756,20,19,4,1,0.0440,0.0630
2025,7,-0.0440,0.0000,11.4439,103407,19,20,4,2,0.0440,0.0630
2025,7,-0.0440,-0.0630,12.1307,85566,19,19,4,3,0.0440,0.0630
2025,7,-0.0440,-0.4410,12.3113,115542,19,13,5,1,0.0440,0.0630
2025,7,-0.0880,-0.8820,16.0275,93666,18,6,5,2,0.0440,0.0630
2025,7,-0.0440,-1.2600,17.9416,75516,19,0,5,3,0.0440,0.0630
2025,7,0.0440,-0.3780,12.1708,111962,21,14,6,1,0.0440,0.0630
2025,7,0.1320,-0.6300,15.8612,90819,23,10,6,2,0.0440,0.0630
2025,7,0.1320,-0.6300,17.9383,75290,23,10,6,3,0.0440,0.0630
2025,7,0.0000,-0.3150,8.0394,103137,20,15,7,1,0.0440,0.0630
2025,7,0.0000,-0.5670,10.3678,83591,20,11,7,2,0.0440,0.0630
2025,7,-0.0440,-0.7560,11.6788,66297,19,8,7,3,0.0440,0.0630
2025,7,-0.0440,-0.1890,9.7808,121096,19,17,8,1,0.0440,0.0630
2025,7,-0.0880,-0.2520,12.0838,102087,18,16,8,2,0.0440,0.0630
2025,7,-0.0880,-0.3780,13.3478,83937,18,14,8,3,0.0440,0.0630
2025,7,0.0000,0.0000,7.6236,114996,20,20,9,1,0.0440,0.0630
2025,7,-0.0440,0.0000,9.2541,96716,19,20,9,2,0.0440,0.0630
2025,7,-0.0440,0.0000,10.1762,79892,19,20,9,3,0.0440,0.0630
2025,7,-0.0440,-0.0630,10.4325,118140,19,19,10,1,0.0440,0.0630
2025,7,0.0000,-0.1260,13.7864,100555,20,18,10,2,0.0440,0.0630
2025,7,0.0440,-0.3150,15.1170,81143,21,15,10,3,0.0440,0.0630
2025,7,0.0000,-0.0630,9.1860,113233,20,19,11,1,0.0440,0.0630
2025,7,-0.0440,-0.0630,12.5641,94646,19,19,11,2,0.0440,0.0630
2025,7,-0.0880,0.0630,14.4361,77635,18,21,11,3,0.0440,0.0630
2025,7,0.0000,-0.3150,10.6483,120168,20,15,12,1,0.0440,0.0630
2025,7,0.0000,-0.5670,13.5814,100142,20,11,12,2,0.0440,0.0630
2025,7,0.0440,-0.3150,15.0938,84748,21,15,12,3,0.0440,0.0630
2025,7,0.0880,-0.6300,11.4193,111308,22,10,13,1,0.0440,0.0630
2025,7,0.1320,-0.8820,14.1751,91764,23,6,13,2,0.0440,0.0630
2025,7,0.0440,-1.0080,15.6464,76582,21,4,13,3,0.0440,0.0630
2025,7,0.0440,-0.3150,10.5246,101079,21,15,14,1,0.0440,0.0630
2025,7,0.0440,-0.6300,14.1485,81048,21,10,14,2,0.0440,0.0630
2025,7,-0.5720,0.4410,16.3328,59177,7,27,14,3,0.0440,0.0630
2025,7,0.0440,-0.1260,9.5964,110724,21,18,15,1,0.0440,0.0630
2025,7,0.2200,-0.2520,12.6211,89083,25,16,15,2,0.0440,0.0630
2025,7,0.8800,0.6930,13.6062,60624,40,31,15,3,0.0440,0.0630
2025,7,0.0000,-0.0630,11.3250,115666,20,19,16,1,0.0440,0.0630
2025,7,0.0000,0.0000,14.5925,98730,20,20,16,2,0.0440,0.0630
2025,7,-0.0440,0.1890,16.0797,79990,19,23,16,3,0.0440,0.0630
2025,7,-0.0440,-0.1260,9.9558,120789,19,18,17,1,0.0440,0.0630
2025,7,-0.0880,-0.3150,12.2667,100565,18,15,17,2,0.0440,0.0630
2025,7,-0.7480,-1.2600,13.5653,65551,3,0,17,3,0.0440,0.0630
2025,7,0.0000,0.0000,7.8199,124885,20,20,18,1,0.0440,0.0630
2025,7,0.0000,0.0000,9.4333,106879,20,20,18,2,0.0440,0.0630
2025,7,0.0000,0.0000,9.9655,88951,20,20,18,3,0.0440,0.0630
2025,7,0.0000,-0.0630,9.0231,124097,20,19,19,1,0.0440,0.0630
2025,7,-0.0440,0.0000,11.0268,105829,19,20,19,2,0.0440,0.0630
2025,7,-0.0440,0.0000,11.6511,88226,19,20,19,3,0.0440,0.0630
2025,7,-0.0440,-0.1260,9.4896,122303,19,18,20,1,0.0440,0.0630
2025,7,-0.0440,-0.0630,11.6347,105377,19,19,20,2,0.0440,0.0630
2025,7,0.0000,-1.0080,11.8363,80341,20,4,20,3,0.0440,0.0630
2025,7,0.0000,0.0000,6.6467,120740,20,20,21,1,0.0440,0.0630
2025,7,0.0000,0.0000,7.5209,103177,20,20,21,2,0.0440,0.0630
2025,7,0.0000,0.0000,7.8035,86381,20,20,21,3,0.0440,0.0630
2025,7,0.0000,0.0000,5.8332,125071,20,20,22,1,0.0440,0.0630
2025,7,0.0000,0.0000,6.5680,107102,20,20,22,2,0.0440,0.0630
2025,7,0.0000,0.0000,6.7799,89259,20,20,22,3,0.0440,0.0630
2025,7,0.0000,0.0000,5.1095,126027,20,20,23,1,0.0440,0.0630
2025,7,0.0000,0.0000,5.7402,107967,20,20,23,2,0.0440,0.0630
2025,7,0.0000,0.0000,6.0643,89978,20,20,23,3,0.0440,0.0630
2025,7,0.0000,0.0000,4.9719,107475,20,20,24,1,0.0440,0.0630
2025,7,0.0000,-0.7560,5.6321,82633,20,8,24,2,0.0440,0.0630
2025,7,-0.0440,-1.0080,5.3223,63819,19,4,24,3,0.0440,0.0630
2025,7,0.0000,0.0000,5.4563,125384,20,20,25,1,0.0440,0.0630
2025,7,0.0000,0.0000,6.0993,107500,20,20,25,2,0.0440,0.0630
2025,7,0.0000,0.0000,6.2405,89576,20,20,25,3,0.0440,0.0630
2025,7,0.0000,-0.4410,9.4553,114515,20,13,26,1,0.0440,0.0630
2025,7,0.0000,-0.7560,11.4828,94130,20,8,26,2,0.0440,0.0630
2025,7,0.0000,-0.7560,12.1348,78113,20,8,26,3,0.0440,0.0630
2025,7,-0.0440,-0.3150,11.4111,115588,19,15,27,1,0.0440,0.0630
2025,7,-0.0880,-0.6300,14.7107,94426,18,10,27,2,0.0440,0.0630
2025,7,0.0000,-0.8190,16.0091,78295,20,7,27,3,0.0440,0.0630
2025,7,0.0000,-0.3780,11.6507,119630,20,14,28,1,0.0440,0.0630
2025,7,-0.0440,-0.6300,14.3853,98833,19,10,28,2,0.0440,0.0630
2025,7,-0.0440,-0.9450,15.4677,79476,19,5,28,3,0.0440,0.0630
