tau,source,dr,dc,h_lat,h_lon,semivariogram_minimum
1,empirical,2,-3,0.08800000000000008,-0.18899999999996453,5.015796889537099
1,truth,2,-3,0.08800000000000008,-0.18899999999996453,4.952473970789333
1,fitted_432,2,-3,0.08800000000000008,-0.18899999999996453,4.961757618358324
1,zero,0,0,0.0,0.0,4.934693402873666
1,half_speed,1,-2,0.04400000000000004,-0.12599999999997635,4.9821166381169455
1,double_speed,4,-6,0.17600000000000016,-0.37799999999992906,5.004897674077505
1,reversed,-2,3,-0.08800000000000008,0.18899999999996453,4.952473970789333
1,rotated_45,4,-1,0.17600000000000016,-0.06299999999998818,5.0375430554913105
1,rotated_90,5,1,0.2200000000000002,0.06299999999998818,5.013277797990274
2,empirical,4,-6,0.17600000000000016,-0.37799999999992906,7.474846841607811
2,truth,4,-6,0.17600000000000016,-0.37799999999992906,7.3427428926019465
2,fitted_432,4,-6,0.17600000000000016,-0.37799999999992906,7.331100761221515
2,zero,0,0,0.0,0.0,7.321205588285577
2,half_speed,2,-3,0.08800000000000008,-0.18899999999996453,7.326613631278445
2,double_speed,6,-6,0.26400000000000023,-0.37799999999992906,9.259581757751445
2,reversed,-4,6,-0.17600000000000016,0.37799999999992906,7.3427428926019465
2,rotated_45,6,-3,0.26400000000000023,-0.18899999999996453,7.987559627637818
2,rotated_90,6,3,0.26400000000000023,0.18899999999996453,8.02741975732283
