frame,space_scale,tau,model,component,rms_z,max_abs_z,rmse_raw
lat_lon,1,1,half_speed,odd_odd,1.8159056160926053,2.549443434108648,0.04943512580678439
lat_lon,1,1,half_speed,even_even,16.764176027809057,18.131905934593103,0.06773373561342172
lat_lon,1,1,half_speed,odd_even,1.6331837294092422,2.304229678986347,0.006383912856836931
lat_lon,1,1,half_speed,even_odd,1.1870654077638036,1.4259632379246683,0.003323792380728985
lat_lon,1,1,half_speed,all_space_time,8.49134153821175,18.131905934593103,0.04208174349654312
lat_lon,1,1,double_speed,axis1_DxDt,9.661701482363423,9.661701482363423,0.2550742393956542
lat_lon,1,1,double_speed,axis2_DxDt,18.487178619533783,18.487178619533783,0.5035036426365717
lat_lon,1,1,double_speed,odd_odd,14.749987268551296,18.487178619533783,0.39911075264365403
lat_lon,1,1,double_speed,even_even,7.46671593419178,10.162888601022766,0.027777735812414696
lat_lon,1,1,double_speed,odd_even,1.6331837294092237,2.304229678986321,0.006383912856836859
lat_lon,1,1,double_speed,even_odd,1.1870654077638851,1.425963237924789,0.0033237923807291746
lat_lon,1,1,double_speed,all_space_time,8.32752040887105,18.487178619533783,0.20007048596794716
lat_lon,1,1,reversed,axis1_DxDt,52.770074917747465,52.770074917747465,1.393159035917916
lat_lon,1,1,reversed,axis2_DxDt,86.24421542082584,86.24421542082584,2.3488860855618263
lat_lon,1,1,reversed,odd_odd,71.49386512274495,86.24421542082584,1.931082331531426
lat_lon,1,1,reversed,even_even,0.23327091959795349,0.3282793142071113,0.0010564640605427113
lat_lon,1,1,reversed,odd_even,1.6331837294092295,2.3042296789863292,0.00638391285683688
lat_lon,1,1,reversed,even_odd,1.187065407763888,1.4259632379247733,0.003323792380729215
lat_lon,1,1,reversed,all_space_time,35.76137434050701,86.24421542082584,0.9655480165699054
lat_lon,1,1,rotated_45,axis1_DxDt,20.35233495280152,20.35233495280152,0.5373128498627074
lat_lon,1,1,rotated_45,axis2_DxDt,31.272537231874075,31.272537231874075,0.8517165725925946
lat_lon,1,1,rotated_45,odd_odd,26.38360402740665,31.272537231874075,0.7120836392785825
lat_lon,1,1,rotated_45,even_even,14.759310161905676,19.379270539865878,0.05582803776335064
lat_lon,1,1,rotated_45,odd_even,1.6331837294092295,2.3042296789863292,0.0063839128568368795
lat_lon,1,1,rotated_45,even_odd,1.1870654077638756,1.4259632379247813,0.003323792380729142
lat_lon,1,1,rotated_45,all_space_time,15.149325160767368,31.272537231874075,0.35715251681455723
lat_lon,1,1,rotated_90,axis1_DxDt,20.422083734677003,20.422083734677003,0.5391542561117143
lat_lon,1,1,rotated_90,axis2_DxDt,53.974636590918706,53.974636590918706,1.4700147974336013
lat_lon,1,1,rotated_90,odd_odd,40.806389813287204,53.974636590918706,1.10716548369183
lat_lon,1,1,rotated_90,even_even,14.917598683751137,19.596384734536414,0.05641504892139164
lat_lon,1,1,rotated_90,odd_even,1.6331837294092597,2.304229678986371,0.0063839128568370105
lat_lon,1,1,rotated_90,even_odd,1.1870654077638751,1.4259632379247875,0.0033237923807291287
lat_lon,1,1,rotated_90,all_space_time,21.74725622612954,53.974636590918706,0.5543126076417803
lat_lon,1,2,truth,axis1_DxDt,1.2461687498152891,1.2461687498152891,0.039102022353005306
lat_lon,1,2,truth,axis2_DxDt,0.269101217265066,0.269101217265066,0.009034163728772693
lat_lon,1,2,truth,odd_odd,0.9014854458475026,1.2461687498152891,0.02837766962219765
lat_lon,1,2,truth,even_even,1.6892698628602847,2.3794241166191727,0.005833694297985475
lat_lon,1,2,truth,odd_even,1.2198510680857078,1.7174918428704784,0.018990958208838584
lat_lon,1,2,truth,even_odd,1.6961024456174605,2.136649171101603,0.005606187650309206
lat_lon,1,2,truth,all_space_time,1.4169605510548138,2.3794241166191727,0.017545725661890423
lat_lon,1,2,fitted_432,axis1_DxDt,0.699471214753152,0.699471214753152,0.021947861458261997
lat_lon,1,2,fitted_432,axis2_DxDt,0.5011124320004913,0.5011124320004913,0.016823155997680472
lat_lon,1,2,fitted_432,odd_odd,0.6084298027602268,0.699471214753152,0.019554119774530313
lat_lon,1,2,fitted_432,even_even,1.3071021024998153,1.633916913184634,0.007567814543517194
lat_lon,1,2,fitted_432,odd_even,1.2198510680857133,1.7174918428704877,0.018990958208838667
lat_lon,1,2,fitted_432,even_odd,1.696102445617446,2.1366491711015803,0.005606187650309155
lat_lon,1,2,fitted_432,all_space_time,1.2692027877358314,2.1366491711015803,0.014419788926871324
lat_lon,1,2,zero,axis1_DxDt,8.166129084460303,8.166129084460303,0.25623509018776386
lat_lon,1,2,zero,axis2_DxDt,13.864560741203324,13.864560741203324,0.4654557606113257
lat_lon,1,2,zero,odd_odd,11.377866864456292,13.864560741203324,0.3757029987435549
lat_lon,1,2,zero,even_even,11.046125980445634,12.676602619681098,0.050907684983343963
lat_lon,1,2,zero,odd_even,1.2198510680857155,1.7174918428704902,0.018990958208838702
lat_lon,1,2,zero,even_odd,1.6961024456174496,2.136649171101586,0.005606187650309167
lat_lon,1,2,zero,all_space_time,7.997461373703343,13.864560741203324,0.1898265138810457
lat_lon,1,2,half_speed,axis1_DxDt,3.9450018836020058,3.9450018836020058,0.12378544387196211
lat_lon,1,2,half_speed,axis2_DxDt,4.311473318549367,4.311473318549367,0.14474314262816373
lat_lon,1,2,half_speed,odd_odd,4.132302145184114,4.311473318549367,0.13467259084991207
lat_lon,1,2,half_speed,even_even,3.2929757232042043,3.7955350033048645,0.01511856938083165
lat_lon,1,2,half_speed,odd_even,1.2198510680857073,1.7174918428704775,0.018990958208838574
lat_lon,1,2,half_speed,even_odd,1.6961024456174703,2.136649171101617,0.00560618765030924
lat_lon,1,2,half_speed,all_space_time,2.840968596581318,4.311473318549367,0.06847876258375872
lat_lon,1,2,double_speed,axis1_DxDt,5.561216088960389,5.561216088960389,0.17449867512136993
lat_lon,1,2,double_speed,axis2_DxDt,9.962559426729234,9.962559426729234,0.3344592563847303
lat_lon,1,2,double_speed,odd_odd,8.067828540543713,9.962559426729234,0.2667515527607479
lat_lon,1,2,double_speed,even_even,3.027005939345884,4.275095076378125,0.010388189285077277
lat_lon,1,2,double_speed,odd_even,1.2198510680857089,1.7174918428704797,0.018990958208838598
lat_lon,1,2,double_speed,even_odd,1.696102445617452,2.1366491711015914,0.0056061876503091775
lat_lon,1,2,double_speed,all_space_time,4.4333233147038325,9.962559426729234,0.1338435571951009
lat_lon,1,2,reversed,axis1_DxDt,17.578426918735897,17.578426918735897,0.551572202728533
lat_lon,1,2,reversed,axis2_DxDt,27.99822269967171,27.99822269967171,0.939945684951424
lat_lon,1,2,reversed,odd_odd,23.376286780386565,27.99822269967171,0.7706262990197024
lat_lon,1,2,reversed,even_even,1.6892698628602847,2.3794241166191727,0.005833694297985475
lat_lon,1,2,reversed,odd_even,1.219851068085708,1.7174918428704784,0.018990958208838584
lat_lon,1,2,reversed,even_odd,1.6961024456174385,2.1366491711015683,0.005606187650309128
lat_lon,1,2,reversed,all_space_time,11.76508835966376,27.99822269967171,0.3854513622247386
lat_lon,1,2,rotated_45,axis1_DxDt,4.153613280239095,4.153613280239095,0.13033120863745168
lat_lon,1,2,rotated_45,axis2_DxDt,10.769978631222644,10.769978631222644,0.3615656268622889
lat_lon,1,2,rotated_45,odd_odd,8.162258970369997,10.769978631222644,0.27176821601616596
lat_lon,1,2,rotated_45,even_even,5.279570209910353,7.304613732647176,0.0189624939509433
lat_lon,1,2,rotated_45,odd_even,1.2198510680857084,1.7174918428704793,0.01899095820883859
lat_lon,1,2,rotated_45,even_odd,1.6961024456174436,2.1366491711015767,0.005606187650309146
lat_lon,1,2,rotated_45,all_space_time,4.9714468023679395,10.769978631222644,0.1365738126866836
lat_lon,1,2,rotated_90,axis1_DxDt,4.1095637885445635,4.1095637885445635,0.12894903290151433
lat_lon,1,2,rotated_90,axis2_DxDt,16.741625921614524,16.741625921614524,0.5620434987209739
lat_lon,1,2,rotated_90,odd_odd,12.189556042600405,16.741625921614524,0.40775038169249406
lat_lon,1,2,rotated_90,even_even,5.304725012038178,7.338433495203575,0.019058130649514508
lat_lon,1,2,rotated_90,odd_even,1.2198510680857089,1.71749184287048,0.018990958208838598
lat_lon,1,2,rotated_90,even_odd,1.6961024456174496,2.1366491711015874,0.005606187650309169
lat_lon,1,2,rotated_90,all_space_time,6.728487647744083,16.741625921614524,0.20433775467830761
lat_lon,2,1,truth,axis1_DxDt,1.7391260760695748,1.7391260760695748,0.050168388298698074
lat_lon,2,1,truth,axis2_DxDt,0.027212893577175695,0.027212893577175695,0.0014474861279127893
lat_lon,2,1,truth,odd_odd,1.2298983799570595,1.7391260760695748,0.03548917018316606
lat_lon,2,1,truth,even_even,0.9746236565541434,1.0388749069682872,0.0059911345920906625
lat_lon,2,1,truth,odd_even,0.6977222897783769,0.9246951056972038,0.00860432021751073
lat_lon,2,1,truth,even_odd,0.1933070949546961,0.26897632713961195,0.0007745072819789448
lat_lon,2,1,truth,all_space_time,0.8641072450149596,1.7391260760695748,0.01850681686518221
lat_lon,2,1,fitted_432,axis1_DxDt,0.4942115485366842,0.4942115485366842,0.014256468929914057
lat_lon,2,1,fitted_432,axis2_DxDt,1.0320479858299225,1.0320479858299225,0.05489585804583852
lat_lon,2,1,fitted_432,odd_odd,0.8091254846322131,1.0320479858299225,0.04010487586901659
lat_lon,2,1,fitted_432,even_even,2.899223174995169,3.1491658716052524,0.01635098342511082
lat_lon,2,1,fitted_432,odd_even,0.6977222897783574,0.9246951056971755,0.008604320217510519
lat_lon,2,1,fitted_432,even_odd,0.19330709495469664,0.2689763271396125,0.0007745072819789467
lat_lon,2,1,fitted_432,all_space_time,1.5479311269339278,3.1491658716052524,0.022081609516590817
lat_lon,2,1,zero,axis1_DxDt,42.59668661474954,42.59668661474954,1.2287821703854536
lat_lon,2,1,zero,axis2_DxDt,41.42617044745239,41.42617044745239,2.2035072045970003
lat_lon,2,1,zero,odd_odd,42.01550492673247,42.59668661474954,1.7840052722691255
lat_lon,2,1,zero,even_even,94.69889985954616,110.31830778050971,0.505143478447328
lat_lon,2,1,zero,odd_even,0.6977222897783885,0.9246951056972196,0.008604320217510869
lat_lon,2,1,zero,even_odd,0.19330709495469223,0.26897632713961056,0.0007745072819789315
lat_lon,2,1,zero,all_space_time,51.801806128945074,110.31830778050971,0.9270813582811702
lat_lon,2,1,half_speed,axis1_DxDt,5.185825918609862,5.185825918609862,0.14959497871611704
lat_lon,2,1,half_speed,axis2_DxDt,6.936288772190485,6.936288772190485,0.36894943745945397
lat_lon,2,1,half_speed,odd_odd,6.123924084659346,6.936288772190485,0.28151584774104904
lat_lon,2,1,half_speed,even_even,48.69643634402525,58.149992339791474,0.253738790314786
lat_lon,2,1,half_speed,odd_even,0.6977222897783728,0.9246951056971996,0.008604320217510668
lat_lon,2,1,half_speed,even_odd,0.1933070949546615,0.26897632713956593,0.0007745072819788072
lat_lon,2,1,half_speed,all_space_time,24.542664600797668,58.149992339791474,0.18954496856136
lat_lon,2,1,double_speed,axis1_DxDt,15.259122424648622,15.259122424648622,0.4401783110671489
lat_lon,2,1,double_speed,axis2_DxDt,16.528259802912658,16.528259802912658,0.8791577681882683
lat_lon,2,1,double_speed,odd_odd,15.906353907841243,16.528259802912658,0.6952249013447751
lat_lon,2,1,double_speed,even_even,25.8715851310421,35.50728004267648,0.11125167532884986
lat_lon,2,1,double_speed,odd_even,0.6977222897783805,0.9246951056972077,0.008604320217510782
lat_lon,2,1,double_speed,even_odd,0.19330709495468282,0.26897632713959296,0.0007745072819788913
lat_lon,2,1,double_speed,all_space_time,15.189430501675073,35.50728004267648,0.3520615119908961
lat_lon,2,1,reversed,axis1_DxDt,86.93249930556865,86.93249930556865,2.5077327290696054
lat_lon,2,1,reversed,axis2_DxDt,82.8251280013276,82.8251280013276,4.405566923066088
lat_lon,2,1,reversed,odd_odd,84.90365499773552,86.93249930556865,3.5845322814881224
lat_lon,2,1,reversed,even_even,0.9746236565541434,1.0388749069682872,0.0059911345920906625
lat_lon,2,1,reversed,odd_even,0.6977222897783768,0.9246951056972041,0.008604320217510725
lat_lon,2,1,reversed,even_odd,0.19330709495468434,0.26897632713959985,0.0007745072819789001
lat_lon,2,1,reversed,all_space_time,42.456167712339,86.93249930556865,1.7922738493957948
lat_lon,2,1,rotated_45,axis1_DxDt,39.66536991731315,39.66536991731315,1.1442227837331642
lat_lon,2,1,rotated_45,axis2_DxDt,30.50598185676039,30.50598185676039,1.6226494044373048
lat_lon,2,1,rotated_45,odd_odd,35.383304676939694,39.66536991731315,1.4039652539387881
lat_lon,2,1,rotated_45,even_even,48.64132724749217,66.81266186167731,0.20883117759867942
lat_lon,2,1,rotated_45,odd_even,0.697722289778369,0.9246951056971926,0.008604320217510642
lat_lon,2,1,rotated_45,even_odd,0.1933070949546977,0.26897632713962016,0.0007745072819789546
lat_lon,2,1,rotated_45,all_space_time,30.076906216752832,66.81266186167731,0.7097188755402719
lat_lon,2,1,rotated_90,axis1_DxDt,39.92083543799005,39.92083543799005,1.151592170929757
lat_lon,2,1,rotated_90,axis2_DxDt,51.626079190360755,51.626079190360755,2.7460524642352278
lat_lon,2,1,rotated_90,odd_odd,46.146100347897665,51.626079190360755,2.1055840833933797
lat_lon,2,1,rotated_90,even_even,49.258629197639316,67.68402228772821,0.21133941451218305
lat_lon,2,1,rotated_90,odd_even,0.6977222897783799,0.9246951056972079,0.008604320217510765
lat_lon,2,1,rotated_90,even_odd,0.19330709495467804,0.26897632713958564,0.0007745072819788716
lat_lon,2,1,rotated_90,all_space_time,33.750553002044946,67.68402228772821,1.0580906523726863
lat_lon,2,2,truth,axis1_DxDt,0.8710714300456326,0.8710714300456326,0.03844795171092841
lat_lon,2,2,truth,axis2_DxDt,0.2836604882812057,0.2836604882812057,0.014582056363603213
lat_lon,2,2,truth,odd_odd,0.6477764694914734,0.8710714300456326,0.02907646263352184
lat_lon,2,2,truth,even_even,1.4678369764687973,1.5417403579909053,0.0141925421612422
lat_lon,2,2,truth,odd_even,0.8461164562563973,1.191263354354502,0.026502210725447128
lat_lon,2,2,truth,even_odd,2.4099581935688965,3.1356722323196937,0.019562152730538313
lat_lon,2,2,truth,all_space_time,1.50814217633929,3.1356722323196937,0.02308632671662028
lat_lon,2,2,fitted_432,axis1_DxDt,0.13568226746698794,0.13568226746698794,0.005988837525444657
lat_lon,2,2,fitted_432,axis2_DxDt,0.6909550767191973,0.6909550767191973,0.035519736761676746
lat_lon,2,2,fitted_432,odd_odd,0.49790992947972784,0.6909550767191973,0.02547074669620999
lat_lon,2,2,fitted_432,even_even,2.190858949554132,3.0093786610594804,0.023150818936878415
lat_lon,2,2,fitted_432,odd_even,0.8461164562563886,1.1912633543544904,0.026502210725446864
lat_lon,2,2,fitted_432,even_odd,2.4099581935689045,3.135672232319705,0.019562152730538376
lat_lon,2,2,fitted_432,all_space_time,1.7008519032394993,3.135672232319705,0.023821021952781126
lat_lon,2,2,zero,axis1_DxDt,11.927611172536592,11.927611172536592,0.5264691305102188
lat_lon,2,2,zero,axis2_DxDt,17.88381931627052,17.88381931627052,0.9193485594222999
lat_lon,2,2,zero,odd_odd,15.200310878732552,17.88381931627052,0.7491233273273646
lat_lon,2,2,zero,even_even,22.599131918943737,25.426154157739948,0.2082688614255927
lat_lon,2,2,zero,odd_even,0.8461164562563975,1.1912633543545017,0.026502210725447128
lat_lon,2,2,zero,even_odd,2.409958193568902,3.1356722323197,0.019562152730538355
lat_lon,2,2,zero,all_space_time,13.677481729582336,25.426154157739948,0.38911653883455133
lat_lon,2,2,half_speed,axis1_DxDt,3.854529019698388,3.854529019698388,0.17013386101983874
lat_lon,2,2,half_speed,axis2_DxDt,4.428115192518447,4.428115192518447,0.2276348944933757
lat_lon,2,2,half_speed,odd_odd,4.151240665265608,4.428115192518447,0.200951705462442
lat_lon,2,2,half_speed,even_even,8.44542511846951,9.169523030509492,0.08242106051429533
lat_lon,2,2,half_speed,odd_even,0.8461164562563993,1.1912633543545048,0.02650221072544719
lat_lon,2,2,half_speed,even_odd,2.409958193568895,3.1356722323196937,0.019562152730538296
lat_lon,2,2,half_speed,all_space_time,4.875495258046313,9.169523030509492,0.10984063926588612
lat_lon,2,2,double_speed,axis1_DxDt,8.28412776595763,8.28412776595763,0.36565054635762145
lat_lon,2,2,double_speed,axis2_DxDt,12.758752617929309,12.758752617929309,0.6558856713927547
lat_lon,2,2,double_speed,odd_odd,10.756684926319728,12.758752617929309,0.5309832087693318
lat_lon,2,2,double_speed,even_even,0.6693707434801054,0.9137275670823936,0.00705601969698814
lat_lon,2,2,double_speed,odd_even,0.8461164562563965,1.1912633543545008,0.026502210725447107
lat_lon,2,2,double_speed,even_odd,2.409958193568902,3.135672232319701,0.019562152730538355
lat_lon,2,2,double_speed,all_space_time,5.538008201254287,12.758752617929309,0.2660253749183191
lat_lon,2,2,reversed,axis1_DxDt,24.726293775118823,24.726293775118823,1.0913862127313663
lat_lon,2,2,reversed,axis2_DxDt,36.05129912082225,36.05129912082225,1.853279175208203
lat_lon,2,2,reversed,odd_odd,30.911856723209617,36.05129912082225,1.5208168145112861
lat_lon,2,2,reversed,even_even,1.4678369764687973,1.5417403579909053,0.0141925421612422
lat_lon,2,2,reversed,odd_even,0.8461164562563972,1.1912633543545017,0.026502210725447124
lat_lon,2,2,reversed,even_odd,2.4099581935689067,3.1356722323197066,0.019562152730538396
lat_lon,2,2,reversed,all_space_time,15.525956033510678,36.05129912082225,0.7606198552079159
lat_lon,2,2,rotated_45,axis1_DxDt,5.692817458328722,5.692817458328722,0.2512735043158133
lat_lon,2,2,rotated_45,axis2_DxDt,13.989892726579125,13.989892726579125,0.7191745508718981
lat_lon,2,2,rotated_45,odd_odd,10.680010981151748,13.989892726579125,0.5386791292564366
lat_lon,2,2,rotated_45,even_even,4.290161560373287,4.760734648658121,0.04213593178602261
lat_lon,2,2,rotated_45,odd_even,0.8461164562563955,1.1912633543544993,0.026502210725447072
lat_lon,2,2,rotated_45,even_odd,2.4099581935689023,3.135672232319701,0.01956215273053836
lat_lon,2,2,rotated_45,all_space_time,5.89474198595503,13.989892726579125,0.27066385334799414
lat_lon,2,2,rotated_90,axis1_DxDt,5.641991683225808,5.641991683225808,0.2490301211908209
lat_lon,2,2,rotated_90,axis2_DxDt,21.50322448858381,21.50322448858381,1.105410321302466
lat_lon,2,2,rotated_90,odd_odd,15.719744488381796,21.50322448858381,0.8012327937941432
lat_lon,2,2,rotated_90,even_even,4.330959384571065,4.807601949825495,0.04254080714846945
lat_lon,2,2,rotated_90,odd_even,0.8461164562563958,1.1912633543544997,0.02650221072544708
lat_lon,2,2,rotated_90,even_odd,2.4099581935689,3.135672232319699,0.019562152730538337
lat_lon,2,2,rotated_90,all_space_time,8.252141957139246,21.50322448858381,0.401518603279101
flow,1,1,truth,axis1_DxDt,0.8483267159561702,0.8483267159561702,0.07274635575751098
flow,1,1,truth,axis2_DxDt,0.5348372301503859,0.5348372301503859,0.014472045893020757
flow,1,1,truth,odd_odd,0.7091223729935184,0.8483267159561702,0.05244746127472735
flow,1,1,truth,even_even,1.2917209677313726,1.7038376756250806,0.030830162400586728
flow,1,1,truth,odd_even,0.36742741330571577,0.4758244137954362,0.008710305078605629
flow,1,1,truth,even_odd,4.2242811297877525,5.906124914563582,0.015969827622179467
flow,1,1,truth,all_space_time,2.244490563907891,5.906124914563582,0.03174956659804621
flow,1,1,fitted_432,axis1_DxDt,0.01053734937207452,0.01053734937207452,0.0009036067728906971
flow,1,1,fitted_432,axis2_DxDt,0.3682111423916314,0.3682111423916314,0.009963346324104894
flow,1,1,fitted_432,odd_odd,0.2604711894942888,0.3682111423916314,0.007074064431925554
flow,1,1,fitted_432,even_even,1.4463388826238104,1.8225602474106826,0.036303981934620026
flow,1,1,fitted_432,odd_even,0.367427413305724,0.4758244137954392,0.008710305078605738
flow,1,1,fitted_432,even_odd,4.224281129787734,5.906124914563544,0.01596982762217939
flow,1,1,fitted_432,all_space_time,2.243841314101519,5.906124914563544,0.02060901684179015
flow,1,1,zero,axis1_DxDt,46.68573910183644,46.68573910183644,4.0034308971120565
flow,1,1,zero,axis2_DxDt,33.48587140051637,33.48587140051637,0.9060870118181592
flow,1,1,zero,odd_odd,40.62549580581546,46.68573910183644,2.9024517757352153
flow,1,1,zero,even_even,41.86188693928184,43.412532083478844,1.2086721480501692
flow,1,1,zero,odd_even,0.36742741330572387,0.47582441379544443,0.008710305078605795
flow,1,1,zero,even_odd,4.224281129787772,5.906124914563607,0.01596982762217954
flow,1,1,zero,all_space_time,29.243922623141184,46.68573910183644,1.5720564220750444
flow,1,1,half_speed,axis1_DxDt,17.592266717038772,17.592266717038772,1.5085853941735854
flow,1,1,half_speed,axis2_DxDt,9.747046457879302,9.747046457879302,0.2637432394528171
flow,1,1,half_speed,odd_odd,14.22133543123654,17.592266717038772,1.0829105198193751
flow,1,1,half_speed,even_even,25.54700759393228,26.622771586324028,0.7357608098165207
flow,1,1,half_speed,odd_even,0.3674274133057247,0.4758244137954426,0.008710305078605783
flow,1,1,half_speed,even_odd,4.2242811297877365,5.906124914563561,0.015969827622179408
flow,1,1,half_speed,all_space_time,14.772233517817359,26.622771586324028,0.6546697770643944
flow,1,1,double_speed,axis1_DxDt,11.748944126056658,11.748944126056658,1.0075043648789146
flow,1,1,double_speed,axis2_DxDt,6.744091495341934,6.744091495341934,0.1824869252274678
flow,1,1,double_speed,odd_odd,9.579155969466848,11.748944126056658,0.7240050148752565
flow,1,1,double_speed,even_even,17.374514933609102,23.40561299003805,0.40371520791403
flow,1,1,double_speed,odd_even,0.3674274133057167,0.4758244137954375,0.00871030507860565
flow,1,1,double_speed,even_odd,4.224281129787788,5.906124914563623,0.01596982762217959
flow,1,1,double_speed,all_space_time,10.144130719695847,23.40561299003805,0.41457813964150153
flow,1,1,reversed,axis1_DxDt,94.21980491962906,94.21980491962906,8.079608149981624
flow,1,1,reversed,axis2_DxDt,67.50658003118313,67.50658003118313,1.8266460695293392
flow,1,1,reversed,odd_odd,81.958861591043,94.21980491962906,5.857333169650523
flow,1,1,reversed,even_even,1.2917209677313726,1.7038376756250806,0.030830162400586728
flow,1,1,reversed,odd_even,0.3674274133057178,0.47582441379543705,0.008710305078605656
flow,1,1,reversed,even_odd,4.2242811297877765,5.906124914563604,0.01596982762217955
flow,1,1,reversed,all_space_time,41.039319835755535,94.21980491962906,2.92872127659883
flow,1,1,rotated_45,axis1_DxDt,15.23329295322568,15.23329295322568,1.3062968873787009
flow,1,1,rotated_45,axis2_DxDt,94.82914418858623,94.82914418858623,2.5659614726282576
flow,1,1,rotated_45,odd_odd,67.91398899246926,94.82914418858623,2.03599727860671
flow,1,1,rotated_45,even_even,24.079046077195514,33.832349376780456,0.5256566462930835
flow,1,1,rotated_45,odd_even,0.36742741330572143,0.47582441379543783,0.0087103050786057
flow,1,1,rotated_45,even_odd,4.2242811297877525,5.906124914563574,0.015969827622179463
flow,1,1,rotated_45,all_space_time,36.090476288158314,94.82914418858623,1.0514193660351308
flow,1,1,rotated_90,axis1_DxDt,34.80555491893376,34.80555491893376,2.9846723353707976
flow,1,1,rotated_90,axis2_DxDt,136.949650437854,136.949650437854,3.7056912167698
flow,1,1,rotated_90,odd_odd,99.91654870006597,136.949650437854,3.3645517044305184
flow,1,1,rotated_90,even_even,35.74652353644277,49.06305561342418,0.8092184326238411
flow,1,1,rotated_90,odd_even,0.3674274133057244,0.47582441379544116,0.008710305078605764
flow,1,1,rotated_90,even_odd,4.224281129787785,5.906124914563625,0.015969827622179588
flow,1,1,rotated_90,all_space_time,53.101577667338766,136.949650437854,1.7302726337410919
flow,1,2,truth,axis1_DxDt,2.6162062612445216,2.6162062612445216,0.09781986575968649
flow,1,2,truth,axis2_DxDt,0.1620959895906437,0.1620959895906437,0.008160777091473781
flow,1,2,truth,odd_odd,1.853484598157806,2.6162062612445216,0.06940938128228707
flow,1,2,truth,even_even,1.4438300959035297,1.8948828984032824,0.052898998202887446
flow,1,2,truth,odd_even,0.5417350431675036,0.6994009005535956,0.02239872080990593
flow,1,2,truth,even_odd,1.212951443077272,1.5996196703041177,0.02758934637516449
flow,1,2,truth,all_space_time,1.3495164468897678,2.6162062612445216,0.047113800919125357
flow,1,2,fitted_432,axis1_DxDt,0.1637179348581101,0.1637179348581101,0.00612140818081186
flow,1,2,fitted_432,axis2_DxDt,0.779418633339997,0.779418633339997,0.03924009313057053
flow,1,2,fitted_432,odd_odd,0.5631593771712379,0.779418633339997,0.028082526124014903
flow,1,2,fitted_432,even_even,2.072284074547943,2.5884085710861746,0.08009413801080101
flow,1,2,fitted_432,odd_even,0.5417350431675017,0.6994009005535954,0.02239872080990588
flow,1,2,fitted_432,even_odd,1.2129514430772725,1.5996196703041183,0.027589346375164494
flow,1,2,fitted_432,all_space_time,1.2625606747776377,2.5884085710861746,0.04600699388280039
flow,1,2,zero,axis1_DxDt,50.81624180934313,50.81624180934313,1.9000176040543149
flow,1,2,zero,axis2_DxDt,10.850475298411878,10.850475298411878,0.5462708267521066
flow,1,2,zero,odd_odd,36.74250430922666,50.81624180934313,1.3979411131869484
flow,1,2,zero,even_even,16.422420558630307,18.629600015377996,0.6868072520204056
flow,1,2,zero,odd_even,0.5417350431675025,0.6994009005535965,0.022398720809905914
flow,1,2,zero,even_odd,1.2129514430772705,1.599619670304116,0.027589346375164456
flow,1,2,zero,all_space_time,20.133754294581536,50.81624180934313,0.7789747159076337
flow,1,2,half_speed,axis1_DxDt,4.9685671224875705,4.9685671224875705,0.1857745607215715
