frame,space_scale,tau,model,component,rms_z,max_abs_z,rmse_raw
lat_lon,1,1,truth,axis1_DxDt,2.078882206309358,2.078882206309358,0.05488363499280935
lat_lon,1,1,truth,axis2_DxDt,0.22487640674873083,0.22487640674873083,0.00612457380713427
lat_lon,1,1,truth,odd_odd,1.4785669795484215,2.078882206309358,0.03904948011397182
lat_lon,1,1,truth,even_even,0.23327091959795349,0.3282793142071113,0.0010564640605427113
lat_lon,1,1,truth,odd_even,1.633183729409229,2.3042296789863284,0.006383912856836878
lat_lon,1,1,truth,even_odd,1.1870654077638978,1.4259632379248266,0.0033237923807291725
lat_lon,1,1,truth,all_space_time,1.2566810465724512,2.3042296789863284,0.01986063916794082
lat_lon,1,1,fitted_432,axis1_DxDt,1.2550974084108824,1.2550974084108824,0.03313526270732492
lat_lon,1,1,fitted_432,axis2_DxDt,0.9190894434118758,0.9190894434118758,0.02503166611792973
lat_lon,1,1,fitted_432,odd_odd,1.0999988430882246,1.2550974084108824,0.029364348650386823
lat_lon,1,1,fitted_432,even_even,2.607762839188828,2.608169431728265,0.010733615356831493
lat_lon,1,1,fitted_432,odd_even,1.633183729409278,2.3042296789863994,0.006383912856837033
lat_lon,1,1,fitted_432,even_odd,1.187065407763917,1.4259632379248302,0.0033237923807292588
lat_lon,1,1,fitted_432,all_space_time,1.7383064931540784,2.608169431728265,0.016041176776064203
lat_lon,1,1,zero,axis1_DxDt,25.345596355719053,25.345596355719053,0.6691377004625533
lat_lon,1,1,zero,axis2_DxDt,43.009669507038545,43.009669507038545,1.171380755877346
lat_lon,1,1,zero,odd_odd,35.30036066197993,43.009669507038545,0.9539072642086588
lat_lon,1,1,zero,even_even,37.46092769590603,37.97580992580766,0.1537361993946766
lat_lon,1,1,zero,odd_even,1.6331837294092524,2.3042296789863603,0.006383912856836986
lat_lon,1,1,zero,even_odd,1.1870654077638938,1.425963237924801,0.003323792380729196
lat_lon,1,1,zero,all_space_time,25.75613024155646,43.009669507038545,0.483121540001458
lat_lon,1,1,half_speed,axis1_DxDt,0.3088115758737555,0.3088115758737555,0.008152795651610534
lat_lon,1,1,half_speed,axis2_DxDt,2.549443434108648,2.549443434108648,0.06943482735722961
