model,direction,rms_z,max_abs_z,sign_pair_model_max_abs_difference
truth,lat,5.249397862333223,8.601997660818526,4.440892098500626e-16
truth,lon,2.741930699790394,4.864284378546373,0.0
truth,metric_perpendicular,1.81007722829278,2.779719778487265,8.881784197001252e-16
truth,parallel,0.2950851257454245,0.4066438954785259,8.881784197001252e-16
truth,perpendicular,2.2003392767781182,4.159669884054572,1.7763568394002505e-15
fitted_432,lat,1.5594337964812577,2.641268207893314,4.440892098500626e-16
fitted_432,lon,0.7655992629916406,1.125129004251582,4.440892098500626e-16
fitted_432,metric_perpendicular,5.151310382815868,9.257414312175772,8.881784197001252e-16
fitted_432,parallel,0.7381908712548225,1.2821350594865395,8.881784197001252e-16
fitted_432,perpendicular,4.272218558776502,6.075453427139625,1.7763568394002505e-15
zero,lat,103.83627103687647,154.68332014072718,0.0
zero,lon,57.48347608602702,91.58229295319319,0.0
zero,metric_perpendicular,111.56420956778285,199.81230951831643,0.0
zero,parallel,35.92308469963568,60.55983300237533,0.0
zero,perpendicular,76.77896283931945,121.9776677848259,0.0
half_speed,lat,48.330222523580105,79.39225951732465,4.440892098500626e-16
half_speed,lon,24.11264642054357,43.15446757437976,1.7763568394002505e-15
half_speed,metric_perpendicular,60.01599874612746,103.2938151677689,0.0
half_speed,parallel,21.45815318395757,36.43002797045817,0.0
half_speed,perpendicular,41.99516822037621,62.55617978456377,0.0
double_speed,lat,32.33000781103864,55.77705375643752,4.440892098500626e-16
double_speed,lon,7.1867670185101185,13.567337947028514,8.881784197001252e-16
double_speed,metric_perpendicular,44.19416689261432,61.71518807274951,1.7763568394002505e-15
double_speed,parallel,16.406954779948624,30.34703554329053,0.0
double_speed,perpendicular,28.69902952502313,33.3801557721854,8.881784197001252e-16
reversed,lat,5.249397862333223,8.601997660818526,4.440892098500626e-16
reversed,lon,2.741930699790394,4.864284378546373,0.0
reversed,metric_perpendicular,1.81007722829278,2.779719778487265,8.881784197001252e-16
reversed,parallel,0.2950851257454245,0.4066438954785259,8.881784197001252e-16
reversed,perpendicular,2.2003392767781182,4.159669884054572,1.7763568394002505e-15
rotated_45,lat,60.01633627266343,100.95802961239679,8.881784197001252e-16
rotated_45,lon,10.07803042639626,17.693033533290112,4.440892098500626e-16
rotated_45,metric_perpendicular,45.42448599129349,75.44284349101923,8.881784197001252e-16
rotated_45,parallel,3.741810642003381,5.094106886177699,0.0
rotated_45,perpendicular,43.39058981466519,59.592054761220076,0.0
rotated_90,lat,60.669742650376214,102.21560617219964,0.0
rotated_90,lon,10.162818453142926,17.83170832480334,1.7763568394002505e-15
rotated_90,metric_perpendicular,79.8834018844409,129.0111381961404,8.881784197001252e-16
rotated_90,parallel,9.681690559705597,17.769516206305806,0.0
rotated_90,perpendicular,60.94452392388149,78.81798858703186,0.0
