direction,sign,space_scale,tau,dr,dc,empirical_variance,independent_day_se,n_days,mean_n_rectangles_per_day,truth,z_truth,fitted_432,z_fitted_432,zero,z_zero,half_speed,z_half_speed,double_speed,z_double_speed,reversed,z_reversed,rotated_45,z_rotated_45,rotated_90,z_rotated_90
lat,-1,1,1,-1,0,2.900186673608936,0.0038905477291490994,3,118125.33333333333,2.908211829643048,-2.0627316750249522,2.894120748124159,1.5591443434375958,2.70062178530015,51.294805308154515,2.809189243774572,23.389362159108096,2.9639921460738248,-16.40012587092557,2.9082118296430477,-2.062731675024838,3.0144156496280026,-29.360641218518005,3.0156034973581933,-29.665957542307343
lat,1,1,1,1,0,2.900186673608936,0.0038905477291490994,3,118125.33333333333,2.9082118296430477,-2.062731675024838,2.894120748124159,1.5591443434375958,2.70062178530015,51.294805308154515,2.809189243774572,23.389362159108096,2.963992146073825,-16.400125870925685,2.908211829643048,-2.0627316750249522,3.0144156496280026,-29.360641218518005,3.0156034973581933,-29.665957542307343
lat,-1,1,2,-1,0,2.9461852465013174,0.00408020490115409,3,100674.0,2.9651388772200953,-4.6452644359641875,2.9484931113733044,-0.5656247487311712,2.8878806973785176,14.289613030538812,2.933452821492573,3.1205356880834603,2.9748662834272324,-7.029312894997624,2.9651388772200953,-4.6452644359641875,2.9904118919253317,-10.83931971443512,2.9905854339456504,-10.881852387308857
lat,1,1,2,1,0,2.9461852465013174,0.00408020490115409,3,100674.0,2.9651388772200953,-4.6452644359641875,2.948493111373305,-0.56562474873128,2.8878806973785176,14.289613030538812,2.9334528214925726,3.120535688083569,2.9748662834272324,-7.029312894997624,2.9651388772200953,-4.6452644359641875,2.9904118919253326,-10.839319714435339,2.9905854339456504,-10.881852387308857
lat,-1,2,1,-2,0,4.280603044088325,0.004194689139678707,3,116162.33333333333,4.294128561654373,-3.2244385973937133,4.280547573173848,0.013224082316892217,3.6317546010045723,154.68332014072718,3.94757719531645,79.39225951732465,4.514570445723729,-55.77705375643752,4.294128561654373,-3.2244385973937133,4.704090594466807,-100.95802961239679,4.709365737204527,-102.21560617219964
lat,1,2,1,2,0,4.280603044088325,0.004194689139678707,3,116162.33333333333,4.294128561654373,-3.2244385973937133,4.280547573173848,0.013224082316892217,3.6317546010045723,154.68332014072718,3.94757719531645,79.39225951732465,4.514570445723729,-55.77705375643752,4.294128561654373,-3.2244385973937133,4.704090594466807,-100.95802961239679,4.709365737204527,-102.21560617219964
lat,-1,2,2,-2,0,4.502326730663137,0.002093226034462266,3,98907.33333333333,4.520332656115146,-8.601997660818526,4.496797959286377,2.641268207893314,4.234544249335956,127.92812477892407,4.398015357433227,49.832828138269804,4.559707952513818,-27.41281682244225,4.520332656115146,-8.601997660818526,4.621397638026737,-56.88392242560104,4.62214919085951,-57.24296288296173
lat,1,2,2,2,0,4.502326730663137,0.002093226034462266,3,98907.33333333333,4.520332656115146,-8.601997660818526,4.496797959286377,2.641268207893314,4.234544249335956,127.92812477892407,4.398015357433227,49.832828138269804,4.559707952513818,-27.41281682244225,4.520332656115146,-8.601997660818526,4.621397638026737,-56.88392242560104,4.62214919085951,-57.24296288296173
lon,-1,1,1,0,-1,2.8846065370423104,0.007188129497613847,3,117659.0,2.8920283987482778,-1.032516415909189,2.8765189640582287,1.125129004251582,2.642888247886839,33.627425498624,2.7903175507655984,13.117318811244557,2.9137723622674425,-4.057498579402878,2.8920283987482778,-1.032516415909189,2.841498045388271,5.997177940151132,2.841090247509099,6.0539100676548845
lon,1,1,1,0,1,2.8846065370423104,0.007188129497613847,3,117659.0,2.8920283987482778,-1.032516415909189,2.876518964058229,1.1251290042515203,2.642888247886839,33.627425498624,2.7903175507655984,13.117318811244557,2.9137723622674425,-4.057498579402878,2.8920283987482778,-1.032516415909189,2.8414980453882714,5.9971779401510705,2.841090247509099,6.0539100676548845
