model,semivariogram_rmse,asymmetry_rmse
truth,0.08733880674263184,0.11945138441877373
fitted_432,0.13219130108139884,0.08845112299572148
zero,1.352687447117775,1.9644119626574477
half_speed,0.7425265150324915,0.7087102849630572
double_speed,1.1313724206843394,0.8874189401348386
reversed,1.99957320982579,3.9971150159081863
rotated_45,0.9627435244686634,1.5877312159152002
rotated_90,1.4638557546052076,2.524270309019211
