tau,dr,dc,h_lat,h_lon,n_pairs,empirical,truth,fitted_432,zero,half_speed,double_speed,reversed,rotated_45,rotated_90,asymmetry_empirical,asymmetry_truth,asymmetry_fitted_432,asymmetry_zero,asymmetry_half_speed,asymmetry_double_speed,asymmetry_reversed,asymmetry_rotated_45,asymmetry_rotated_90
1,-6,-6,-0.26400000000000023,-0.37799999999992906,331583,9.514219366649014,9.484612635047682,9.3841559308674,9.49243419538599,9.426187159889565,9.868904532830076,9.883980275745595,10.22500191968034,10.40507111472438,-0.4854652900398708,-0.3993676406979123,-0.3930246603605134,0.0,-0.23492914972640122,-0.45350564041705077,0.3993676406979123,1.1357654728197453,2.5487238268022834
1,-6,-5,-0.26400000000000023,-0.3149999999999409,333834,9.412060278302134,9.398685007359008,9.303344996232054,9.278230905297004,9.267961066485421,9.88810009683516,9.661193990281534,10.166605613099373,10.337314351760314,-0.37274906836353416,-0.262508982922526,-0.2597806320661302,0.0,-0.15775786398489977,-0.2828964214323193,0.262508982922526,1.485947010282965,3.0797118580487046
1,-6,-4,-0.26400000000000023,-0.2519999999999527,336019,9.339030210980562,9.34629662320459,9.255156337138647,9.065157140080903,9.133322887250117,9.928294012476972,9.40352545186103,10.118070221551521,10.270957703103702,-0.19387459151140618,-0.057228828656439745,-0.05945965445396162,0.0,-0.03505589598896641,-0.05897012017720371,0.057228828656439745,1.9188760475618718,3.652016951942713
1,-6,-3,-0.26400000000000023,-0.18899999999996453,338221,9.31194219336721,9.333027467718024,9.244763663600507,8.868450836052869,9.03559160272553,9.986224063601703,9.111225083912824,10.082606671272552,10.208973022618721,0.07476079718542827,0.22180238380519945,0.21322744091754942,0.0,0.13775329735079644,0.22103322665518377,-0.22180238380519945,2.4384363606181854,4.194746763244223
1,-6,-2,-0.26400000000000023,-0.12599999999997635,340349,9.334327271963181,9.360354787405072,9.273329283718974,8.706909503323127,8.986016145179711,10.057591279557572,8.788809767219341,10.062778083521586,10.154666765049955,0.4407523351781002,0.5715450201857308,0.5555089707218333,0.0,0.35668381382765446,0.5593665416120306,-0.5715450201857308,3.033896431236519,4.571271516306652
1,-6,-1,-0.26400000000000023,-0.06299999999998818,342479,9.388013804237954,9.42526468479522,9.337698377460171,8.599864537800137,8.99084540212614,10.137729076067727,8.447800835112632,10.06009923854761,10.111373501833128,0.8550857404922976,0.9774638496825876,0.9535586967080949,0.0,0.6053882018646899,0.9579862747981771,-0.9774638496825876,3.663566715413207,4.619660669987958
1,-6,0,-0.26400000000000023,0.0,344437,9.47725034037488,9.521033555684749,9.431213466594151,8.562285076109589,9.049454061074005,10.22218796182096,8.109939203769772,10.07477933170153,10.082054623056834,1.2949434667486042,1.4110943519149775,1.3800780435060727,0.0,0.8548859892538747,1.41812947972082,-1.4110943519149775,4.230282138949743,4.298456037728052
1,-6,1,-0.26400000000000023,0.06299999999998818,342606,9.56712892420578,9.638812730066656,9.54526986885199,8.599864537800137,9.154537837198282,10.307137567078785,7.809290061214401,10.10568528351631,10.068872551410378,1.6965293920104099,1.8295226688522543,1.793545508294497,0.0,1.0695092643841573,1.9386673041722648,-1.8295226688522543,4.574503810546023,3.739358591085961
1,-6,2,-0.26400000000000023,0.12599999999997635,340412,9.672249546105192,9.76936201700796,9.670978928980976,8.706909503323127,9.29426697482372,10.389567095158489,7.589591336711888,10.150537100754644,10.072841603799903,2.0121958695760656,2.1797706802960723,2.1420276723438434,0.0,1.218368159166765,2.5123413607431146,-2.1797706802960723,4.559054937465018,3.1073707329177243
1,-6,3,-0.26400000000000023,0.18899999999996453,338097,9.77759259952497,9.904393119937778,9.800434501861439,8.868450836052869,9.455259046675067,10.467319421818864,7.492680429790072,10.206275423919614,10.093653605941133,2.2365086262883986,2.4117126901477057,2.3753674547857084,0.0,1.2863931260198438,3.118587074085653,-2.4117126901477057,4.209890743982146,2.5053837016526197
1,-6,4,-0.26400000000000023,0.2519999999999527,335838,9.887600101976066,10.037308830970076,9.927393558663075,9.065157140080903,9.625115671428423,10.539015257891128,7.540084309036991,10.26949840284038,10.129731578073955,2.331606168755429,2.4972245219330853,2.4641497063749505,0.0,1.2776525034020967,3.712040648142959,-2.4972245219330853,3.6820024105735207,1.9781225057207976
1,-6,5,-0.26400000000000023,0.3149999999999409,333636,10.005699785353917,10.163401966477245,10.047442682472653,9.278230905297004,9.79389126095251,10.603921108383666,7.721022841805227,10.336865512759957,10.178494791996169,2.3000730349528693,2.4423791246720183,2.4127511529480046,0.0,1.209660866592543,4.210802054026467,-2.4423791246720183,3.114914188820541,1.5375993169841724
1,-6,6,-0.26400000000000023,0.37799999999992906,331400,10.12675096879646,10.27970085166008,10.157833157335736,9.49243419538599,9.954532716461397,10.661801048758159,7.998621396159115,10.405399794248279,10.236756549919901,2.1478164124351684,2.281079455500964,2.254061718065614,0.0,1.1042658198926976,4.5045364986017535,-2.281079455500964,2.583829145679041,1.1804006388200126
1,-5,-6,-0.2200000000000002,-0.37799999999992906,334663,9.199773903262754,9.152588652181077,9.061445423546811,9.254837932740571,9.12304606876506,9.599920962335162,9.787604374746662,10.056422657514418,10.289232708576394,-0.7212662375689174,-0.6350157225655852,-0.6245730736734174,0.0,-0.3768143178834009,-0.6992510070717266,0.6350157225655852,1.0244191945185008,2.5632668561770497
1,-5,-5,-0.2200000000000002,-0.3149999999999409,336929,9.046816806560535,9.034706082439383,8.950221290279574,8.982611136022584,8.912046486020898,9.62621212223364,9.53413821916846,9.978954424365432,10.202261161234802,-0.6205065387982742,-0.4994321367290766,-0.4923871390870769,0.0,-0.3051824564064205,-0.5139748668261159,0.4994321367290766,1.3773411400945523,3.129409046504934
1,-5,-4,-0.2200000000000002,-0.2519999999999527,339173,8.962506910652378,8.961990186589015,8.883142105183447,8.704415897869563,8.728467998331382,9.680958272675602,9.235906206524126,9.91388766151341,10.115963791942471,-0.4205591352441509,-0.27391601993511117,-0.2720318488801059,0.0,-0.17226495064891978,-0.2652550462949641,0.27391601993511117,1.8249907193219883,3.758728226413269
1,-5,-3,-0.2200000000000002,-0.18899999999996453,341427,8.92971989619283,8.943467793513964,8.868599457143617,8.440264552375055,8.59270781211692,9.759147527220811,8.890358319132096,9.86594824125159,10.034334074194053,-0.09028714955050354,0.05310947438186808,0.047766532794527805,0.0,0.03421760184221512,0.04895613420448797,-0.05310947438186808,2.3772080150540873,4.381021444804373
1,-5,-2,-0.2200000000000002,-0.12599999999997635,343604,8.951063297815082,8.981567488322789,8.908506705478134,8.217453316518718,8.522989131324884,9.854341059152565,8.49912725790045,9.838996095577173,9.961994377861087,0.35047867696046886,0.48244023042233763,0.4678919696472956,0.0,0.31523336130713986,0.43025551588368494,-0.48244023042233763,3.030441182836584,4.833596195199361
1,-5,-1,-0.2200000000000002,-0.06299999999998818,345743,9.047297656099426,9.071351530820792,8.997694306412006,8.066584200676271,8.52980657709629,9.959783882298249,8.071890712992213,9.835346656478084,9.903765271696109,0.8891688573294587,0.9994608178285791,0.9745022460226505,0.0,0.6517314057468919,0.8806451376489459,-0.9994608178285791,3.748657483474351,4.890487473705835
1,-5,0,-0.2200000000000002,0.0,347680,9.171847068242917,9.20205070268111,9.125506200778613,8.01296727305208,8.612098319416017,10.069297327351414,7.632188101612284,9.855321626617993,9.864045409687,1.476226546143673,1.5698626010688255,1.53492522306877,0.0,1.0006622791436373,1.4026973228173567,-1.5698626010688255,4.426922594794659,4.488716890307227
1,-5,1,-0.2200000000000002,0.06299999999998818,345783,9.310887936785983,9.360037348963353,9.278706698709195,8.066584200676271,8.757653527909973,10.17781507073523,7.224047650157437,9.89718413821586,9.846110802625434,2.0295195881835095,2.1359896988059157,2.093851709888547,0.0,1.3030898149451247,1.9983653199179319,-2.1359896988059157,4.859512966676482,3.8218801388073187
1,-5,2,-0.2200000000000002,0.12599999999997635,343673,9.448963905658573,9.53180699294468,9.44432510736943,8.217453316518718,8.947470731020214,10.281577617861204,6.913511811070556,9.957481829645015,9.851515813731814,2.4770177017055977,2.6182951818741245,2.573939021453228,0.0,1.5061190958733537,2.665346874212732,-2.6182951818741245,4.843402506820162,3.1031391213064667
