year,month,day_num,tau,model,ridge_lat_lag,ridge_lon_lag,ridge_norm,large_empirical_ridge,model_lat_lag,model_lon_lag,model_norm,model_norm_ge_1,err_lat,err_lon,err_euclid,ridge_gamma_min,ridge_gamma_gap,ridge_gamma_rel_gap,ridge_near_min_count,ridge_is_ambiguous,ridge_n_pairs,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,norm_bias,abs_norm_bias,overestimated_norm
2023,7,1,1,Corridor_4x4_lag643,0.0000,-0.0630,0.0630,False,0.0032,-0.0543,0.0544,False,-0.0032,-0.0087,0.0093,7.0566,0.0424,0.0060,2,False,123182,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065,-0.0086,0.0086,False
2023,7,1,1,Debiased_Whittle,0.0000,-0.0630,0.0630,False,-0.0091,0.0230,0.0247,False,0.0091,-0.0860,0.0865,7.0566,0.0424,0.0060,2,False,123182,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125,-0.0383,0.0383,False
2023,7,1,1,Vecchia_mm20,0.0000,-0.0630,0.0630,False,0.0059,-0.0555,0.0558,False,-0.0059,-0.0075,0.0095,7.0566,0.0424,0.0060,2,False,123182,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739,-0.0072,0.0072,False
2023,7,1,2,Corridor_4x4_lag643,0.0000,-0.1260,0.1260,False,0.0065,-0.1086,0.1088,False,-0.0065,-0.0174,0.0186,8.7381,0.0171,0.0020,7,True,104763,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065,-0.0172,0.0172,False
2023,7,1,2,Debiased_Whittle,0.0000,-0.1260,0.1260,False,-0.0182,0.0460,0.0495,False,0.0182,-0.1720,0.1730,8.7381,0.0171,0.0020,7,True,104763,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125,-0.0765,0.0765,False
2023,7,1,2,Vecchia_mm20,0.0000,-0.1260,0.1260,False,0.0118,-0.1110,0.1116,False,-0.0118,-0.0150,0.0191,8.7381,0.0171,0.0020,7,True,104763,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739,-0.0144,0.0144,False
2023,7,1,3,Corridor_4x4_lag643,0.0000,-0.0630,0.0630,False,0.0097,-0.1629,0.1632,False,-0.0097,0.0999,0.1004,9.4610,0.0083,0.0009,10,True,87699,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065,0.1002,0.1002,True
2023,7,1,3,Debiased_Whittle,0.0000,-0.0630,0.0630,False,-0.0273,0.0690,0.0742,False,0.0273,-0.1320,0.1348,9.4610,0.0083,0.0009,10,True,87699,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125,0.0112,0.0112,True
2023,7,1,3,Vecchia_mm20,0.0000,-0.0630,0.0630,False,0.0177,-0.1665,0.1674,False,-0.0177,0.1035,0.1050,9.4610,0.0083,0.0009,10,True,87699,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739,0.1044,0.1044,True
2023,7,2,1,Corridor_4x4_lag643,0.0000,-0.1260,0.1260,False,0.0103,-0.0708,0.0716,False,-0.0103,-0.0552,0.0561,8.1370,0.0026,0.0003,4,False,121275,10.2500,0.1464,0.1721,1.1986,0.0103,-0.0708,1.9485,-0.0544,0.0544,False
2023,7,2,1,Debiased_Whittle,0.0000,-0.1260,0.1260,False,0.0065,-0.0267,0.0275,False,-0.0065,-0.0993,0.0995,8.1370,0.0026,0.0003,4,False,121275,8.2765,0.1281,0.1398,0.9891,0.0065,-0.0267,1.4579,-0.0985,0.0985,False
