year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2022,7,1,lon,Vecchia_mm20,0.5580,5.4216,16855.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.7146,17001,4.4311,5.1952,17032,5.6410,6.1267,16949,6.6334,6.9050,16898,7.7717,6.2271,16891,7.5407,5.9396,16955,6.5384,5.1918,16744,6.2094,4.0732,16374.0000,5.2373
2022,7,1,lon,Vecchia_mm20,0.7470,5.5469,16515.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.8015,16659,4.4311,5.3770,16691,5.6410,6.2138,16608,6.6334,6.9440,16556,7.7717,6.5201,16549,7.5407,6.1043,16614,6.5384,5.2865,16399,6.2094,4.1280,16044.0000,5.2373
2022,7,1,lon,Vecchia_mm20,0.9360,5.6228,16177.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.8726,16318,4.4311,5.4877,16350,5.6410,6.3123,16269,6.6334,7.1812,16215,7.7717,6.7468,16208,7.5407,6.1225,16275,6.5384,5.1307,16058,6.2094,4.1284,15729.0000,5.2373
2022,7,1,lon,Vecchia_mm20,1.1250,5.7226,15839.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.9892,15976,4.4311,5.5135,16008,5.6410,6.4250,15927,6.6334,7.4600,15875,7.7717,6.9095,15867,7.5407,6.0906,15932,6.5384,5.1970,15725,6.2094,4.1957,15403.0000,5.2373
2022,7,1,lon,Vecchia_mm20,1.3140,5.8173,15502.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.1467,15635,4.4311,5.6231,15667,5.6410,6.5124,15587,6.6334,7.5024,15538,7.7717,6.9375,15525,7.5407,6.0945,15590,6.5384,5.4019,15391,6.2094,4.3196,15084.0000,5.2373
2022,7,1,lon,Vecchia_mm20,1.5030,5.9284,15164.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.1784,15293,4.4311,5.6284,15325,5.6410,6.5269,15247,6.6334,7.7051,15197,7.7717,7.1227,15184,7.5407,6.1675,15249,6.5384,5.5466,15059,6.2094,4.5515,14764.0000,5.2373
2022,7,1,lon,Vecchia_mm20,1.6920,6.0028,14826.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.1764,14962,4.4311,5.5983,14983,5.6410,6.6995,14905,6.6334,7.8732,14856,7.7717,7.1407,14844,7.5407,6.2540,14907,6.5384,5.7734,14728,6.2094,4.5069,14428.0000,5.2373
2022,7,1,lon,Vecchia_mm20,1.8810,6.0561,14487.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.1242,14620,4.4311,5.4441,14641,5.6410,6.7993,14563,6.6334,7.9234,14516,7.7717,7.3033,14502,7.5407,6.3530,14565,6.5384,5.8457,14385,6.2094,4.6555,14110.0000,5.2373
2022,7,1,lat,Debiased_Whittle,0.0440,3.3502,17779.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,2.4975,17874,4.4283,3.5703,17898,5.6412,4.2371,17846,6.6257,4.2303,17821,7.7641,3.7927,17820,7.5375,3.4909,17838,6.5426,2.8107,17708,6.2238,2.1717,17427.0000,5.2550
2022,7,1,lat,Debiased_Whittle,0.1320,4.5511,17437.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.1884,17552,4.4283,4.5437,17578,5.6412,5.6703,17517,6.6257,5.9593,17496,7.7641,5.4440,17491,7.5375,4.7051,17508,6.5426,3.9767,17352,6.2238,2.9210,17007.0000,5.2550
2022,7,1,lat,Debiased_Whittle,0.1760,4.7619,17273.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.3311,17390,4.4283,4.7805,17418,5.6412,5.7508,17354,6.6257,6.2068,17334,7.7641,5.6610,17327,7.5375,4.9417,17349,6.5426,4.2858,17189,6.2238,3.1373,16828.0000,5.2550
2022,7,1,lat,Debiased_Whittle,0.3960,5.3831,16473.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.6381,16588,4.4283,5.1009,16619,5.6412,6.0420,16555,6.6257,6.8786,16534,7.7641,6.3222,16521,7.5375,5.7433,16553,6.5426,5.3490,16398,6.2238,3.9906,16017.0000,5.2550
2022,7,1,lat,Debiased_Whittle,0.6160,5.6940,15680.3750,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.8942,15790,4.4283,5.2907,15819,5.6412,6.1981,15769,6.6257,7.0765,15744,7.7641,6.6084,15729,7.5375,6.0553,15756,6.5426,5.7746,15611,6.2238,4.6544,15225.0000,5.2550
2022,7,1,lat,Debiased_Whittle,0.8360,5.8786,14890.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.0280,14990,4.4283,5.4692,15020,5.6412,6.2494,14980,6.6257,7.3927,14952,7.7641,6.8536,14948,7.5375,6.2809,14964,6.5426,5.9519,14821,6.2238,4.8029,14450.0000,5.2550
2022,7,1,lat,Debiased_Whittle,1.0560,5.9796,14096.6250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.1409,14191,4.4283,5.5160,14221,5.6412,6.2800,14181,6.6257,7.3271,14154,7.7641,7.0037,14151,7.5375,6.3986,14172,6.5426,6.1792,14031,6.2238,4.9909,13672.0000,5.2550
2022,7,1,lat,Debiased_Whittle,1.2760,5.9386,13304.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.2358,13396,4.4283,5.6203,13422,5.6412,6.3831,13381,6.6257,7.1373,13354,7.7641,6.9418,13359,7.5375,6.3499,13388,6.5426,5.9790,13240,6.2238,4.8614,12892.0000,5.2550
2022,7,1,lat,Debiased_Whittle,1.4960,5.9295,12517.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.3445,12606,4.4283,5.6708,12625,5.6412,6.5189,12583,6.6257,7.1954,12559,7.7641,6.7625,12569,7.5375,6.2680,12593,6.5426,5.8665,12459,6.2238,4.8090,12146.0000,5.2550
2022,7,1,lat,Debiased_Whittle,1.7160,5.9272,11734.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.2783,11817,4.4283,5.7243,11838,5.6412,6.3450,11792,6.6257,7.2190,11777,7.7641,6.9095,11782,7.5375,6.3488,11807,6.5426,5.8867,11672,6.2238,4.7057,11388.0000,5.2550
