direction,winner,wins
lat,Corridor_4x4_lag643,58
lat,Vecchia_mm20,48
lat,Debiased_Whittle,6
lon,Corridor_4x4_lag643,59
lon,Debiased_Whittle,30
lon,Vecchia_mm20,23
