day,slot,var_raw,var_old,var_new,var_lat,pct_old,pct_new,pct_lat
0,0,10.217228784640898,,,,,,
0,1,11.12648052226814,,,,,,
0,2,12.854917816027388,,,,,,
0,3,15.34937949031693,,,,,,
0,4,14.964272087171691,,,,,,
0,5,12.61808869302715,,,,,,
0,6,11.503891267082576,,,,,,
0,7,10.279448337838296,,,,,,
1,0,19.06929123654761,,,,,,
1,1,18.65356385888452,,,,,,
1,2,17.801409326969257,,,,,,
1,3,18.075958018632118,,,,,,
1,4,18.165894076517546,,,,,,
1,5,18.27420899153479,,,,,,
1,6,19.033220828235333,,,,,,
1,7,15.286080896999,,,,,,
2,0,17.23396860187213,,,,,,
2,1,15.77168686196931,,,,,,
2,2,16.792747112688232,,,,,,
2,3,19.99074859703768,,,,,,
2,4,22.574300761089823,,,,,,
2,5,22.634738370443173,,,,,,
2,6,20.50589897652776,,,,,,
2,7,16.162997226941172,,,,,,
3,0,14.655338991736297,,,,,,
3,1,15.789732160764746,,,,,,
3,2,14.12550913978203,,,,,,
3,3,15.167484559658668,,,,,,
3,4,16.98651188258996,,,,,,
3,5,17.22056006563889,,,,,,
3,6,17.029061883649838,,,,,,
3,7,16.1608453545718,,,,,,
4,0,20.34834392996444,,,,,,
4,1,18.458622287016013,,,,,,
4,2,16.920374749097153,,,,,,
4,3,16.690919461644476,,,,,,
4,4,16.136998013081516,,,,,,
4,5,13.702528775224286,,,,,,
4,6,11.064672586500764,,,,,,
4,7,7.719568499096504,,,,,,
