lag,gamma,rho (ACF),n_pairs
0,11.63609275217428,1.0,5808
1,9.97087493139291,0.8568920121000055,5082
2,8.791839573672322,0.7555663022735453,4356
3,8.167178243207161,0.7018832194923051,3630
4,7.79078229848771,0.6695359399770986,2904
5,7.659284830823341,0.6582351132765037,2178
6,7.585314346097355,0.6518781267603757,1452
7,7.844286580754212,0.6741340712747804,726
