model,k,AIC,ΔAIC
W1+W2+W3+W4+W5+W6,7,156.7684771444165,0.0
W1+W2+W3+W4+W5+W6+W7,8,195.06358603839496,38.3
W1+W2+W3+W4+W5,6,1772.8756774772503,1616.11
W1+W2+W3+W4+D1,6,4139.34105170456,3982.57
W1+W2+W3+W4+D2,6,4177.034257532108,4020.27
W1+W2+W3+W4+D3,6,4190.7309419047415,4033.96
W1+W2+W3+W4+D14,6,4204.329933724901,4047.56
W1+W2+W3+W4+D12,6,4204.369569475331,4047.6
W1+W2+W3+W4+D4,6,4204.504889452965,4047.74
W1+W2+W3+W4+D13,6,4206.42326178038,4049.65
W1+W2+W3+W4+D5,6,4207.3356594233355,4050.57
W1+W2+W3+W4+D11,6,4209.195929343361,4052.43
W1+W2+W3+W4+D10,6,4211.445335351941,4054.68
W1+W2+W3+W4+D6,6,4214.416220966987,4057.65
W1+W2+W3+W4+D9,6,4215.58460495153,4058.82
W1+W2+W3+W4+D7,6,4217.1454684786495,4060.38
W1+W2+W3+W4+D8,6,4218.174778149816,4061.41
W1+W2+W3+W4,5,4248.8669803439125,4092.1
W1+W2+W3+D1+D2+D3+D4+D5,9,4938.335181363057,4781.57
W1+W2+W3+D1+D2+D3+D4,8,4943.550686092755,4786.78
W1+W2+W3+D1+D14,6,4944.023209337506,4787.25
W1+W2+W3+D1+D2+D3,7,4948.731360483087,4791.96
W1+W2+W3+D1+D2,6,4958.190436886085,4801.42
W1+W2+W3+D1+D7,6,4960.840829823284,4804.07
W1+W2+W3+D1,5,4983.577884403921,4826.81
W1+W2+W3+D2+D14,6,5006.1170746417965,4849.35
W1+W2+W3+D2+D7,6,5027.3349833949915,4870.57
W1+W2+W3+D3+D14,6,5033.8254584813385,4877.06
W1+W2+W3+D2,5,5047.221197398499,4890.45
W1+W2+W3+D4+D14,6,5052.183735520986,4895.42
W1+W2+W3+D3+D7,6,5057.056970224881,4900.29
W1+W2+W3+D5+D14,6,5057.822417883458,4901.05
W1+W2+W3+D6+D14,6,5069.650264247942,4912.88
W1+W2+W3+D3,5,5074.411892710573,4917.64
W1+W2+W3+D4+D7,6,5077.595720086313,4920.83
W1+W2+W3+D7+D14,6,5078.56653337945,4921.8
W1+W2+W3+D5+D7,6,5087.364563464825,4930.6
W1+W2+W3+D4,5,5091.972237230252,4935.2
W1+W2+W3+D5,5,5096.959619849668,4940.19
W1+W2+W3+D14,5,5097.847575185515,4941.08
W1+W2+W3+D12,5,5098.189892665843,4941.42
W1+W2+W3+D13,5,5099.767720080892,4943.0
W1+W2+W3+D6+D7,6,5100.725938058562,4943.96
W1+W2+W3+D11,5,5103.219316633223,4946.45
W1+W2+W3+D10,5,5105.715022087774,4948.95
W1+W2+W3+D6,5,5106.087342128228,4949.32
W1+W2+W3+D7,5,5110.987190125162,4954.22
W1+W2+W3+D9,5,5111.242139403994,4954.47
W1+W2+W3+D8,5,5113.776327283411,4957.01
W1+W2+W3,4,5146.002911121341,4989.23
W1+W2+D1+D2+D3+D4+D5,8,5402.486869103075,5245.72
W1+W2+D1+D2+D3+D4,7,5407.545840734553,5250.78
W1+W2+D1+D2+D3,6,5413.040557489936,5256.27
