year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2022,7,7,lat,Debiased_Whittle,0.1455,0.1286,-0.1286,hour_dummy_plus_lat_lon_ols,True,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lat,Vecchia_mm20,0.0822,0.0720,-0.0631,hour_dummy_plus_lat_lon_ols,True,12.4547,0.3713,0.5735,2.1040,1.9859
2022,7,7,lon,Corridor_4x4_lag643,0.1762,0.1542,-0.1542,hour_dummy_plus_lat_lon_ols,True,9.8653,0.2142,0.2655,1.1956,1.1792
2022,7,7,lon,Debiased_Whittle,0.1870,0.1636,-0.1636,hour_dummy_plus_lat_lon_ols,True,6.9742,0.2025,0.2417,1.1187,0.6920
2022,7,7,lon,Vecchia_mm20,0.0556,0.0481,-0.0312,hour_dummy_plus_lat_lon_ols,True,12.4547,0.3713,0.5735,2.1040,1.9859
2022,7,8,lat,Corridor_4x4_lag643,0.1098,0.1049,-0.1049,hour_dummy_plus_lat_lon_ols,True,9.4116,0.2434,0.2266,1.1260,0.7720
2022,7,8,lat,Debiased_Whittle,0.1472,0.1433,-0.1433,hour_dummy_plus_lat_lon_ols,True,5.2696,0.1730,0.1454,0.9549,0.4676
2022,7,8,lat,Vecchia_mm20,0.0780,0.0694,-0.0293,hour_dummy_plus_lat_lon_ols,True,11.9798,0.4298,0.4289,1.9655,1.2737
2022,7,8,lon,Corridor_4x4_lag643,0.1509,0.1414,-0.1414,hour_dummy_plus_lat_lon_ols,True,9.4116,0.2434,0.2266,1.1260,0.7720
2022,7,8,lon,Debiased_Whittle,0.2055,0.1931,-0.1931,hour_dummy_plus_lat_lon_ols,True,5.2696,0.1730,0.1454,0.9549,0.4676
2022,7,8,lon,Vecchia_mm20,0.0770,0.0716,-0.0470,hour_dummy_plus_lat_lon_ols,True,11.9798,0.4298,0.4289,1.9655,1.2737
2022,7,9,lat,Corridor_4x4_lag643,0.1311,0.1083,-0.1026,hour_dummy_plus_lat_lon_ols,True,9.8838,0.2259,0.1908,1.2120,1.5288
2022,7,9,lat,Debiased_Whittle,0.1498,0.1245,-0.1188,hour_dummy_plus_lat_lon_ols,True,7.7887,0.2004,0.1587,0.9086,1.4408
2022,7,9,lat,Vecchia_mm20,0.0638,0.0534,-0.0462,hour_dummy_plus_lat_lon_ols,True,10.1947,0.3914,0.3685,2.0393,2.3325
2022,7,9,lon,Corridor_4x4_lag643,0.1544,0.1337,-0.1337,hour_dummy_plus_lat_lon_ols,True,9.8838,0.2259,0.1908,1.2120,1.5288
2022,7,9,lon,Debiased_Whittle,0.1806,0.1560,-0.1560,hour_dummy_plus_lat_lon_ols,True,7.7887,0.2004,0.1587,0.9086,1.4408
2022,7,9,lon,Vecchia_mm20,0.0705,0.0591,-0.0591,hour_dummy_plus_lat_lon_ols,True,10.1947,0.3914,0.3685,2.0393,2.3325
2022,7,10,lat,Corridor_4x4_lag643,0.0896,0.0791,-0.0747,hour_dummy_plus_lat_lon_ols,True,9.9370,0.2100,0.1992,1.2940,1.4960
2022,7,10,lat,Debiased_Whittle,0.1435,0.1255,-0.1212,hour_dummy_plus_lat_lon_ols,True,6.5064,0.1338,0.1096,0.9013,1.2877
