tile_y,tile_x,2022,2023,2024,2025,slope_o3_per_year,delta_2025_minus_2022,land_fraction,mean_topobathy_m,mean_land_elevation_m
0,0,249.8485,249.205059,257.614968,240.513501,-1.959509,-9.334999,0.4424,-393.539405,525.572774
0,1,248.994575,247.551782,256.086526,239.544845,-1.981445,-9.44973,0.0716,-2426.571018,224.27629
0,2,248.880607,246.963647,256.420241,239.923148,-1.741578,-8.957459,0.0908,-2077.056599,240.754916
0,3,248.599903,247.117235,256.143996,240.267619,-1.597009,-8.332284,0.1072,-633.45976,128.088057
1,0,252.201344,251.70406,258.808478,242.246422,-2.276035,-9.954922,0.2604,-1380.381487,357.13048
1,1,252.171542,251.869763,258.926133,242.273329,-2.263827,-9.898213,0.1632,-1948.008153,445.342409
1,2,252.277925,251.61767,259.574621,243.115501,-1.953032,-9.162424,0.2212,-1074.770077,245.668389
1,3,251.944135,251.451131,259.527857,243.448315,-1.741073,-8.49582,0.0712,-1788.315366,167.339196
