dgp,lanczos_dimension,replicate_count,max_relative_field_error_vs_max,mean_relative_field_error_vs_max,mean_l_squared,sd_l_squared,analytic_target_mapped_var_l,clipped_8x_var_l,mean_minus_analytic_target
joint,120,5,0.00054546261385734725,0.00050746496929347307,1.4027758878004364,0.025979426724550798,1.3821133783366155,1.4141519670218747,0.020662509463820866
joint,160,5,0,0,1.4027720326710156,0.025982945734690097,1.3821133783366155,1.4141519670218747,0.020658654334400062
