dgp,replicate,seed,lanczos_dimension,available_lanczos_dimension,lanczos_breakdown,relative_field_change_from_previous,decomposition_seconds,dimension,ritz_min,ritz_max,ritz_negative_count,empirical_h_aa,empirical_h_bb,empirical_h_ab,empirical_mean_l_squared,relative_field_error_vs_max_dimension
joint,0,20260926,120,160,False,,4.0401103750045877,120,2.3253395264326233,652776.65919809393,0,27.552384719561363,28.345707586983281,0.37528046657249459,1.3664813401390472,0.00054306750343441975
joint,0,20260926,160,160,False,0.00054306750343441975,4.0401103750045877,160,2.1733957830741759,652776.65919809311,0,27.552405176163543,28.346011363922671,0.37486735876957816,1.3664691165001699,0
joint,1,20260927,120,160,False,,6.6466732910193969,120,2.3267896130264849,652776.65919809346,0,28.251836969618928,28.890383882151671,0.43351618890412463,1.399371859893203,0.00047677496774697052
joint,1,20260927,160,160,False,0.00047677496774697052,6.6466732910193969,160,2.1751473548631628,652776.65919809346,0,28.252432600458125,28.890500047815465,0.43364871874149691,1.3993956225270199,0
joint,2,20260928,120,160,False,,7.076203540986171,120,2.3243174184310256,652776.65919809439,0,28.909768501372778,27.865840482677179,0.57796303057211929,1.3981771099215483,0.00049934283923901623
joint,2,20260928,160,160,False,0.00049934283923901623,7.076203540986171,160,2.1725779832015157,652776.65919809416,0,28.909365530663827,27.865897663408777,0.57733502730113206,1.3981382800668469,0
joint,3,20260929,120,160,False,,7.2249143339868169,120,2.3275666577794327,652776.65919809393,0,28.339209405442208,29.882217604254421,0.14967704774363158,1.4113495076808313,0.00047267692218961173
joint,3,20260929,160,160,False,0.00047267692218961173,7.2249143339868169,160,2.1761295314953508,652776.65919809404,0,28.339762504617383,29.88210284270199,0.14980585175076666,1.4113665688971933,0
joint,4,20260930,120,160,False,,5.1988266249827575,120,2.3268061176516572,652776.65919809346,0,28.142822568593068,29.364492065349481,1.0667977834767155,1.4384996213675525,0.00054546261385734725
joint,4,20260930,160,160,False,0.00054546261385734725,5.1988266249827575,160,2.1753929336939839,652776.65919809381,0,28.143149963997669,29.364588457582691,1.0663964338717471,1.4384905753638486,0
