year,month,day_idx,day,model_variant,model_label,loss,bin_idx,k_mid,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_I_over_EI_mean,global_scale,profile_sigmasq
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,37,6.483858,1.033431,0.561389,1.525235,1.085289,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,38,6.656761,1.113405,0.637115,1.643702,1.169277,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,39,6.829663,1.069375,0.592567,1.633217,1.123037,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,40,7.002566,1.095360,0.597695,1.614841,1.150327,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,41,7.175469,1.078429,0.574832,1.566379,1.132546,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,42,7.348372,1.079864,0.616823,1.619051,1.134053,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,43,7.521275,1.073981,0.623875,1.520126,1.127875,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,44,7.694178,1.057786,0.601761,1.605137,1.110867,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,45,7.867081,1.070314,0.560252,1.705117,1.124024,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,46,8.039983,1.084966,0.616442,1.588746,1.139411,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,47,8.212886,1.060898,0.646159,1.566453,1.114135,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,48,8.385789,1.023388,0.636491,1.504908,1.074743,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,49,8.558692,1.029533,0.630152,1.465009,1.081197,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,50,8.731595,1.040628,0.526139,1.616866,1.092849,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,51,8.904498,1.007779,0.553240,1.571403,1.058351,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,52,9.077401,0.992475,0.557744,1.497136,1.042278,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,53,9.250304,1.025160,0.586873,1.524230,1.076604,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,54,9.423206,1.058669,0.581877,1.659300,1.111794,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,55,9.596109,1.010042,0.571008,1.481535,1.060728,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,56,9.769012,0.998747,0.575797,1.441802,1.048865,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,57,9.941915,1.000303,0.546452,1.513695,1.050499,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,58,10.114818,1.047969,0.588159,1.467572,1.100558,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,59,10.287721,0.987257,0.535687,1.423945,1.036799,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,60,10.460624,0.945678,0.581180,1.411245,0.993133,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,61,10.633527,0.940851,0.522180,1.392992,0.988064,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,62,10.806429,1.006428,0.592328,1.465062,1.056932,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,63,10.979332,1.006977,0.560951,1.495295,1.057508,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,64,11.152235,1.028837,0.578360,1.352911,1.080466,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,65,11.325138,0.963167,0.553230,1.451126,1.011500,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,66,11.498041,0.940612,0.546431,1.350020,0.987813,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,67,11.670944,0.987610,0.544874,1.450588,1.037170,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,68,11.843847,0.970513,0.605435,1.390303,1.019214,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,69,12.016750,0.971678,0.566533,1.470955,1.020438,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,70,12.189652,0.934249,0.554064,1.376475,0.981131,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,71,12.362555,0.966336,0.655942,1.262692,1.014828,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,72,12.535458,0.921594,0.548646,1.363303,0.967841,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,73,12.708361,0.899938,0.488012,1.291181,0.945098,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,74,12.881264,0.891169,0.612210,1.251834,0.935890,1.050181,13.425984
2023,7,0,2023-07-01,matern_s03,Matern s=0.3 nugget0,,75,13.054167,0.981053,0.598428,1.308945,1.030283,1.050181,13.425984
