year,month,day_num,direction,lag,model,fitted_gamma_t0,sigma,range_lat,range_lon,range_time,nugget
2025,7,1,lat,0.0440,Corridor_4x4_lag643,4.2297,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.1320,Corridor_4x4_lag643,7.6444,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.1760,Corridor_4x4_lag643,8.8107,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.3960,Corridor_4x4_lag643,11.7484,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.6160,Corridor_4x4_lag643,12.5946,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.8360,Corridor_4x4_lag643,12.8384,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.0560,Corridor_4x4_lag643,12.9086,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.2760,Corridor_4x4_lag643,12.9288,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.4960,Corridor_4x4_lag643,12.9346,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.7160,Corridor_4x4_lag643,12.9363,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,1.9360,Corridor_4x4_lag643,12.9368,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,2.1560,Corridor_4x4_lag643,12.9369,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,0.0440,Debiased_Whittle,3.7539,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.1320,Debiased_Whittle,6.7362,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.1760,Debiased_Whittle,7.6065,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.3960,Debiased_Whittle,9.3265,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.6160,Debiased_Whittle,9.6270,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,0.8360,Debiased_Whittle,9.6795,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,1.0560,Debiased_Whittle,9.6887,8.4155,0.1261,0.1795,0.7922,1.2751
