year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,nugget
2025,7,1,lat,Corridor_4x4_lag643,2.7056,1.9234,1.5878,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lat,Debiased_Whittle,5.0578,4.1359,4.1359,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lat,Vecchia_mm20,1.5984,1.3838,-0.6511,13.4357,0.2876,0.3948,1.4318,2.8940
2025,7,1,lon,Corridor_4x4_lag643,0.8317,0.6091,-0.5350,11.1683,0.1768,0.2280,0.8872,1.7686
2025,7,1,lon,Debiased_Whittle,2.2753,1.9565,1.9565,8.4155,0.1261,0.1795,0.7922,1.2751
2025,7,1,lon,Vecchia_mm20,2.5557,2.3008,-2.3008,13.4357,0.2876,0.3948,1.4318,2.8940
2025,7,2,lat,Corridor_4x4_lag643,1.8640,1.3316,0.8474,7.5882,0.1887,0.2685,0.9915,1.0556
2025,7,2,lat,Debiased_Whittle,3.8076,3.1382,3.1382,4.8618,0.1520,0.1904,1.0636,0.9543
2025,7,2,lat,Vecchia_mm20,1.2176,1.0063,-0.2182,8.5452,0.3268,0.5688,1.6053,1.9327
2025,7,2,lon,Corridor_4x4_lag643,1.1472,0.9925,-0.9925,7.5882,0.1887,0.2685,0.9915,1.0556
2025,7,2,lon,Debiased_Whittle,1.3092,1.0504,1.0504,4.8618,0.1520,0.1904,1.0636,0.9543
2025,7,2,lon,Vecchia_mm20,1.6224,1.3841,-1.3841,8.5452,0.3268,0.5688,1.6053,1.9327
2025,7,3,lat,Corridor_4x4_lag643,1.0507,0.9124,0.4040,11.0159,0.1530,0.2222,0.9926,2.1888
2025,7,3,lat,Debiased_Whittle,4.6861,4.3862,4.3862,7.3905,0.1373,0.1929,0.9083,1.2716
2025,7,3,lat,Vecchia_mm20,1.3203,1.1738,-1.1738,12.4526,0.2550,0.3930,1.4604,3.2648
2025,7,3,lon,Corridor_4x4_lag643,1.0563,0.8848,-0.8837,11.0159,0.1530,0.2222,0.9926,2.1888
2025,7,3,lon,Debiased_Whittle,3.0442,2.8868,2.8868,7.3905,0.1373,0.1929,0.9083,1.2716
2025,7,3,lon,Vecchia_mm20,2.2802,1.9788,-1.9788,12.4526,0.2550,0.3930,1.4604,3.2648
2025,7,4,lat,Corridor_4x4_lag643,1.0389,0.7685,0.3783,10.6301,0.1510,0.1867,1.1244,2.3924
2025,7,4,lat,Debiased_Whittle,4.5175,4.2041,4.2041,6.7565,0.1344,0.1584,1.0481,1.8540
2025,7,4,lat,Vecchia_mm20,0.7898,0.5557,0.1823,10.0272,0.2031,0.2686,1.5987,3.4398
2025,7,4,lon,Corridor_4x4_lag643,1.2179,1.0373,-1.0373,10.6301,0.1510,0.1867,1.1244,2.3924
2025,7,4,lon,Debiased_Whittle,2.8270,2.6526,2.6526,6.7565,0.1344,0.1584,1.0481,1.8540
2025,7,4,lon,Vecchia_mm20,1.2235,1.0666,-1.0666,10.0272,0.2031,0.2686,1.5987,3.4398
2025,7,5,lat,Corridor_4x4_lag643,2.6020,2.1391,2.0736,17.2388,0.1575,0.2078,1.0746,1.4687
2025,7,5,lat,Debiased_Whittle,3.9129,3.2894,3.2503,16.4135,0.1271,0.1616,1.1702,0.6533
2025,7,5,lat,Vecchia_mm20,0.9581,0.8336,-0.8336,20.0855,0.2447,0.3328,1.5630,2.9463
2025,7,5,lon,Corridor_4x4_lag643,1.2778,1.1081,-0.4156,17.2388,0.1575,0.2078,1.0746,1.4687
2025,7,5,lon,Debiased_Whittle,1.7605,1.4590,0.5744,16.4135,0.1271,0.1616,1.1702,0.6533
2025,7,5,lon,Vecchia_mm20,3.1395,2.8224,-2.8224,20.0855,0.2447,0.3328,1.5630,2.9463
2025,7,6,lat,Corridor_4x4_lag643,5.9679,4.2344,3.8283,17.4777,0.1953,0.2887,1.1627,1.9987
2025,7,6,lat,Debiased_Whittle,6.7511,4.8722,4.7955,16.7865,0.1877,0.2412,1.0883,1.5359
2025,7,6,lat,Vecchia_mm20,4.4023,2.9952,2.3320,18.8992,0.2735,0.4558,1.5659,3.1041
2025,7,6,lon,Corridor_4x4_lag643,1.6833,1.3921,-0.7969,17.4777,0.1953,0.2887,1.1627,1.9987
2025,7,6,lon,Debiased_Whittle,1.8163,1.5385,-0.2512,16.7865,0.1877,0.2412,1.0883,1.5359
2025,7,6,lon,Vecchia_mm20,1.7333,1.4168,-1.4168,18.8992,0.2735,0.4558,1.5659,3.1041
2025,7,7,lat,Corridor_4x4_lag643,1.5111,1.1084,0.4883,11.8774,0.1815,0.2658,1.1567,1.1196
2025,7,7,lat,Debiased_Whittle,4.9043,4.2963,4.2963,7.9682,0.1243,0.1828,1.1112,0.3215
2025,7,7,lat,Vecchia_mm20,2.0137,1.6779,-1.6579,14.7416,0.2956,0.5380,1.8198,1.7465
2025,7,7,lon,Corridor_4x4_lag643,1.3664,1.1702,-0.1423,11.8774,0.1815,0.2658,1.1567,1.1196
2025,7,7,lon,Debiased_Whittle,4.0890,3.3691,3.3691,7.9682,0.1243,0.1828,1.1112,0.3215
2025,7,7,lon,Vecchia_mm20,1.3497,1.1577,-1.0740,14.7416,0.2956,0.5380,1.8198,1.7465
2025,7,8,lat,Corridor_4x4_lag643,2.3215,1.7296,1.2490,11.5394,0.1608,0.2496,1.0211,2.3030
2025,7,8,lat,Debiased_Whittle,4.3012,3.5702,3.5702,9.3895,0.1395,0.2112,1.0792,1.6992
2025,7,8,lat,Vecchia_mm20,1.8178,1.5962,-1.2892,14.0464,0.2609,0.4395,1.6022,3.4889
2025,7,8,lon,Corridor_4x4_lag643,1.2172,1.0086,-0.5338,11.5394,0.1608,0.2496,1.0211,2.3030
2025,7,8,lon,Debiased_Whittle,2.1300,1.6030,1.5880,9.3895,0.1395,0.2112,1.0792,1.6992
2025,7,8,lon,Vecchia_mm20,2.6162,2.3479,-2.3479,14.0464,0.2609,0.4395,1.6022,3.4889
2025,7,9,lat,Corridor_4x4_lag643,3.2327,2.2350,1.7343,10.7315,0.1999,0.3008,1.2444,1.2936
2025,7,9,lat,Debiased_Whittle,4.9999,3.7882,3.7882,8.6338,0.1544,0.2353,1.0635,0.7521
2025,7,9,lat,Vecchia_mm20,2.3515,1.5140,1.2454,11.6124,0.3570,0.5731,1.9829,1.9724
2025,7,9,lon,Corridor_4x4_lag643,2.2523,2.0207,-2.0207,10.7315,0.1999,0.3008,1.2444,1.2936
2025,7,9,lon,Debiased_Whittle,0.6280,0.5219,-0.1688,8.6338,0.1544,0.2353,1.0635,0.7521
2025,7,9,lon,Vecchia_mm20,2.3247,1.9743,-1.8786,11.6124,0.3570,0.5731,1.9829,1.9724
2025,7,10,lat,Corridor_4x4_lag643,1.5733,1.3734,-0.8311,14.9879,0.2262,0.2986,1.3126,1.7702
2025,7,10,lat,Debiased_Whittle,3.3134,2.6576,2.6576,10.6728,0.1792,0.2535,0.9707,1.5415
2025,7,10,lat,Vecchia_mm20,2.8618,2.3986,-2.3986,17.3202,0.3831,0.5449,1.9162,2.7472
2025,7,10,lon,Corridor_4x4_lag643,1.3403,1.1380,-0.3144,14.9879,0.2262,0.2986,1.3126,1.7702
2025,7,10,lon,Debiased_Whittle,3.7166,3.0102,3.0102,10.6728,0.1792,0.2535,0.9707,1.5415
2025,7,10,lon,Vecchia_mm20,1.2840,1.0970,-1.0491,17.3202,0.3831,0.5449,1.9162,2.7472
2025,7,11,lat,Corridor_4x4_lag643,6.7589,4.8790,4.2624,14.0562,0.2509,0.3226,1.3829,1.1179
2025,7,11,lat,Debiased_Whittle,8.3326,6.2084,5.6994,12.2562,0.1735,0.2066,0.9599,0.5967
2025,7,11,lat,Vecchia_mm20,3.7207,2.5570,1.9230,18.8157,0.5090,0.6403,2.3043,1.7962
2025,7,11,lon,Corridor_4x4_lag643,1.8731,1.4754,0.4369,14.0562,0.2509,0.3226,1.3829,1.1179
2025,7,11,lon,Debiased_Whittle,3.1147,2.4069,1.5148,12.2562,0.1735,0.2066,0.9599,0.5967
2025,7,11,lon,Vecchia_mm20,1.4583,1.2000,-1.1668,18.8157,0.5090,0.6403,2.3043,1.7962
2025,7,12,lat,Corridor_4x4_lag643,4.0314,2.9229,2.2974,14.8423,0.1802,0.2733,1.1085,1.8263
2025,7,12,lat,Debiased_Whittle,3.9843,3.1316,1.7431,15.6606,0.1413,0.1974,1.1961,1.2828
2025,7,12,lat,Vecchia_mm20,1.9009,1.5403,-0.2066,18.6430,0.3706,0.6320,2.0417,2.9259
2025,7,12,lon,Corridor_4x4_lag643,1.4501,1.1878,-0.8556,14.8423,0.1802,0.2733,1.1085,1.8263
2025,7,12,lon,Debiased_Whittle,2.2580,1.8968,-1.6850,15.6606,0.1413,0.1974,1.1961,1.2828
2025,7,12,lon,Vecchia_mm20,2.3914,2.0450,-1.8267,18.6430,0.3706,0.6320,2.0417,2.9259
2025,7,13,lat,Corridor_4x4_lag643,4.4713,3.3798,2.8553,17.1922,0.2188,0.3597,1.0930,2.0340
2025,7,13,lat,Debiased_Whittle,10.1067,8.6198,8.6198,10.4428,0.1444,0.2332,0.7388,1.3723
2025,7,13,lat,Vecchia_mm20,2.6971,2.2750,0.7440,19.4011,0.2789,0.5770,1.6070,2.9342
2025,7,13,lon,Corridor_4x4_lag643,2.8860,2.5533,-2.5533,17.1922,0.2188,0.3597,1.0930,2.0340
2025,7,13,lon,Debiased_Whittle,2.9536,2.4266,2.4266,10.4428,0.1444,0.2332,0.7388,1.3723
2025,7,13,lon,Vecchia_mm20,3.6821,3.1627,-3.1627,19.4011,0.2789,0.5770,1.6070,2.9342
2025,7,14,lat,Corridor_4x4_lag643,1.2167,0.9540,0.4639,16.1775,0.2151,0.3718,1.1544,1.4452
2025,7,14,lat,Debiased_Whittle,4.6613,4.2063,4.2063,12.1216,0.1893,0.3196,1.0456,0.8847
2025,7,14,lat,Vecchia_mm20,2.4235,2.1264,-2.1264,19.5246,0.3148,0.6320,1.7326,2.2635
2025,7,14,lon,Corridor_4x4_lag643,1.6212,1.2707,-1.1791,16.1775,0.2151,0.3718,1.1544,1.4452
2025,7,14,lon,Debiased_Whittle,2.6298,2.0623,2.0623,12.1216,0.1893,0.3196,1.0456,0.8847
