filter_name,time_index,anchor_index,moving_latitude,moving_longitude,standardized_moving_latitude,standardized_moving_longitude,weight
full_intrinsic_positive,0,0,-0.4,-0.6,-2,-2,0.00930695671699
full_intrinsic_positive,0,1,-0.4,-0.3,-2,-1,0.00989984400216
full_intrinsic_positive,0,2,-0.4,0,-2,0,0.0109708938679
full_intrinsic_positive,0,3,-0.4,0.3,-2,1,0.00989984400216
full_intrinsic_positive,0,4,-0.4,0.6,-2,2,0.00930695671699
full_intrinsic_positive,0,5,-0.2,-0.6,-1,-2,0.00989984409827
full_intrinsic_positive,0,6,-0.2,-0.3,-1,-1,0.0103755402454
full_intrinsic_positive,0,7,-0.2,0,-1,0,0.0115927308645
full_intrinsic_positive,0,8,-0.2,0.3,-1,1,0.0103755402454
full_intrinsic_positive,0,9,-0.2,0.6,-1,2,0.00989984409827
full_intrinsic_positive,0,10,0,-0.6,0,-2,0.0109708939384
full_intrinsic_positive,0,11,0,-0.3,0,-1,0.0115927308283
full_intrinsic_positive,0,12,0,0,0,0,0.0129383026581
full_intrinsic_positive,0,13,0,0.3,0,1,0.0115927308283
full_intrinsic_positive,0,14,0,0.6,0,2,0.0109708939384
full_intrinsic_positive,0,15,0.2,-0.6,1,-2,0.00989984409827
full_intrinsic_positive,0,16,0.2,-0.3,1,-1,0.0103755402454
full_intrinsic_positive,0,17,0.2,0,1,0,0.0115927308645
full_intrinsic_positive,0,18,0.2,0.3,1,1,0.0103755402454
full_intrinsic_positive,0,19,0.2,0.6,1,2,0.00989984409827
full_intrinsic_positive,0,20,0.4,-0.6,2,-2,0.00930695671699
full_intrinsic_positive,0,21,0.4,-0.3,2,-1,0.00989984400216
full_intrinsic_positive,0,22,0.4,0,2,0,0.0109708938679
full_intrinsic_positive,0,23,0.4,0.3,2,1,0.00989984400216
full_intrinsic_positive,0,24,0.4,0.6,2,2,0.00930695671699
full_intrinsic_positive,1,0,-0.4,-0.6,-2,-2,0.00650249851443
full_intrinsic_positive,1,1,-0.4,-0.3,-2,-1,0.00772192054857
full_intrinsic_positive,1,2,-0.4,0,-2,0,0.00818518205614
full_intrinsic_positive,1,3,-0.4,0.3,-2,1,0.00772192054857
full_intrinsic_positive,1,4,-0.4,0.6,-2,2,0.00650249851443
full_intrinsic_positive,1,5,-0.2,-0.6,-1,-2,0.00772192054729
full_intrinsic_positive,1,6,-0.2,-0.3,-1,-1,0.0089912692972
full_intrinsic_positive,1,7,-0.2,0,-1,0,0.0095804396829
full_intrinsic_positive,1,8,-0.2,0.3,-1,1,0.0089912692972
full_intrinsic_positive,1,9,-0.2,0.6,-1,2,0.00772192054729
full_intrinsic_positive,1,10,0,-0.6,0,-2,0.00818518210043
full_intrinsic_positive,1,11,0,-0.3,0,-1,0.00958043974071
full_intrinsic_positive,1,12,0,0,0,0,0.0102090649128
full_intrinsic_positive,1,13,0,0.3,0,1,0.00958043974071
full_intrinsic_positive,1,14,0,0.6,0,2,0.00818518210043
full_intrinsic_positive,1,15,0.2,-0.6,1,-2,0.00772192054729
full_intrinsic_positive,1,16,0.2,-0.3,1,-1,0.0089912692972
full_intrinsic_positive,1,17,0.2,0,1,0,0.0095804396829
full_intrinsic_positive,1,18,0.2,0.3,1,1,0.0089912692972
full_intrinsic_positive,1,19,0.2,0.6,1,2,0.00772192054729
full_intrinsic_positive,1,20,0.4,-0.6,2,-2,0.00650249851443
