time_index,anchor_index,latitude_grid_index,longitude_grid_index,moving_latitude,moving_longitude,standardized_moving_latitude,standardized_moving_longitude,source_latitude,source_longitude
1,20,4,0,0.4,-0.6,2,-2,0.48,-0.8
1,21,4,1,0.4,-0.3,2,-1,0.48,-0.5
1,22,4,2,0.4,0,2,0,0.48,-0.2
1,23,4,3,0.4,0.3,2,1,0.48,0.1
1,24,4,4,0.4,0.6,2,2,0.48,0.4
2,0,0,0,-0.4,-0.6,-2,-2,-0.24,-1
2,1,0,1,-0.4,-0.3,-2,-1,-0.24,-0.7
2,2,0,2,-0.4,0,-2,0,-0.24,-0.4
2,3,0,3,-0.4,0.3,-2,1,-0.24,-0.1
2,4,0,4,-0.4,0.6,-2,2,-0.24,0.2
2,5,1,0,-0.2,-0.6,-1,-2,-0.04,-1
2,6,1,1,-0.2,-0.3,-1,-1,-0.04,-0.7
2,7,1,2,-0.2,0,-1,0,-0.04,-0.4
2,8,1,3,-0.2,0.3,-1,1,-0.04,-0.1
2,9,1,4,-0.2,0.6,-1,2,-0.04,0.2
2,10,2,0,0,-0.6,0,-2,0.16,-1
2,11,2,1,0,-0.3,0,-1,0.16,-0.7
2,12,2,2,0,0,0,0,0.16,-0.4
2,13,2,3,0,0.3,0,1,0.16,-0.1
2,14,2,4,0,0.6,0,2,0.16,0.2
2,15,3,0,0.2,-0.6,1,-2,0.36,-1
2,16,3,1,0.2,-0.3,1,-1,0.36,-0.7
2,17,3,2,0.2,0,1,0,0.36,-0.4
2,18,3,3,0.2,0.3,1,1,0.36,-0.1
2,19,3,4,0.2,0.6,1,2,0.36,0.2
2,20,4,0,0.4,-0.6,2,-2,0.56,-1
2,21,4,1,0.4,-0.3,2,-1,0.56,-0.7
2,22,4,2,0.4,0,2,0,0.56,-0.4
2,23,4,3,0.4,0.3,2,1,0.56,-0.1
2,24,4,4,0.4,0.6,2,2,0.56,0.2
3,0,0,0,-0.4,-0.6,-2,-2,-0.16,-1.2
3,1,0,1,-0.4,-0.3,-2,-1,-0.16,-0.9
3,2,0,2,-0.4,0,-2,0,-0.16,-0.6
3,3,0,3,-0.4,0.3,-2,1,-0.16,-0.3
3,4,0,4,-0.4,0.6,-2,2,-0.16,-1.11022302463e-16
