branch,size,added_rectangle_index,added_rectangle_id,selected_rectangle_indices,objective_mu,winner_runner_up_gap,winner_tie_count,skipped_dependent_candidates,null_variance,intrinsic_quadratic
positive,1,0,s000_001_t00_01,0,0.313382175398,0,140,0,1,0.313382175398
positive,2,3080,s005_006_t00_01,0;3080,0.458671560803,0.0425704167851,1,0,1,0.458671560803
positive,3,5460,s010_011_t00_01,0;3080;5460,0.511243933792,0.0119414574402,1,0,1,0.511243933792
positive,4,3081,s005_006_t00_02,0;3080;5460;3081,0.548518045551,0,2,0,1,0.548518045551
positive,5,1,s000_001_t00_02,0;3080;5460;3081;1,0.596180546389,0,4,1,1,0.596180546389
positive,6,5461,s010_011_t00_02,0;3080;5460;3081;1;5461,0.631177778244,0,2,2,1,0.631177778244
positive,7,7140,s015_016_t00_01,0;3080;5460;3081;1;5461;7140,0.645175406984,0,2,3,1,0.645175406984
positive,8,7141,s015_016_t00_02,0;3080;5460;3081;1;5461;7140;7141,0.663069946108,0,2,3,1,0.663069946108
negative,1,650,s000_024_t00_07,650,0.00133827890186,2.16840434497e-19,2,0,1,0.00133827890186
negative,2,1271,s001_023_t01_06,650;1271,-0.0993278821166,1.37366827635e-09,1,0,1,-0.0993278821166
negative,3,3455,s005_019_t01_06,650;1271;3455,-0.160318662492,0.00667952067101,1,0,1,-0.160318662492
negative,4,3926,s006_018_t00_07,650;1271;3455;3926,-0.225203903963,0.0169795116216,1,0,1,-0.225203903963
negative,5,655,s000_024_t01_06,650;1271;3455;3926;655,-0.261628040818,0.00678106582874,1,0,1,-0.261628040818
negative,6,3450,s005_019_t00_07,650;1271;3455;3926;655;3450,-0.305594081787,1.51219592404e-10,1,0,1,-0.305594081787
negative,7,3931,s006_018_t01_06,650;1271;3455;3926;655;3450;3931,-0.351365457338,0.000312186051137,1,0,1,-0.351365457338
negative,8,1266,s001_023_t00_07,650;1271;3455;3926;655;3450;3931;1266,-0.408579585104,0.0221713931659,1,0,1,-0.408579585104
