rectangle_index,rectangle_id,spatial_endpoint_p,spatial_endpoint_q,time_endpoint_k,time_endpoint_l,moving_displacement_lat,moving_displacement_lon,standardized_spatial_distance,temporal_lag,orientation_convention,null_variance_raw,standardized_null_variance_check,single_intrinsic_objective
100,s000_004_t02_06,0,4,2,6,0,1.2,4,4,"+p,k;-q,k;-p,l;+q,l",33.02911434,1,0.0108318239778
101,s000_004_t02_07,0,4,2,7,0,1.2,4,5,"+p,k;-q,k;-p,l;+q,l",34.3262501301,1,0.00866812935291
102,s000_004_t03_04,0,4,3,4,0,1.2,4,1,"+p,k;-q,k;-p,l;+q,l",16.955657784,1,0.0156768433042
103,s000_004_t03_05,0,4,3,5,0,1.2,4,2,"+p,k;-q,k;-p,l;+q,l",25.8729365297,1,0.0146194403704
104,s000_004_t03_06,0,4,3,6,0,1.2,4,3,"+p,k;-q,k;-p,l;+q,l",30.5626903133,1,0.0129138500067
105,s000_004_t03_07,0,4,3,7,0,1.2,4,4,"+p,k;-q,k;-p,l;+q,l",33.02911434,1,0.0108318239778
106,s000_004_t04_05,0,4,4,5,0,1.2,4,1,"+p,k;-q,k;-p,l;+q,l",16.955657784,1,0.0156768433042
107,s000_004_t04_06,0,4,4,6,0,1.2,4,2,"+p,k;-q,k;-p,l;+q,l",25.8729365297,1,0.0146194403704
108,s000_004_t04_07,0,4,4,7,0,1.2,4,3,"+p,k;-q,k;-p,l;+q,l",30.5626903133,1,0.0129138500067
109,s000_004_t05_06,0,4,5,6,0,1.2,4,1,"+p,k;-q,k;-p,l;+q,l",16.955657784,1,0.0156768433042
110,s000_004_t05_07,0,4,5,7,0,1.2,4,2,"+p,k;-q,k;-p,l;+q,l",25.8729365297,1,0.0146194403704
111,s000_004_t06_07,0,4,6,7,0,1.2,4,1,"+p,k;-q,k;-p,l;+q,l",16.955657784,1,0.0156768433042
112,s000_005_t00_01,0,5,0,1,0.2,0,1,1,"+p,k;-q,k;-p,l;+q,l",13.2479440799,1,0.313382165798
113,s000_005_t00_02,0,5,0,2,0.2,0,1,2,"+p,k;-q,k;-p,l;+q,l",20.2152709549,1,0.213267388675
114,s000_005_t00_03,0,5,0,3,0.2,0,1,3,"+p,k;-q,k;-p,l;+q,l",23.8795107421,1,0.138622129769
115,s000_005_t00_04,0,5,0,4,0.2,0,1,4,"+p,k;-q,k;-p,l;+q,l",25.8065989151,1,0.0884903237043
116,s000_005_t00_05,0,5,0,5,0.2,0,1,5,"+p,k;-q,k;-p,l;+q,l",26.8200884905,1,0.055940883462
117,s000_005_t00_06,0,5,0,6,0.2,0,1,6,"+p,k;-q,k;-p,l;+q,l",27.3531004897,1,0.0351164296618
118,s000_005_t00_07,0,5,0,7,0.2,0,1,7,"+p,k;-q,k;-p,l;+q,l",27.6334208779,1,0.0219182490773
119,s000_005_t01_02,0,5,1,2,0.2,0,1,1,"+p,k;-q,k;-p,l;+q,l",13.2479440799,1,0.313382165798
120,s000_005_t01_03,0,5,1,3,0.2,0,1,2,"+p,k;-q,k;-p,l;+q,l",20.2152709549,1,0.213267388675
121,s000_005_t01_04,0,5,1,4,0.2,0,1,3,"+p,k;-q,k;-p,l;+q,l",23.8795107421,1,0.138622129769
122,s000_005_t01_05,0,5,1,5,0.2,0,1,4,"+p,k;-q,k;-p,l;+q,l",25.8065989151,1,0.0884903237043
123,s000_005_t01_06,0,5,1,6,0.2,0,1,5,"+p,k;-q,k;-p,l;+q,l",26.8200884905,1,0.055940883462
124,s000_005_t01_07,0,5,1,7,0.2,0,1,6,"+p,k;-q,k;-p,l;+q,l",27.3531004897,1,0.0351164296618
125,s000_005_t02_03,0,5,2,3,0.2,0,1,1,"+p,k;-q,k;-p,l;+q,l",13.2479440799,1,0.313382165798
126,s000_005_t02_04,0,5,2,4,0.2,0,1,2,"+p,k;-q,k;-p,l;+q,l",20.2152709549,1,0.213267388675
127,s000_005_t02_05,0,5,2,5,0.2,0,1,3,"+p,k;-q,k;-p,l;+q,l",23.8795107421,1,0.138622129769
128,s000_005_t02_06,0,5,2,6,0.2,0,1,4,"+p,k;-q,k;-p,l;+q,l",25.8065989151,1,0.0884903237043
129,s000_005_t02_07,0,5,2,7,0.2,0,1,5,"+p,k;-q,k;-p,l;+q,l",26.8200884905,1,0.055940883462
