singular_value_index,singular_value
1,3.15952293798
2,3.14864074554
3,3.14864074294
4,3.14319392015
5,3.14223246736
6,3.13406348009
7,3.12181746018
8,3.12181745667
9,3.11442207525
10,3.11259377777
11,3.11206343767
12,3.11206343221
13,3.11172064129
14,3.10369522154
15,3.10369521897
16,3.09833462355
17,3.09832614729
18,3.09737841884
19,3.09714588837
20,3.09440534548
21,3.09440534051
22,3.09262874906
23,3.08932604043
24,3.07725482732
25,3.07725482385
26,3.07156378938
27,3.07156378661
28,3.0701046751
29,3.06816280909
30,3.06764003937
31,3.06764003399
32,3.06730213627
33,3.06486638917
34,3.05800277855
35,3.05410719831
36,3.05293543182
37,3.05023400903
38,3.05023400413
39,3.04848277278
40,3.04747024711
41,3.04747024458
42,3.0433363035
43,3.04219843629
44,3.04126787641
45,3.03336137082
46,3.02996580567
47,3.0299658025
48,3.02771850655
49,3.02771850382
50,3.02628022051
51,3.0215088337
52,3.02150883029
53,3.02111670891
54,3.01258152189
55,3.0120682224
56,3.01206821711
57,3.01173644058
58,2.99989395618
59,2.99878053544
60,2.99762999609
61,2.99497751091
62,2.9949775061
63,2.99325799917
64,2.98671431658
65,2.98671431346
66,2.98661120072
67,2.97632455984
68,2.97632455738
69,2.97286988789
70,2.97286988521
71,2.97145765712
72,2.97117582377
73,2.97026698856
74,2.96638768509
75,2.96254506682
76,2.95096923688
77,2.95096923355
78,2.94554939302
79,2.94225034047
80,2.94174902438
81,2.94174901922
82,2.94142498828
83,2.93260850911
84,2.93260850605
85,2.92877154935
86,2.92764787027
87,2.92505730953
88,2.92505730483
89,2.9233779412
90,2.90346580707
91,2.90346580445
92,2.90208654598
93,2.8971349366
94,2.89407201782
95,2.88410410518
96,2.88410410279
97,2.87911490103
98,2.87823422579
99,2.87678313151
100,2.8707515653
101,2.86414436313
102,2.86414436014
103,2.85953440871
104,2.85953440548
105,2.85108566448
106,2.85059988151
107,2.85059987651
108,2.85028588556
109,2.83802450935
110,2.83693564711
111,2.83442535406
112,2.8344253495
113,2.83279802041
114,2.81350285732
115,2.81350285478
116,2.81216633219
117,2.80736814682
118,2.78764693584
119,2.77539977561
120,2.77539977272
121,2.77085138192
122,2.76130787217
123,2.76130786989
124,2.7565310929
125,2.75568791409
126,2.74852384214
127,2.73778427739
128,2.7377842743
129,2.72969525456
130,2.72923015472
131,2.72923014994
132,2.72892952775
133,2.71719020302
134,2.71614770117
135,2.71374428863
136,2.71374428427
137,2.71218624181
138,2.69371260709
139,2.69371260467
140,2.69243298707
141,2.68783909359
142,2.66895755078
143,2.65723183676
144,2.65723183399
145,2.61055154118
146,2.60156014444
147,2.60156014229
148,2.59705971235
149,2.59626531329
150,2.58951569864
151,2.5793974413
152,2.57939743839
153,2.57177638622
154,2.57133819343
155,2.57133818892
156,2.57105495839
157,2.55999477938
158,2.55901258855
159,2.55674821871
160,2.5567482146
161,2.55528030833
162,2.53787541397
163,2.53787541168
164,2.53666982277
165,2.53234169613
166,2.51455249206
167,2.50350513636
168,2.50350513375
169,1.38474953618e-14
170,1.1083906129e-14
171,9.57695917815e-15
172,7.76602635517e-15
173,7.32295459402e-15
174,7.03468796623e-15
175,6.59834362122e-15
176,6.09439240932e-15
177,6.01754923353e-15
178,5.99000058991e-15
179,5.65976916072e-15
180,5.55888941119e-15
181,5.30590443732e-15
182,5.05839555562e-15
183,4.82623999497e-15
184,4.68264575629e-15
185,4.65918098672e-15
186,4.53674695608e-15
187,4.42957287927e-15
188,4.33662684368e-15
189,4.30138289741e-15
190,3.90585124738e-15
191,3.8012282641e-15
192,3.68219073618e-15
193,3.58263256661e-15
194,3.40929763335e-15
195,2.9968360072e-15
196,2.79391065234e-15
197,2.57780744002e-15
198,2.3776085461e-15
199,2.15587018353e-15
200,1.79154791754e-15
