model,filter_name,replicates,expected_squared_projection_mean,empirical_squared_projection_mean,relative_mean_error,expected_squared_projection_variance,empirical_squared_projection_variance,relative_variance_error
fitted_null,dense_dictionary_positive,30000,1,0.999109620895,-0.000890379104979,2,2.00222896374,0.00111448187249
fitted_null,greedy_01_positive,30000,1,1.00711710174,0.00711710173746,2,1.99861753085,-0.000691234574378
fitted_null,greedy_08_positive,30000,1,1.00826156797,0.00826156797489,2,2.01086168937,0.00543084468354
fitted_null,dense_dictionary_negative,30000,1,1.01814121037,0.0181412103726,2,2.0551822607,0.027591130348
fitted_null,greedy_01_negative,30000,1,1.00254931137,0.00254931136886,2,1.9823948211,-0.00880258945058
fitted_null,greedy_08_negative,30000,1,1.0142818352,0.0142818352004,2,2.03950201855,0.0197510092728
matched_margin,dense_dictionary_positive,30000,0.625660805008,0.63134137596,0.00907931407412,0.782902885846,0.794853519434,0.0152645159494
matched_margin,greedy_01_positive,30000,0.750969555678,0.737977668853,-0.0173001511528,1.12791054711,1.06158932559,-0.0588000721222
matched_margin,greedy_08_positive,30000,0.64892497032,0.66054328296,0.0179039383158,0.842207234209,0.848184314952,0.00709692401155
matched_margin,dense_dictionary_negative,30000,1.16114904067,1.15030370832,-0.00934017250552,2.69653418928,2.70634939546,0.00363993388694
matched_margin,greedy_01_negative,30000,1.09063234445,1.0910910755,0.000420610164214,2.37895782154,2.3279574388,-0.0214381197833
matched_margin,greedy_08_negative,30000,1.13335296835,1.12768508662,-0.00500098547558,2.56897790176,2.49259467464,-0.0297329249345
truth,dense_dictionary_positive,30000,1.47551439622,1.46039575314,-0.0102463541676,4.35428546693,4.15831615612,-0.0450060778745
truth,greedy_01_positive,30000,1.06435173108,1.06332745523,-0.000962347139558,2.26568921489,2.29863261731,0.0145401241278
truth,greedy_08_positive,30000,1.31199491643,1.3102888457,-0.00130036382641,3.44266132147,3.41431727992,-0.00823317744669
truth,dense_dictionary_negative,30000,0.495505060714,0.498246787515,0.0055331963649,0.491050530386,0.499305664887,0.0168111711324
truth,greedy_01_negative,30000,1.09197062336,1.0866066858,-0.00491216287187,2.38479968454,2.3686457786,-0.00677369510324
truth,greedy_08_negative,30000,0.72477338325,0.723856901746,-0.00126450767339,1.05059291414,1.05239102887,0.00171152375414
