branch,rectangle_index,rectangle_id,standardized_minimum_norm_coefficient,raw_rectangle_coefficient,filter_reconstruction_relative_error
negative,0,s000_001_t00_01,-0.000233125582174,-6.4049493131e-05,2.83340466183e-15
negative,1,s000_001_t00_02,0.000186164339644,4.14053745344e-05,2.83340466183e-15
negative,2,s000_001_t00_03,-0.000303407012915,-6.20887489576e-05,2.83340466183e-15
negative,3,s000_001_t00_04,0.000210852456989,4.15062298427e-05,2.83340466183e-15
negative,4,s000_001_t00_05,-0.000241085270084,-4.65522396509e-05,2.83340466183e-15
negative,5,s000_001_t00_06,8.35579681467e-05,1.59766086422e-05,2.83340466183e-15
negative,6,s000_001_t00_07,-7.82830290613e-05,-1.48919065608e-05,2.83340466183e-15
negative,7,s000_001_t01_02,0.000463090736638,0.000127230682616,2.83340466183e-15
negative,8,s000_001_t01_03,-0.000141037622607,-3.13686047427e-05,2.83340466183e-15
negative,9,s000_001_t01_04,0.000392836026222,8.03893660179e-05,2.83340466183e-15
negative,10,s000_001_t01_05,-7.87420346004e-05,-1.55003410113e-05,2.83340466183e-15
negative,11,s000_001_t01_06,0.00024822951498,4.7931754046e-05,2.83340466183e-15
negative,12,s000_001_t01_07,8.35579681467e-05,1.59766086422e-05,2.83340466183e-15
negative,13,s000_001_t02_03,-0.000637311743357,-0.00017509658849,2.83340466183e-15
negative,14,s000_001_t02_04,5.20699489077e-05,1.15810350179e-05,2.83340466183e-15
negative,15,s000_001_t02_05,-0.000426785000596,-8.73366324209e-05,2.83340466183e-15
negative,16,s000_001_t02_06,-7.87420346004e-05,-1.55003410113e-05,2.83340466183e-15
negative,17,s000_001_t02_07,-0.000241085270084,-4.65522396509e-05,2.83340466183e-15
negative,18,s000_001_t03_04,0.000701632729139,0.00019276829358,2.83340466183e-15
negative,19,s000_001_t03_05,5.20699489077e-05,1.15810350179e-05,2.83340466183e-15
negative,20,s000_001_t03_06,0.000392836026222,8.03893660179e-05,2.83340466183e-15
negative,21,s000_001_t03_07,0.000210852456989,4.15062298427e-05,2.83340466183e-15
negative,22,s000_001_t04_05,-0.000637311743357,-0.00017509658849,2.83340466183e-15
negative,23,s000_001_t04_06,-0.000141037622607,-3.13686047427e-05,2.83340466183e-15
negative,24,s000_001_t04_07,-0.000303407012915,-6.20887489576e-05,2.83340466183e-15
negative,25,s000_001_t05_06,0.000463090736637,0.000127230682616,2.83340466183e-15
negative,26,s000_001_t05_07,0.000186164339644,4.14053745344e-05,2.83340466183e-15
negative,27,s000_001_t06_07,-0.000233125582174,-6.4049493131e-05,2.83340466183e-15
negative,28,s000_002_t00_01,-0.000812696527506,-0.000202107264308,2.83340466183e-15
