filter_name,family,branch,rectangle_count,objective_mu,constrained_relative_residual,v0,v_matched,v_true,delta_intrinsic,delta_compensation,delta_total,rho_fitted,rho_matched,g_fitted,g_matched,interaction_absolute_share,maximum_per_anchor_temporal_sum_error,maximum_per_time_spatial_sum_error,same_sign_as_dense_extreme,fraction_of_dense_extreme_magnitude,fraction_of_full_extreme_magnitude
full_intrinsic_positive,full_space,positive,,1.05107467826,1.19427248451e-15,1,2.23063910339,3.28171378165,1.05107467826,1.23063910339,2.28171378165,3.28171378165,1.47119889393,0.546674000651,0.0425606257178,0.4606514133,0.0947339843378,0.261121541907,True,1.23677147349,1
dense_dictionary_positive,dense_dictionary,positive,,0.849853591217,7.34447638807e-16,1,0.625660805008,1.47551439622,0.849853591217,-0.374339194992,0.475514396224,1.47551439622,2.35832960034,0.0432538620132,0.250188014188,0.694215486965,9.08995101412e-16,1.39124822773e-15,True,1,0.808556812177
greedy_01_positive,greedy,positive,1,0.313382175398,0,1,0.750969555678,1.06435173108,0.313382175398,-0.249030444322,0.0643517310757,1.06435173108,1.41730343531,0.000992910232316,0.0342736791406,0.557210425957,0,0,True,0.368748427537,0.298154053065
greedy_02_positive,greedy,positive,2,0.458671560803,1.43507845603e-16,1,0.694138087164,1.15280964797,0.458671560803,-0.305861912836,0.152809647967,1.15280964797,1.66077855298,0.00530375656971,0.0767460263704,0.59993653204,0,0,True,0.53970656304,0.436383418123
greedy_04_positive,greedy,positive,4,0.548518045551,9.85980241624e-17,1,0.675615848509,1.22413389406,0.548518045551,-0.324384151491,0.224133894059,1.22413389406,1.81187859456,0.0109501626903,0.10875719499,0.628384310876,1.38777878078e-17,0,True,0.645426519602,0.521864009184
greedy_08_positive,greedy,positive,8,0.663069946108,4.23265182299e-16,1,0.64892497032,1.31199491643,0.663069946108,-0.35107502968,0.311994916428,1.31199491643,2.02179755201,0.0202230502937,0.158905279534,0.653821654634,0,0,True,0.780216678451,0.630849510336
full_intrinsic_negative,full_space,negative,,-1.11146409641,7.14007711379e-16,1,1.4862540656,0.374789969184,-1.11146409641,0.486254065597,-0.625210030816,0.374789969184,0.25217086221,0.178089730638,0.314909629397,0.695657170858,1.28369537222e-16,0.96237703726,True,1.66975760299,1
dense_dictionary_negative,dense_dictionary,negative,,-0.665643979953,1.03115462591e-15,1,1.16114904067,0.495505060714,-0.665643979953,0.161149040667,-0.504494939286,0.495505060714,0.42673682995,0.0988413863152,0.139162304505,0.805091435646,4.19803081186e-16,9.92261828259e-16,True,1,0.598889322743
greedy_01_negative,greedy,negative,1,0.00133827890186,0,1,1.09063234445,1.09197062336,0.00133827890186,0.0906323444537,0.0919706233556,1.09197062336,1.00122706695,0.00199332404188,3.76115675504e-07,0.0145511561522,0,0,False,0.00201050252412,0.00120406849504
greedy_02_negative,greedy,negative,2,-0.0993278821166,2.66545997911e-16,1,0.951940299415,0.852612417299,-0.0993278821166,-0.0480597005847,-0.147387582701,0.852612417299,0.895657445979,0.00603131400895,0.00292734992136,0.673923001491,0,0,True,0.149220732265,0.0893667032855
greedy_04_negative,greedy,negative,4,-0.225203903963,3.79773423588e-16,1,0.967443820816,0.742239916853,-0.225203903963,-0.0325561791835,-0.257760083147,0.742239916853,0.767217590192,0.0201613334267,0.0161012090443,0.873695807411,0,0,True,0.338324856448,0.202619144145
greedy_08_negative,greedy,negative,8,-0.408579585104,3.10253922495e-16,1,1.13335296835,0.72477338325,-0.408579585104,0.133352968354,-0.27522661675,0.72477338325,0.639494847137,0.0233348155333,0.043285781388,0.753930692107,0,2.77555756156e-17,True,0.61381098216,0.367604843398
