basis,mode,candidate_roles,time_index,anchor_rank,moving_latitude,moving_longitude,weight
fitted_null,1,top_total_gt,0,1,-0.463680213167,126.027019875,0.00891423366804
fitted_null,1,top_total_gt,0,2,-2.9701870375,130.68454125,0.00108670790551
fitted_null,1,top_total_gt,0,3,1.29708925833,130.947421667,0.000511213828185
fitted_null,1,top_total_gt,0,4,-2.92987918333,122.494231708,-2.47343615737e-06
fitted_null,1,top_total_gt,0,5,1.42743225417,122.420818625,0.00106453128152
fitted_null,1,top_total_gt,0,6,-2.97089760833,126.856669167,1.77236796652e-05
fitted_null,1,top_total_gt,0,7,-0.77269883875,129.499410833,-0.00679817978859
fitted_null,1,top_total_gt,0,8,-0.725738504167,122.741743167,-0.00098097495088
fitted_null,1,top_total_gt,0,9,1.4274959875,127.600654917,-0.00131751689394
fitted_null,1,top_total_gt,0,10,1.1645651125,125.012591708,-0.000555816593499
fitted_null,1,top_total_gt,0,11,-2.00316435833,124.698922792,0.000374366256217
fitted_null,1,top_total_gt,0,12,-1.56389771542,127.6011175,-0.00925160257719
fitted_null,1,top_total_gt,0,13,0.592594635417,129.165755167,0.00284417429691
fitted_null,1,top_total_gt,0,14,-2.61796369167,128.79609425,0.000967763685488
fitted_null,1,top_total_gt,0,15,-1.65013064167,130.920257917,-0.0030950268207
fitted_null,1,top_total_gt,0,16,0.41464390875,123.551635958,-0.00101147192153
fitted_null,1,top_total_gt,0,17,0.0663052595417,130.816265417,0.0040836324094
fitted_null,1,top_total_gt,0,18,0.284646368333,127.340512792,-0.0129049943411
fitted_null,1,top_total_gt,0,19,-0.857858500833,124.397121458,0.00171381089123
fitted_null,1,top_total_gt,0,20,-2.97308299167,125.245385417,-0.000353393498963
fitted_null,1,top_total_gt,0,21,-1.47699247875,126.076770417,0.00140780148455
fitted_null,1,top_total_gt,0,22,-0.596738372042,128.021699625,0.026117999338
fitted_null,1,top_total_gt,0,23,0.24035189125,125.095227292,-0.00654916624469
fitted_null,1,top_total_gt,0,24,0.944637900833,126.414588417,-0.00498760065199
fitted_null,1,top_total_gt,0,25,-1.65129030417,129.243026042,-0.0134308929337
fitted_null,1,top_total_gt,0,26,1.42847417083,129.596902917,-0.0025034716197
fitted_null,1,top_total_gt,0,27,1.425674125,123.739322125,0.000421390698433
fitted_null,1,top_total_gt,0,28,-0.815498235833,130.74365375,-0.013409259487
fitted_null,1,top_total_gt,0,29,-2.79744975417,124.062144375,-0.000197948518915
fitted_null,1,top_total_gt,0,30,-2.2661012125,125.817022458,-0.00117260358739
fitted_null,1,top_total_gt,0,31,-2.35519175,127.676190458,-0.0062812001783
fitted_null,1,top_total_gt,0,32,0.63544099375,122.418118375,0.000429590871075
fitted_null,1,top_total_gt,0,33,-0.859535393333,126.954802042,0.0171754448432
fitted_null,1,top_total_gt,0,34,-2.31287167917,129.793940833,0.0014119724568
fitted_null,1,top_total_gt,0,35,-0.111612957292,128.868081083,0.0264693894554
fitted_null,1,top_total_gt,0,36,0.725231845833,130.316498333,0.00276591137464
fitted_null,1,top_total_gt,0,37,-0.287432366958,123.693280042,-0.00795101622113
fitted_null,1,top_total_gt,0,38,0.8109373025,128.091678542,-0.00529533084008
fitted_null,1,top_total_gt,0,39,-2.00174307083,126.761534625,-0.00497806869314
fitted_null,1,top_total_gt,0,40,0.283510766667,126.159424417,-0.0027411333775
fitted_null,1,top_total_gt,0,41,-1.21045327375,128.490429167,0.000314569569088
fitted_null,1,top_total_gt,0,42,-0.154745848896,129.876729583,0.0125983919519
fitted_null,1,top_total_gt,0,43,-1.38866200208,125.081664083,0.00465229024875
fitted_null,1,top_total_gt,0,44,-2.9702691875,129.661497917,0.00167519930495
