basis,mode,time_index,leading_temporal_factor,time_energy_fraction
fitted_null,1,0,-0.591315920469,0.206627884593
fitted_null,1,1,-0.291829622901,0.0826854309674
fitted_null,1,2,-0.245311240616,0.111616574635
fitted_null,1,3,-0.00445255445519,0.116103317678
fitted_null,1,4,0.0880442257715,0.0823192834166
fitted_null,1,5,0.226995229843,0.107986001015
fitted_null,1,6,0.28429829067,0.0811077774533
fitted_null,1,7,0.604052468948,0.21155373024
fitted_null,2,0,-0.585767148108,0.197902418513
fitted_null,2,1,-0.276947775288,0.0777189138717
fitted_null,2,2,-0.235500717308,0.106929902149
fitted_null,2,3,-0.00825450421386,0.132683463175
fitted_null,2,4,0.10417059097,0.100673337022
fitted_null,2,5,0.250319655819,0.103338711911
fitted_null,2,6,0.291613255159,0.0804352977444
fitted_null,2,7,0.605060592479,0.200317955614
fitted_null,3,0,-0.541134344078,0.156198227429
fitted_null,3,1,-0.321766913308,0.0741962482459
fitted_null,3,2,-0.304730253954,0.0906876325852
fitted_null,3,3,-0.115905253078,0.114219616321
fitted_null,3,4,-0.149340683431,0.117138693544
fitted_null,3,5,0.36320811169,0.174816030398
fitted_null,3,6,0.219317262289,0.086848061011
fitted_null,3,7,0.543159540219,0.185895490466
fitted_null,4,0,-0.587729626956,0.178733971973
fitted_null,4,1,-0.284341132237,0.0669351225069
fitted_null,4,2,-0.258670632414,0.131793254105
fitted_null,4,3,-0.00929436303011,0.114133801962
fitted_null,4,4,0.109128634689,0.116806181981
fitted_null,4,5,0.231772473289,0.0963906684104
fitted_null,4,6,0.269236312339,0.101174216347
fitted_null,4,7,0.607133753545,0.194032782715
fitted_null,5,0,0.0130163327955,0.00148091034258
fitted_null,5,1,0.17945329945,0.0351222366931
fitted_null,5,2,-0.636299641814,0.399079354411
fitted_null,5,3,0.700201600108,0.482061736221
fitted_null,5,4,-0.203943328741,0.0495116282133
fitted_null,5,5,-0.141173939261,0.0206397979255
fitted_null,5,6,0.104452932776,0.0111755204731
fitted_null,5,7,-0.00584771766965,0.000928815721256
fitted_null,6,0,-0.59249383664,0.210244214582
fitted_null,6,1,-0.281746798479,0.0696315381323
fitted_null,6,2,-0.272297236724,0.118296455408
fitted_null,6,3,-0.00676025450906,0.108488960213
fitted_null,6,4,0.0996437807745,0.0952398676773
fitted_null,6,5,0.234412928125,0.105920321285
