basis,mode,candidate_roles,component,time_lag_hours,spatial_bin_index,spatial_norm_lower,spatial_norm_upper,signed_quadratic_contribution,absolute_pair_contribution,mean_ordered_pair_count,fraction_of_component_absolute_pair_contribution
fitted_null,1,top_total_gt,intrinsic_interaction,0,0,0,0.5,0,0,800,0
fitted_null,1,top_total_gt,intrinsic_interaction,0,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,0,2,1,2,0,0,150.666666667,0
fitted_null,1,top_total_gt,intrinsic_interaction,0,3,2,3,0,0,2187.33333333,0
fitted_null,1,top_total_gt,intrinsic_interaction,0,4,3,4,0,0,2146.66666667,0
fitted_null,1,top_total_gt,intrinsic_interaction,0,5,4,6,0,0,5468,0
fitted_null,1,top_total_gt,intrinsic_interaction,0,6,6,inf,0,0,69247.3333333,0
fitted_null,1,top_total_gt,intrinsic_interaction,1,0,0,0.5,0.0242893611305,0.0275720101071,1400,0.052115304824
fitted_null,1,top_total_gt,intrinsic_interaction,1,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,1,2,1,2,0.00670822643303,0.00961674181442,265.333333333,0.0181771089277
fitted_null,1,top_total_gt,intrinsic_interaction,1,3,2,3,0.0433689493956,0.0615981402524,3840,0.116429881005
fitted_null,1,top_total_gt,intrinsic_interaction,1,4,3,4,0.00775991474825,0.0147757735858,3720,0.0279284659133
fitted_null,1,top_total_gt,intrinsic_interaction,1,5,4,6,0.000803057149455,0.0109846352576,9580.66666667,0.0207626361882
fitted_null,1,top_total_gt,intrinsic_interaction,1,6,6,inf,-0.000440106415355,0.00189808680409,121194,0.00358767358612
fitted_null,1,top_total_gt,intrinsic_interaction,2,0,0,0.5,0.0167341053034,0.0227543707798,1200,0.0430092316324
fitted_null,1,top_total_gt,intrinsic_interaction,2,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,2,2,1,2,0.00623667747159,0.0130563767603,286,0.0246785436432
fitted_null,1,top_total_gt,intrinsic_interaction,2,3,2,3,0.0361297662191,0.0715446519118,3264,0.135230305242
fitted_null,1,top_total_gt,intrinsic_interaction,2,4,3,4,0.00725445109534,0.0186281163756,3124,0.0352099814066
fitted_null,1,top_total_gt,intrinsic_interaction,2,5,4,6,0.000830568670546,0.0147864083142,8262.66666667,0.027948567172
fitted_null,1,top_total_gt,intrinsic_interaction,2,6,6,inf,-0.00050656977153,0.00254427924593,103863.333333,0.00480907586876
fitted_null,1,top_total_gt,intrinsic_interaction,3,0,0,0.5,0.00558749964883,0.0112458808305,1000,0.0212564301703
fitted_null,1,top_total_gt,intrinsic_interaction,3,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,3,2,1,2,0.00220178160598,0.0116117095985,263.333333333,0.0219479023439
fitted_null,1,top_total_gt,intrinsic_interaction,3,3,2,3,0.0126451197376,0.0511747263781,2689.33333333,0.096728038838
fitted_null,1,top_total_gt,intrinsic_interaction,3,4,3,4,0.0038081648738,0.0163814732449,2601.33333333,0.0309634831959
fitted_null,1,top_total_gt,intrinsic_interaction,3,5,4,6,0.000507224725895,0.0135637568601,6908.66666667,0.0256375694257
fitted_null,1,top_total_gt,intrinsic_interaction,3,6,6,inf,-0.000244193631421,0.00234393742171,86537.3333333,0.00443039926165
fitted_null,1,top_total_gt,intrinsic_interaction,4,0,0,0.5,0.000190320508558,0.00489673803519,800,0.00925558181491
fitted_null,1,top_total_gt,intrinsic_interaction,4,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,4,2,1,2,-0.00221364272488,0.00625318073231,172,0.0118194654187
fitted_null,1,top_total_gt,intrinsic_interaction,4,3,2,3,0.000902258127281,0.0371466634468,2185.33333333,0.0702128601145
fitted_null,1,top_total_gt,intrinsic_interaction,4,4,3,4,0.0015635586331,0.0119101753376,2104,0.0225120481174
fitted_null,1,top_total_gt,intrinsic_interaction,4,5,4,6,-0.000311363118553,0.0104454845349,5488.66666667,0.0197435590824
fitted_null,1,top_total_gt,intrinsic_interaction,4,6,6,inf,-9.62006580948e-05,0.00189850260529,69250,0.00358845951381
fitted_null,1,top_total_gt,intrinsic_interaction,5,0,0,0.5,-0.000729858655591,0.00137216520153,600,0.00259360153537
fitted_null,1,top_total_gt,intrinsic_interaction,5,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,5,2,1,2,-0.00168799483272,0.00243297500408,87.3333333333,0.00459869387377
fitted_null,1,top_total_gt,intrinsic_interaction,5,3,2,3,-0.00809231705034,0.025285539463,1672,0.0477935265378
fitted_null,1,top_total_gt,intrinsic_interaction,5,4,3,4,-0.000888160199155,0.00754214333107,1610.66666667,0.0142558013434
fitted_null,1,top_total_gt,intrinsic_interaction,5,5,4,6,-0.000298355202817,0.00719875128573,4106,0.0136067379981
fitted_null,1,top_total_gt,intrinsic_interaction,5,6,6,inf,0.000114471268059,0.00142379740119,51924,0.00269119426849
fitted_null,1,top_total_gt,intrinsic_interaction,6,0,0,0.5,-0.000430568139732,0.000591687430477,400,0.00111837949718
fitted_null,1,top_total_gt,intrinsic_interaction,6,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,6,2,1,2,-0.00140301301617,0.0015080972106,70,0.00285053376702
fitted_null,1,top_total_gt,intrinsic_interaction,6,3,2,3,-0.00695605388696,0.0118967510264,1098,0.0224866741216
fitted_null,1,top_total_gt,intrinsic_interaction,6,4,3,4,-0.00127771469066,0.00383073381523,1077.33333333,0.00724067123525
fitted_null,1,top_total_gt,intrinsic_interaction,6,5,4,6,-0.000316987643564,0.00387485824269,2734.66666667,0.00732407313372
fitted_null,1,top_total_gt,intrinsic_interaction,6,6,6,inf,0.000103729252253,0.000868834101718,34620,0.00164222898065
fitted_null,1,top_total_gt,intrinsic_interaction,7,0,0,0.5,-0.000489233829934,0.000498904132066,200,0.0009430049104
fitted_null,1,top_total_gt,intrinsic_interaction,7,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,intrinsic_interaction,7,2,1,2,-0.000947579025337,0.000979749313924,40.6666666667,0.00185187565027
fitted_null,1,top_total_gt,intrinsic_interaction,7,3,2,3,-0.00504291092168,0.00634944907671,548,0.012001427274
fitted_null,1,top_total_gt,intrinsic_interaction,7,4,3,4,-0.000978112237923,0.00193515184098,528.666666667,0.0036577321596
fitted_null,1,top_total_gt,intrinsic_interaction,7,5,4,6,-0.000387380039478,0.00223728783432,1377.33333333,0.0042288152736
fitted_null,1,top_total_gt,intrinsic_interaction,7,6,6,inf,0.000112571420548,0.000599134573253,17305.3333333,0.00113245573299
fitted_null,1,top_total_gt,fitted_null_compensation,0,0,0,0.5,0.00464006996595,0.00464006996595,800,0.0146166857113
fitted_null,1,top_total_gt,fitted_null_compensation,0,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,fitted_null_compensation,0,2,1,2,0.00216288611709,0.00241191272449,150.666666667,0.00759776695517
fitted_null,1,top_total_gt,fitted_null_compensation,0,3,2,3,0.0164547472561,0.0209949090714,2187.33333333,0.0661360690004
fitted_null,1,top_total_gt,fitted_null_compensation,0,4,3,4,0.00392851910717,0.00626577953641,2146.66666667,0.0197378338887
fitted_null,1,top_total_gt,fitted_null_compensation,0,5,4,6,0.00153194639652,0.0059038875039,5468,0.0185978376948
fitted_null,1,top_total_gt,fitted_null_compensation,0,6,6,inf,-0.000171130602123,0.00141889607239,69247.3333333,0.0044696649187
fitted_null,1,top_total_gt,fitted_null_compensation,1,0,0,0.5,-0.0130690435247,0.0166874603358,1400,0.0525671735206
fitted_null,1,top_total_gt,fitted_null_compensation,1,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,fitted_null_compensation,1,2,1,2,-0.00114115681943,0.00317725038985,265.333333333,0.0100086573512
fitted_null,1,top_total_gt,fitted_null_compensation,1,3,2,3,0.00237272072678,0.0183721128991,3840,0.0578739980366
fitted_null,1,top_total_gt,fitted_null_compensation,1,4,3,4,0.00219483696798,0.00395904241614,3720,0.0124713806342
fitted_null,1,top_total_gt,fitted_null_compensation,1,5,4,6,0.00209416746493,0.00373566934364,9580.66666667,0.0117677330553
fitted_null,1,top_total_gt,fitted_null_compensation,1,6,6,inf,5.99849850916e-05,0.000867374844846,121194,0.00273231774392
fitted_null,1,top_total_gt,fitted_null_compensation,2,0,0,0.5,-0.00963572418169,0.0159776827668,1200,0.050331303
fitted_null,1,top_total_gt,fitted_null_compensation,2,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,fitted_null_compensation,2,2,1,2,1.30083931788e-05,0.0061708398171,286,0.0194387642521
fitted_null,1,top_total_gt,fitted_null_compensation,2,3,2,3,0.0060811062789,0.0261198248428,3264,0.0822800676204
fitted_null,1,top_total_gt,fitted_null_compensation,2,4,3,4,0.00206939101039,0.00531479926239,3124,0.0167421506587
fitted_null,1,top_total_gt,fitted_null_compensation,2,5,4,6,0.0030829345496,0.00417641347823,8262.66666667,0.0131561212783
fitted_null,1,top_total_gt,fitted_null_compensation,2,6,6,inf,0.000280509845265,0.000573532849941,103863.333333,0.00180668599271
fitted_null,1,top_total_gt,fitted_null_compensation,3,0,0,0.5,-0.00317582775644,0.00862922993727,1000,0.0271829396645
fitted_null,1,top_total_gt,fitted_null_compensation,3,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,fitted_null_compensation,3,2,1,2,0.00277379919861,0.00686126968944,263.333333333,0.0216136875881
fitted_null,1,top_total_gt,fitted_null_compensation,3,3,2,3,0.0146015986124,0.0250061610363,2689.33333333,0.0787719149487
fitted_null,1,top_total_gt,fitted_null_compensation,3,4,3,4,0.00350379318562,0.00586276139245,2601.33333333,0.0184682863195
fitted_null,1,top_total_gt,fitted_null_compensation,3,5,4,6,0.00352817714155,0.00442119178562,6908.66666667,0.0139271974936
fitted_null,1,top_total_gt,fitted_null_compensation,3,6,6,inf,0.000273135683266,0.000512215402295,86537.3333333,0.00161352988355
fitted_null,1,top_total_gt,fitted_null_compensation,4,0,0,0.5,0.000677735841075,0.00389433108811,800,0.0122675334614
fitted_null,1,top_total_gt,fitted_null_compensation,4,1,0.5,1,0,0,0,0
fitted_null,1,top_total_gt,fitted_null_compensation,4,2,1,2,0.00509541621841,0.00573254244206,172,0.0180580835671
fitted_null,1,top_total_gt,fitted_null_compensation,4,3,2,3,0.0190955520556,0.0259417239516,2185.33333333,0.0817190319526
fitted_null,1,top_total_gt,fitted_null_compensation,4,4,3,4,0.0034252433544,0.00489365235937,2104,0.0154154956805
fitted_null,1,top_total_gt,fitted_null_compensation,4,5,4,6,0.00340568273077,0.00398564836665,5488.66666667,0.0125551920464
fitted_null,1,top_total_gt,fitted_null_compensation,4,6,6,inf,0.000203479414978,0.000466179818869,69250,0.00146851317919
fitted_null,1,top_total_gt,fitted_null_compensation,5,0,0,0.5,0.000751409036029,0.00123201187593,600,0.00388096095862
