dgp,replicate,seed,sample_count,statistic_empirical_over_separable,statistic_empirical_over_joint,empirical_mean_l_squared,joint_mean_variance_l,separable_mean_variance_l,empirical_h_ab,joint_h_ab,separable_h_ab,fit_signal_variance,fit_range_lat,fit_range_lon,fit_range_time,fit_advec_lat,fit_advec_lon,fit_nll,fit_steps,fit_converged,fit_max_abs_gradient,fit_objective_evaluations,plan_seconds,fit_seconds,replicate_seconds,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8
joint,0,20260924,29576,0.76881183979688716,0.98912568793908084,1.3370984460558344,1.3517983228620636,1.7391751490313716,0.089890369012900304,0.34817801591932762,6.771299124403618,21.611083286575941,0.72473759505443403,0.85075102291378624,4.3419259784690523,-0.018102453736144001,-0.19857124504586859,1.1943553694277853,1,True,2.9566718132899604e-05,20,1.8727993339998648,118.99383900000248,119.22718687501036,0.133803515677621,1.3530511597679531,-0.2649790454159599,0.073110251273662205,0.030204895116164799,0.15237837848391711,-0.040708991329153101,0.16271471392093589,1.2082411365853516
separable,0,20260924,29576,4.1948056426264557,1.3359095762552695,1.6024585140303589,1.199526182394965,0.38201019321291513,5.1929881044921231,0.57435287044338812,0.1938275147270504,8518.9002620229239,2378.0506741324157,2818.2026273749866,23681.83950473708,-0.014198584485034166,-0.19921943069834516,1.189408064003272,3,True,1.6057299397602724e-05,43,2.2351087499991991,247.51481587500894,247.75271025000256,-2.1668635642095868,2.0255442736837082,-0.76060015481276944,-0.43349006876524743,0.014034855733072555,0.34491779759235397,0.16868081758646089,-0.52906370136619163,-0.23116095898948363
