year,month,day_num,direction,lag,daily_mean,mean_pair_count,hour_1,n_pairs_hour_1,hour_2,n_pairs_hour_2,hour_3,n_pairs_hour_3,hour_4,n_pairs_hour_4,hour_5,n_pairs_hour_5,hour_6,n_pairs_hour_6,hour_7,n_pairs_hour_7,hour_8,n_pairs_hour_8
2022,7,1,lat,0.0000,0.0000,17981.6250,0.0000,18047,0.0000,18067,0.0000,18030,0.0000,18009,0.0000,18009,0.0000,18035,0.0000,17932,0.0000,17724.0000
2022,7,1,lat,0.0440,3.3535,17779.0000,2.5004,17874,3.5731,17898,4.2398,17846,4.2339,17821,3.7963,17820,3.4944,17838,2.8144,17708,2.1756,17427.0000
2022,7,1,lat,0.1320,4.5789,17437.6250,3.2141,17552,4.5703,17578,5.6972,17517,5.9914,17496,5.4764,17491,4.7325,17508,4.0036,17352,2.9456,17007.0000
2022,7,1,lat,0.1760,4.8097,17273.6250,3.3737,17390,4.8249,17418,5.7958,17354,6.2639,17334,5.7183,17327,4.9897,17349,4.3323,17189,3.1793,16828.0000
2022,7,1,lat,0.3960,5.6279,16473.1250,3.8477,16588,5.3288,16619,6.2900,16555,7.1797,16534,6.6246,16521,5.9878,16553,5.5663,16398,4.1982,16017.0000
2022,7,1,lat,0.6160,6.2477,15680.3750,4.3777,15790,5.7947,15819,6.7667,15769,7.7662,15744,7.3089,15729,6.6027,15756,6.2583,15611,5.1065,15225.0000
2022,7,1,lat,0.8360,6.8871,14890.6250,4.9129,14990,6.3709,15020,7.2926,14980,8.6741,14952,8.1243,14948,7.2793,14964,6.8188,14821,5.6242,14450.0000
2022,7,1,lat,1.0560,7.5688,14096.6250,5.5927,14191,6.9401,14221,7.9548,14181,9.3689,14154,8.9761,14151,7.9640,14172,7.4758,14031,6.2783,13672.0000
2022,7,1,lat,1.2760,8.2833,13304.0000,6.4383,13396,7.6947,13422,8.8330,13381,10.1267,13354,9.8548,13359,8.6608,13388,7.9030,13240,6.7550,12892.0000
2022,7,1,lat,1.4960,9.1834,12517.5000,7.3981,12606,8.5497,12625,9.9074,12583,11.3481,12559,10.7768,12569,9.4847,12593,8.5813,12459,7.4208,12146.0000
2022,7,1,lat,1.7160,10.2248,11734.1250,8.4220,11817,9.5577,11838,10.8095,11792,12.5403,11777,12.1782,11782,10.6397,11807,9.5387,11672,8.1122,11388.0000
2022,7,1,lat,1.9360,11.5290,10950.1250,9.8134,11029,10.7756,11048,12.2058,11003,14.3256,10990,13.7818,10992,11.8080,11017,10.5238,10886,8.9983,10636.0000
2022,7,1,lat,2.1560,12.7868,10172.1250,11.1010,10242,11.6585,10259,13.6663,10223,16.2117,10202,15.4558,10205,12.9410,10234,11.4686,10114,9.7919,9898.0000
2022,7,1,lon,0.0000,0.0000,17981.6250,0.0000,18047,0.0000,18067,0.0000,18030,0.0000,18009,0.0000,18009,0.0000,18035,0.0000,17932,0.0000,17724.0000
2022,7,1,lon,0.0630,3.4910,17806.8750,2.6417,17915,3.7347,17943,4.1960,17885,4.3055,17855,3.8489,17856,3.7502,17870,3.0084,17718,2.4425,17413.0000
2022,7,1,lon,0.1260,4.2232,17673.7500,3.0026,17798,4.4735,17829,5.0779,17758,5.3843,17723,4.7347,17721,4.4725,17749,3.7027,17578,2.9373,17234.0000
2022,7,1,lon,0.1800,4.6044,17548.2500,3.3045,17684,4.8279,17715,5.4471,17637,5.9007,17594,5.1796,17591,4.8575,17634,4.0719,17443,3.2457,17088.0000
2022,7,1,lon,0.3690,5.1094,17198.2500,3.6630,17342,4.9460,17373,5.7949,17291,6.5622,17241,5.8213,17233,5.4713,17293,4.7909,17084,3.8256,16729.0000
2022,7,1,lon,0.5580,5.4224,16855.5000,3.7153,17001,5.1956,17032,6.1255,16949,6.9036,16898,6.2257,16891,5.9394,16955,5.1958,16744,4.0782,16374.0000
2022,7,1,lon,0.7470,5.5483,16515.0000,3.8025,16659,5.3775,16691,6.2108,16608,6.9413,16556,6.5177,16549,6.1037,16614,5.2941,16399,4.1385,16044.0000
2022,7,1,lon,0.9360,5.6247,16177.7500,3.8736,16318,5.4875,16350,6.3069,16269,7.1762,16215,6.7430,16208,6.1222,16275,5.1433,16058,4.1453,15729.0000
2022,7,1,lon,1.1250,5.7250,15839.1250,3.9900,15976,5.5124,16008,6.4160,15927,7.4519,15875,6.9041,15867,6.0911,15932,5.2144,15725,4.2201,15403.0000
2022,7,1,lon,1.3140,5.8199,15502.1250,4.1470,15635,5.6208,15667,6.4978,15587,7.4906,15538,6.9303,15525,6.0952,15590,5.4250,15391,4.3523,15084.0000
2022,7,1,lon,1.5030,5.9319,15164.7500,4.1792,15293,5.6257,15325,6.5063,15247,7.6894,15197,7.1140,15184,6.1694,15249,5.5779,15059,4.5933,14764.0000
2022,7,1,lon,1.6920,6.0073,14826.6250,4.1763,14962,5.5950,14983,6.6732,14905,7.8539,14856,7.1315,14844,6.2576,14907,5.8127,14728,4.5583,14428.0000
2022,7,1,lon,1.8810,6.0629,14487.7500,4.1241,14620,5.4435,14641,6.7670,14563,7.9014,14516,7.2937,14502,6.3599,14565,5.8952,14385,4.7182,14110.0000
2022,7,2,lat,0.0000,0.0000,17668.3750,0.0000,17132,0.0000,17482,0.0000,17675,0.0000,17798,0.0000,17878,0.0000,17831,0.0000,17773,0.0000,17778.0000
2022,7,2,lat,0.0440,3.3977,17375.1250,2.8308,16726,3.2344,17131,3.4864,17392,3.7769,17548,4.1658,17634,3.3944,17571,3.4511,17505,2.8420,17494.0000
2022,7,2,lat,0.1320,5.4055,16945.1250,4.5864,16171,5.2857,16639,5.5966,16964,5.9477,17147,6.7899,17252,5.5453,17185,5.3754,17095,4.1167,17108.0000
2022,7,2,lat,0.1760,5.8987,16757.3750,5.0289,15938,5.8207,16438,6.1296,16778,6.3995,16966,7.3772,17078,6.0564,17007,5.8778,16916,4.4995,16938.0000
2022,7,2,lat,0.3960,7.4733,15934.6250,6.7695,14986,7.6998,15612,7.8248,15951,8.3381,16165,8.6705,16290,7.3107,16203,7.4440,16126,5.7289,16144.0000
2022,7,2,lat,0.6160,8.4644,15202.3750,7.9016,14244,8.7845,14884,8.8614,15219,9.5376,15475,9.5532,15563,8.2722,15485,8.3630,15385,6.4413,15364.0000
2022,7,2,lat,0.8360,9.2548,14452.3750,9.0905,13519,9.4442,14160,9.3653,14493,10.1022,14711,10.4635,14790,9.2127,14739,9.2175,14626,7.1423,14581.0000
2022,7,2,lat,1.0560,10.2490,13677.6250,10.4715,12737,10.4223,13418,10.4836,13716,10.8224,13896,11.2912,13993,10.4149,13971,10.2662,13867,7.8203,13823.0000
2022,7,2,lat,1.2760,11.5339,12905.0000,12.0776,11972,11.6521,12614,11.9211,12949,11.8968,13121,12.3538,13212,11.9373,13190,11.6538,13106,8.7790,13076.0000
2022,7,2,lat,1.4960,13.0281,12132.6250,13.7605,11223,13.1212,11835,13.3538,12165,13.6177,12335,13.7114,12434,13.2837,12402,13.2826,12343,10.0940,12324.0000
2022,7,2,lat,1.7160,14.5409,11357.2500,15.6268,10465,14.6664,11099,14.4549,11387,15.3304,11546,14.9678,11640,14.8985,11608,14.8244,11563,11.5577,11550.0000
2022,7,2,lat,1.9360,16.0544,10600.8750,17.3871,9826,16.2036,10392,15.7620,10636,16.5141,10761,16.2270,10847,16.4971,10817,16.5454,10767,13.2986,10761.0000
