year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2022,7,8,lat,Debiased_Whittle,4.2280,3.9947,3.9947,5.2696,0.1730,0.1454,0.9549,0.0270,-0.1214,0.4676
2022,7,8,lat,Vecchia_mm20,1.4832,1.2161,-1.2022,11.9798,0.4298,0.4289,1.9655,-0.0020,-0.0716,1.2737
2022,7,8,lon,Corridor_4x4_lag643,0.7580,0.6621,-0.2838,9.4116,0.2434,0.2266,1.1260,0.0100,-0.0713,0.7720
2022,7,8,lon,Debiased_Whittle,3.6678,3.4231,3.4231,5.2696,0.1730,0.1454,0.9549,0.0270,-0.1214,0.4676
2022,7,8,lon,Vecchia_mm20,1.9110,1.6309,-1.6218,11.9798,0.4298,0.4289,1.9655,-0.0020,-0.0716,1.2737
2022,7,9,lat,Corridor_4x4_lag643,2.7323,2.1211,1.3065,9.8838,0.2259,0.1908,1.2120,0.0250,-0.1979,1.5288
2022,7,9,lat,Debiased_Whittle,4.2039,3.3362,3.3311,7.7887,0.2004,0.1587,0.9086,-0.0605,0.0795,1.4408
2022,7,9,lat,Vecchia_mm20,2.0484,1.4129,1.3571,10.1947,0.3914,0.3685,2.0393,0.0290,-0.1599,2.3325
2022,7,9,lon,Corridor_4x4_lag643,1.5766,1.3564,0.4628,9.8838,0.2259,0.1908,1.2120,0.0250,-0.1979,1.5288
2022,7,9,lon,Debiased_Whittle,3.0095,2.5600,2.2818,7.7887,0.2004,0.1587,0.9086,-0.0605,0.0795,1.4408
2022,7,9,lon,Vecchia_mm20,0.8734,0.6759,0.5281,10.1947,0.3914,0.3685,2.0393,0.0290,-0.1599,2.3325
2022,7,10,lat,Corridor_4x4_lag643,1.8730,1.4846,0.2274,9.9370,0.2100,0.1992,1.2940,0.0056,-0.3099,1.4960
2022,7,10,lat,Debiased_Whittle,4.1045,3.3646,3.3646,6.5064,0.1338,0.1096,0.9013,-0.0112,-0.3772,1.2877
2022,7,10,lat,Vecchia_mm20,1.4255,1.2295,-1.0365,12.0629,0.4520,0.4892,2.4367,0.0073,-0.2693,2.5742
2022,7,10,lon,Corridor_4x4_lag643,1.2551,1.0771,-1.0738,9.9370,0.2100,0.1992,1.2940,0.0056,-0.3099,1.4960
2022,7,10,lon,Debiased_Whittle,2.2369,1.8827,1.8770,6.5064,0.1338,0.1096,0.9013,-0.0112,-0.3772,1.2877
2022,7,10,lon,Vecchia_mm20,2.3920,2.0597,-2.0588,12.0629,0.4520,0.4892,2.4367,0.0073,-0.2693,2.5742
2022,7,11,lat,Corridor_4x4_lag643,1.9084,1.4390,1.0804,5.9939,0.1915,0.2049,1.0377,-0.0236,-0.2359,1.3456
2022,7,11,lat,Debiased_Whittle,2.8396,2.2368,2.0773,5.0045,0.1436,0.1381,0.8876,-0.0069,-0.4371,0.9998
2022,7,11,lat,Vecchia_mm20,0.7640,0.5861,0.2726,7.7134,0.4406,0.5486,2.1837,-0.0155,-0.1289,1.8289
2022,7,11,lon,Corridor_4x4_lag643,0.6592,0.5739,-0.3358,5.9939,0.1915,0.2049,1.0377,-0.0236,-0.2359,1.3456
2022,7,11,lon,Debiased_Whittle,1.1089,0.9417,0.6518,5.0045,0.1436,0.1381,0.8876,-0.0069,-0.4371,0.9998
2022,7,11,lon,Vecchia_mm20,1.1393,0.9824,-0.8755,7.7134,0.4406,0.5486,2.1837,-0.0155,-0.1289,1.8289
2022,7,12,lat,Corridor_4x4_lag643,4.7772,3.5112,3.0734,8.4238,0.2134,0.2091,1.1038,-0.0275,-0.1185,1.3961
2022,7,12,lat,Debiased_Whittle,4.8443,3.4280,3.3055,8.3647,0.2047,0.1782,1.1813,-0.0111,0.0429,1.3371
2022,7,12,lat,Vecchia_mm20,3.4552,2.3137,2.2759,9.7008,0.4259,0.5003,2.2076,-0.0174,-0.0921,2.3192
2022,7,12,lon,Corridor_4x4_lag643,1.0062,0.8857,-0.4973,8.4238,0.2134,0.2091,1.1038,-0.0275,-0.1185,1.3961
2022,7,12,lon,Debiased_Whittle,1.0936,0.8804,-0.3872,8.3647,0.2047,0.1782,1.1813,-0.0111,0.0429,1.3371
2022,7,12,lon,Vecchia_mm20,1.1968,1.0145,-0.9727,9.7008,0.4259,0.5003,2.2076,-0.0174,-0.0921,2.3192
