year,direction,model,n,rmse_mean,rmse_median
2022,lat,Corridor_4x4_lag643,28,2.4279,2.1033
2022,lat,Debiased_Whittle,28,3.6718,3.8022
2022,lat,Vecchia_mm20,28,1.9286,1.6284
2022,lon,Corridor_4x4_lag643,28,0.8110,0.7646
2022,lon,Debiased_Whittle,28,1.6032,1.2626
2022,lon,Vecchia_mm20,28,1.1104,1.0520
2023,lat,Corridor_4x4_lag643,28,4.0175,3.6236
2023,lat,Debiased_Whittle,28,5.4802,4.7796
2023,lat,Vecchia_mm20,28,3.0840,2.4736
2023,lon,Corridor_4x4_lag643,28,1.0000,1.0418
2023,lon,Debiased_Whittle,28,1.6558,1.5745
2023,lon,Vecchia_mm20,28,1.4060,1.4085
2024,lat,Corridor_4x4_lag643,28,2.5375,2.4572
2024,lat,Debiased_Whittle,28,3.8995,3.9006
2024,lat,Vecchia_mm20,28,1.6443,1.6656
2024,lon,Corridor_4x4_lag643,28,1.0618,0.9358
2024,lon,Debiased_Whittle,28,1.9035,1.8180
2024,lon,Vecchia_mm20,28,1.2226,1.1034
2025,lat,Corridor_4x4_lag643,28,2.8098,2.5416
2025,lat,Debiased_Whittle,28,4.8929,4.6338
2025,lat,Vecchia_mm20,28,2.1045,1.8498
2025,lon,Corridor_4x4_lag643,28,1.2763,1.1557
2025,lon,Debiased_Whittle,28,2.4818,2.5058
2025,lon,Vecchia_mm20,28,1.8644,1.8950
