year,month,day_num,direction,lag,mean_over_7_pairs,mean_pair_count,pair_1_2,n_pairs_1_2,pair_2_3,n_pairs_2_3,pair_3_4,n_pairs_3_4,pair_4_5,n_pairs_4_5,pair_5_6,n_pairs_5_6,pair_6_7,n_pairs_6_7,pair_7_8,n_pairs_7_8
2022,7,1,lat,-2.1560,13.0206,10186.0000,11.1479,10250,12.7303,10261,14.6590,10229,15.6739,10204,13.8629,10197,12.2034,10177,10.8669,9984.0000
2022,7,1,lat,-1.9360,11.7053,10969.1429,9.9336,11037,11.3542,11044,13.0082,11009,13.9314,10990,12.5664,10982,11.1677,10965,9.9760,10757.0000
2022,7,1,lat,-1.7160,10.4171,11755.5714,8.6323,11827,10.0950,11830,11.6058,11795,12.3045,11780,11.2677,11773,10.1706,11752,8.8440,11532.0000
2022,7,1,lat,-1.4960,9.3676,12540.5714,7.5752,12614,9.2688,12618,10.4882,12576,11.0193,12565,10.1404,12561,9.1008,12540,7.9807,12310.0000
2022,7,1,lat,-1.2760,8.4700,13329.2857,6.7515,13405,8.1945,13416,9.3613,13372,10.0808,13358,9.1929,13353,8.3636,13329,7.3452,13072.0000
2022,7,1,lat,-1.0560,7.8297,14120.7143,6.0074,14200,7.4556,14216,8.6314,14172,9.2671,14153,8.5424,14137,7.9067,14117,6.9973,13850.0000
2022,7,1,lat,-0.8360,7.2150,14913.8571,5.5097,15000,6.8579,15014,7.9897,14971,8.3703,14949,7.8967,14929,7.4000,14909,6.4807,14625.0000
2022,7,1,lat,-0.6160,6.6985,15701.5714,4.9757,15800,6.3330,15803,7.5093,15757,7.7798,15728,7.3738,15724,6.8755,15698,6.0427,15401.0000
2022,7,1,lat,-0.3960,6.2376,16486.2857,4.6713,16598,6.0413,16589,7.0707,16533,7.3608,16507,6.8462,16520,6.3379,16469,5.3350,16188.0000
2022,7,1,lat,-0.1760,5.6296,17271.4286,4.4734,17397,5.6419,17374,6.6855,17322,6.5803,17287,6.0017,17312,5.5932,17244,4.4307,16964.0000
2022,7,1,lat,-0.1320,5.5237,17428.4286,4.4431,17557,5.6274,17532,6.5959,17478,6.4141,17445,5.8532,17471,5.4383,17399,4.2939,17117.0000
2022,7,1,lat,-0.0440,4.9868,17742.1429,4.3015,17877,5.1414,17852,5.8520,17789,5.4597,17756,5.1872,17782,4.7935,17715,4.1721,17424.0000
2022,7,1,lat,0.0000,4.5010,17897.0000,4.0293,18037,4.5764,18013,5.0056,17946,4.8370,17915,4.6222,17935,4.4890,17862,3.9476,17571.0000
2022,7,1,lat,0.0440,4.9286,17743.7143,4.3585,17878,5.1763,17852,5.6123,17787,5.4904,17760,5.1058,17786,4.7222,17716,4.0348,17427.0000
2022,7,1,lat,0.1320,5.4838,17433.8571,4.5654,17563,5.5883,17536,6.4190,17471,6.3686,17453,5.8840,17476,5.2263,17410,4.3352,17128.0000
2022,7,1,lat,0.1760,5.6159,17277.4286,4.5915,17404,5.7359,17377,6.5737,17314,6.5038,17298,6.0644,17320,5.4135,17255,4.4283,16974.0000
2022,7,1,lat,0.3960,6.1255,16491.4286,4.9096,16609,6.0128,16584,7.0054,16536,7.1231,16514,6.6068,16539,6.1728,16463,5.0478,16195.0000
2022,7,1,lat,0.6160,6.5660,15705.4286,5.3644,15809,6.4537,15785,7.4036,15753,7.5723,15738,7.0020,15759,6.6062,15677,5.5598,15417.0000
2022,7,1,lat,0.8360,7.2076,14914.4286,6.0322,15010,7.0240,14986,8.1007,14961,8.3302,14951,7.7212,14980,7.1073,14881,6.1375,14632.0000
2022,7,1,lat,1.0560,7.8679,14118.0000,6.6849,14211,7.5947,14186,8.7992,14163,9.0842,14152,8.4796,14186,7.7040,14087,6.7286,13841.0000
2022,7,1,lat,1.2760,8.6737,13324.1429,7.4673,13413,8.3627,13387,9.7677,13363,10.1373,13355,9.3298,13394,8.3369,13300,7.3142,13057.0000
2022,7,1,lat,1.4960,9.5705,12533.7143,8.3092,12617,9.3669,12590,10.8286,12565,11.0486,12561,10.2694,12601,9.1200,12512,8.0512,12290.0000
2022,7,1,lat,1.7160,10.7021,11749.7143,9.2050,11828,10.3201,11800,11.9470,11774,12.6182,11779,11.6405,11817,10.3257,11727,8.8586,11523.0000
2022,7,1,lat,1.9360,11.9632,10964.7143,10.4250,11040,11.4517,11006,13.4725,10984,14.1304,10992,13.0390,11027,11.4856,10938,9.7383,10766.0000
2022,7,1,lat,2.1560,13.3047,10186.7143,11.5519,10251,12.7370,10221,15.1452,10196,15.9909,10203,14.5414,10242,12.5329,10172,10.6336,10022.0000
2022,7,1,lon,-1.8810,6.3864,14491.2857,4.9676,14620,6.3680,14594,7.5172,14532,7.6504,14510,6.8430,14524,5.9996,14455,5.3595,14204.0000
2022,7,1,lon,-1.6920,6.3148,14830.5714,5.1274,14962,6.2823,14936,7.4117,14874,7.5404,14848,6.8399,14866,5.7137,14798,5.2883,14530.0000
2022,7,1,lon,-1.5030,6.1730,15170.0000,4.9324,15304,6.2478,15278,7.3226,15215,7.3675,15188,6.7865,15207,5.4827,15138,5.0711,14860.0000
2022,7,1,lon,-1.3140,6.0875,15509.0000,4.8602,15646,6.2237,15620,7.1784,15556,7.3233,15529,6.6312,15548,5.4421,15479,4.9538,15185.0000
2022,7,1,lon,-1.1250,6.0449,15848.7143,4.8068,15986,6.1127,15961,7.0197,15897,7.1760,15866,6.6686,15890,5.5910,15820,4.9395,15521.0000
2022,7,1,lon,-0.9360,5.9583,16189.1429,4.7849,16328,6.0064,16303,6.8993,16239,6.8157,16206,6.5789,16231,5.6915,16159,4.9310,15858.0000
2022,7,1,lon,-0.7470,5.7519,16529.8571,4.6659,16669,5.7515,16644,6.6421,16578,6.5298,16547,6.1960,16572,5.6588,16499,4.8192,16200.0000
2022,7,1,lon,-0.5580,5.4937,16874.0000,4.4642,17011,5.7323,16985,6.3801,16925,6.2434,16904,5.7279,16915,5.3688,16839,4.5395,16539.0000
2022,7,1,lon,-0.3690,5.0766,17229.7143,4.3316,17353,5.2811,17326,6.0520,17291,5.7344,17279,5.2324,17263,4.8221,17182,4.0825,16914.0000
2022,7,1,lon,-0.1800,4.9314,17566.1429,4.1278,17695,5.3526,17669,5.7984,17614,5.5844,17583,5.2110,17602,4.6807,17526,3.7652,17274.0000
2022,7,1,lon,-0.1260,4.9063,17673.7143,4.1660,17809,5.3270,17782,5.7683,17719,5.5604,17687,5.1063,17709,4.6607,17638,3.7557,17372.0000
