year,model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time
2022,Debiased_Whittle,2022-07-16,3.7550,0.1750,0.1850,0.8729,0.0310,-0.0462,0.8658,-556187.8080,73.6509
2022,Vecchia_mm20,2022-07-16,8.8128,0.4696,0.6457,2.3981,0.0126,-0.1148,2.3046,1.2542,34.8627
2022,Corridor_4x4_lag643,2022-07-17,6.6508,0.2092,0.2238,0.8544,0.0191,-0.0709,1.4766,1.1333,22.2628
2022,Debiased_Whittle,2022-07-17,5.2310,0.1601,0.1632,0.7636,-0.1781,-0.5336,1.2778,-92126.6400,85.4551
2022,Vecchia_mm20,2022-07-17,7.0780,0.3561,0.3911,1.3574,0.0233,-0.0769,2.0265,1.2375,29.5540
2022,Corridor_4x4_lag643,2022-07-18,7.6444,0.3084,0.3780,1.5638,-0.0109,-0.0510,0.6578,0.8834,20.7583
2022,Debiased_Whittle,2022-07-18,4.5187,0.2022,0.2239,1.2366,-0.0007,-0.1727,0.2940,-919980.9120,77.9266
2022,Vecchia_mm20,2022-07-18,10.4509,0.6249,0.7294,2.8237,-0.0178,-0.0604,0.9167,1.0272,27.2243
2022,Corridor_4x4_lag643,2022-07-19,6.1156,0.1792,0.2162,1.0894,-0.0003,-0.2599,2.1204,1.2307,26.6131
2022,Debiased_Whittle,2022-07-19,4.2441,0.1402,0.1594,0.8880,-0.0041,-0.2906,1.4991,-91555.3120,89.4723
2022,Vecchia_mm20,2022-07-19,6.8634,0.3230,0.4290,1.7473,0.0110,-0.1879,2.8659,1.3384,41.4431
2022,Corridor_4x4_lag643,2022-07-20,6.7750,0.1309,0.1997,0.8787,0.0063,-0.0367,2.2777,1.3090,31.1905
2022,Debiased_Whittle,2022-07-20,7.0507,0.1250,0.2021,0.8906,0.0275,-0.3361,1.9019,326942.4480,96.4759
2022,Vecchia_mm20,2022-07-20,7.2778,0.1985,0.3409,1.3731,0.0080,-0.0864,2.7882,1.3954,42.9496
2022,Corridor_4x4_lag643,2022-07-21,7.7699,0.1992,0.2757,1.3788,0.0263,-0.0250,2.4246,1.2843,34.9080
2022,Debiased_Whittle,2022-07-21,7.9437,0.2734,0.3105,1.2304,0.0002,0.0016,1.9617,111980.2880,99.2291
2022,Vecchia_mm20,2022-07-21,8.9386,0.3279,0.5422,2.4406,0.0207,-0.0636,3.0788,1.3808,45.8819
2022,Corridor_4x4_lag643,2022-07-22,5.8252,0.1855,0.2188,1.2228,0.0053,-0.2808,2.2176,1.2340,28.0880
2022,Debiased_Whittle,2022-07-22,4.7308,0.1543,0.1557,1.1756,-0.0252,-0.3086,2.1122,163971.1360,115.5286
2022,Vecchia_mm20,2022-07-22,6.4981,0.3717,0.4927,2.6255,0.0227,-0.0441,3.0067,1.3186,41.0641
2022,Corridor_4x4_lag643,2022-07-23,5.1210,0.2030,0.1903,1.3480,0.0177,-0.0305,1.9271,1.1577,32.5203
2022,Debiased_Whittle,2022-07-23,3.6789,0.1457,0.1234,1.0953,0.0004,-0.0009,1.6865,-66845.3760,110.8251
2022,Vecchia_mm20,2022-07-23,5.4723,0.3754,0.4239,2.5367,0.0092,-0.0484,2.5358,1.2405,39.0081
2022,Corridor_4x4_lag643,2022-07-24,4.5545,0.2014,0.2112,2.3757,0.0061,-0.0107,2.2211,1.1591,33.0775
2022,Debiased_Whittle,2022-07-24,2.3522,0.0718,0.0721,0.9306,-0.0000,-0.0003,1.3251,-236815.4560,132.6211
2022,Vecchia_mm20,2022-07-24,9.5042,1.0656,1.2839,12.6092,0.0011,-0.0102,2.9453,1.2170,61.5074
2022,Corridor_4x4_lag643,2022-07-25,4.5479,0.1700,0.1786,0.9743,0.0008,-0.2056,2.1356,1.1925,26.2175
2022,Debiased_Whittle,2022-07-25,4.7258,0.2067,0.2172,1.1367,0.0256,-0.1614,1.4229,-220961.1040,91.6403
2022,Vecchia_mm20,2022-07-25,5.3679,0.3537,0.3842,2.1628,-0.0002,-0.0618,2.7596,1.2789,42.1784
2022,Corridor_4x4_lag643,2022-07-26,9.4906,0.2250,0.2372,1.3418,0.0337,-0.2360,1.5834,1.2261,22.0201
2022,Debiased_Whittle,2022-07-26,9.0862,0.2319,0.2514,1.5268,0.0296,-0.2618,1.4209,96268.7680,82.3257
2022,Vecchia_mm20,2022-07-26,9.8208,0.3295,0.4338,1.9178,0.0537,-0.1816,2.1909,1.3333,36.2722
2022,Corridor_4x4_lag643,2022-07-27,8.7649,0.2258,0.2513,1.5184,0.0662,-0.2468,1.6469,1.2054,25.2593
2022,Debiased_Whittle,2022-07-27,9.1775,0.2144,0.2447,1.6276,0.0637,-0.2831,1.5060,155401.2160,79.9919
2022,Vecchia_mm20,2022-07-27,10.0413,0.3401,0.4815,2.2943,0.0604,-0.1849,2.3192,1.3365,35.7167
2022,Corridor_4x4_lag643,2022-07-28,6.5085,0.1628,0.1364,0.8641,0.0354,-0.2918,1.7223,1.2433,21.3273
2022,Debiased_Whittle,2022-07-28,6.3062,0.1361,0.1064,0.7437,0.0784,-0.3548,1.5972,287806.4800,96.3790
2022,Vecchia_mm20,2022-07-28,6.5134,0.2717,0.2740,1.2763,0.0415,-0.1921,2.6018,1.3433,38.2351
2023,Corridor_4x4_lag643,2023-07-01,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065,1.3099,35.9331
2023,Debiased_Whittle,2023-07-1,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125,221389.6000,113.8644
2023,Vecchia_mm20,2023-07-1,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739,1.4257,53.8742
2023,Corridor_4x4_lag643,2023-07-02,10.2500,0.1464,0.1721,1.1986,0.0103,-0.0708,1.9485,1.3818,29.7113
2023,Debiased_Whittle,2023-07-2,8.2765,0.1281,0.1398,0.9891,0.0065,-0.0267,1.4579,378647.6320,103.5929
