temporal_lag,total_quadratic_contribution,fraction_of_signed_total
0,0.125347608957,-0.850462478994
1,-0.280192652804,1.90106010064
5,-0.0257711932203,0.174853218622
6,0.0455515901284,-0.309059890213
7,-0.0123229357628,0.0836090499415
