time_index,anchor_index,latitude_grid_index,longitude_grid_index,moving_latitude,moving_longitude,standardized_moving_latitude,standardized_moving_longitude,source_latitude,source_longitude,rectangle_1_weight_contribution,rectangle_2_weight_contribution,final_weight,is_nonzero
3,19,3,4,0.2,0.6,1,2,0.44,-1.11022302463e-16,0,-0,-0,False
3,20,4,0,0.4,-0.6,2,-2,0.64,-1.2,0,-0,-0,False
3,21,4,1,0.4,-0.3,2,-1,0.64,-0.9,0,-0,-0,False
3,22,4,2,0.4,0,2,0,0.64,-0.6,0,-0,-0,False
3,23,4,3,0.4,0.3,2,1,0.64,-0.3,0,-0,-0,False
3,24,4,4,0.4,0.6,2,2,0.64,-1.11022302463e-16,0,-0,-0,False
4,0,0,0,-0.4,-0.6,-2,-2,-0.08,-1.4,0,-0,-0,False
4,1,0,1,-0.4,-0.3,-2,-1,-0.08,-1.1,0,-0,-0,False
4,2,0,2,-0.4,0,-2,0,-0.08,-0.8,0,-0,-0,False
4,3,0,3,-0.4,0.3,-2,1,-0.08,-0.5,0,-0,-0,False
4,4,0,4,-0.4,0.6,-2,2,-0.08,-0.2,0,-0,-0,False
4,5,1,0,-0.2,-0.6,-1,-2,0.12,-1.4,0,-0,-0,False
4,6,1,1,-0.2,-0.3,-1,-1,0.12,-1.1,0,-0,-0,False
4,7,1,2,-0.2,0,-1,0,0.12,-0.8,0,-0,-0,False
4,8,1,3,-0.2,0.3,-1,1,0.12,-0.5,0,-0,-0,False
4,9,1,4,-0.2,0.6,-1,2,0.12,-0.2,0,-0,-0,False
4,10,2,0,0,-0.6,0,-2,0.32,-1.4,0,-0,-0,False
4,11,2,1,0,-0.3,0,-1,0.32,-1.1,0,-0,-0,False
4,12,2,2,0,0,0,0,0.32,-0.8,0,-0,-0,False
4,13,2,3,0,0.3,0,1,0.32,-0.5,0,-0,-0,False
4,14,2,4,0,0.6,0,2,0.32,-0.2,0,-0,-0,False
4,15,3,0,0.2,-0.6,1,-2,0.52,-1.4,0,-0,-0,False
4,16,3,1,0.2,-0.3,1,-1,0.52,-1.1,0,-0,-0,False
4,17,3,2,0.2,0,1,0,0.52,-0.8,0,-0,-0,False
4,18,3,3,0.2,0.3,1,1,0.52,-0.5,0,-0,-0,False
4,19,3,4,0.2,0.6,1,2,0.52,-0.2,0,-0,-0,False
4,20,4,0,0.4,-0.6,2,-2,0.72,-1.4,0,-0,-0,False
4,21,4,1,0.4,-0.3,2,-1,0.72,-1.1,0,-0,-0,False
4,22,4,2,0.4,0,2,0,0.72,-0.8,0,-0,-0,False
4,23,4,3,0.4,0.3,2,1,0.72,-0.5,0,-0,-0,False
4,24,4,4,0.4,0.6,2,2,0.72,-0.2,0,-0,-0,False
5,0,0,0,-0.4,-0.6,-2,-2,0,-1.6,0,-0,-0,False
5,1,0,1,-0.4,-0.3,-2,-1,0,-1.3,0,-0,-0,False
5,2,0,2,-0.4,0,-2,0,0,-1,0,-0,-0,False
5,3,0,3,-0.4,0.3,-2,1,0,-0.7,0,-0,-0,False
5,4,0,4,-0.4,0.6,-2,2,0,-0.4,0,-0,-0,False
5,5,1,0,-0.2,-0.6,-1,-2,0.2,-1.6,0,-0,-0,False
5,6,1,1,-0.2,-0.3,-1,-1,0.2,-1.3,0,-0,-0,False
5,7,1,2,-0.2,0,-1,0,0.2,-1,0,-0,-0,False
5,8,1,3,-0.2,0.3,-1,1,0.2,-0.7,0,-0,-0,False
5,9,1,4,-0.2,0.6,-1,2,0.2,-0.4,0,-0,-0,False
5,10,2,0,0,-0.6,0,-2,0.4,-1.6,0,-0,-0,False
5,11,2,1,0,-0.3,0,-1,0.4,-1.3,0,-0,-0,False
5,12,2,2,0,0,0,0,0.4,-1,0,-0,-0,False
5,13,2,3,0,0.3,0,1,0.4,-0.7,0,-0,-0,False
5,14,2,4,0,0.6,0,2,0.4,-0.4,0,-0,-0,False
5,15,3,0,0.2,-0.6,1,-2,0.6,-1.6,0,-0,-0,False
5,16,3,1,0.2,-0.3,1,-1,0.6,-1.3,0,-0,-0,False
5,17,3,2,0.2,0,1,0,0.6,-1,0,-0,-0,False
5,18,3,3,0.2,0.3,1,1,0.6,-0.7,0,-0,-0,False
5,19,3,4,0.2,0.6,1,2,0.6,-0.4,0,-0,-0,False
5,20,4,0,0.4,-0.6,2,-2,0.8,-1.6,0,-0,-0,False
5,21,4,1,0.4,-0.3,2,-1,0.8,-1.3,0,-0,-0,False
5,22,4,2,0.4,0,2,0,0.8,-1,0,-0,-0,False
5,23,4,3,0.4,0.3,2,1,0.8,-0.7,0,-0,-0,False
5,24,4,4,0.4,0.6,2,2,0.8,-0.4,0,-0,-0,False
6,0,0,0,-0.4,-0.6,-2,-2,0.08,-1.8,0,-0,-0,False
6,1,0,1,-0.4,-0.3,-2,-1,0.08,-1.5,0,0.126735788204,0.126735788204,True
6,2,0,2,-0.4,0,-2,0,0.08,-1.2,0,-0,-0,False
6,3,0,3,-0.4,0.3,-2,1,0.08,-0.9,0,-0,-0,False
6,4,0,4,-0.4,0.6,-2,2,0.08,-0.6,0,-0,-0,False
6,5,1,0,-0.2,-0.6,-1,-2,0.28,-1.8,0,-0,-0,False
6,6,1,1,-0.2,-0.3,-1,-1,0.28,-1.5,0,-0,-0,False
6,7,1,2,-0.2,0,-1,0,0.28,-1.2,0,-0,-0,False
6,8,1,3,-0.2,0.3,-1,1,0.28,-0.9,0,-0,-0,False
6,9,1,4,-0.2,0.6,-1,2,0.28,-0.6,0,-0,-0,False
6,10,2,0,0,-0.6,0,-2,0.48,-1.8,0,-0,-0,False
6,11,2,1,0,-0.3,0,-1,0.48,-1.5,0,-0,-0,False
6,12,2,2,0,0,0,0,0.48,-1.2,0,-0,-0,False
6,13,2,3,0,0.3,0,1,0.48,-0.9,0,-0,-0,False
6,14,2,4,0,0.6,0,2,0.48,-0.6,0,-0,-0,False
