date,method,residual_lanczos_steps,target_mode_fraction,estimated_mode_fraction,cumulative_energy_per_n,precision_threshold
2024-07-13,lat_range_3x,128,0.0,0.0,0.0,-inf
2024-07-13,lat_range_3x,128,0.008333333333333333,0.008419036483931592,0.007829629647183515,0.007254664026134233
2024-07-13,lat_range_3x,128,0.016666666666666666,0.016854266895457232,0.017526263434002466,0.01644880821759854
2024-07-13,lat_range_3x,128,0.025,0.025033129075565867,0.02804866937962846,0.02682117170818719
2024-07-13,lat_range_3x,128,0.03333333333333333,0.0335234821928778,0.04044581523697857,0.03691324798802269
2024-07-13,lat_range_3x,128,0.041666666666666664,0.041792941525965764,0.05447393592193478,0.048626506776301315
2024-07-13,lat_range_3x,128,0.05,0.050086984072014604,0.06438960245282516,0.06166554165337348
2024-07-13,lat_range_3x,128,0.058333333333333334,0.05863430829012506,0.07493425819116344,0.07258035412271666
2024-07-13,lat_range_3x,128,0.06666666666666667,0.0668113136603585,0.08621517237738277,0.08428688772434573
2024-07-13,lat_range_3x,128,0.075,0.07517542329209047,0.10357366331567149,0.10069871558909449
2024-07-13,lat_range_3x,128,0.08333333333333333,0.08352508781619519,0.11672677680341137,0.1139611281753462
2024-07-13,lat_range_3x,128,0.09166666666666666,0.09182047675591128,0.13136163773567341,0.12778572729349646
2024-07-13,lat_range_3x,128,0.1,0.10030143096409172,0.13847129884434195,0.13763328567388133
2024-07-13,lat_range_3x,128,0.10833333333333334,0.10833543831760431,0.15381381487288304,0.152549090920201
2024-07-13,lat_range_3x,128,0.11666666666666667,0.11668560739628583,0.17067534067693615,0.16304021005524502
2024-07-13,lat_range_3x,128,0.125,0.12507053514185962,0.1875075501054098,0.1788511497175286
2024-07-13,lat_range_3x,128,0.13333333333333333,0.13351402421992037,0.1955671650568178,0.18982438974487398
2024-07-13,lat_range_3x,128,0.14166666666666666,0.14177160465842267,0.20470657016546828,0.20098210221250185
2024-07-13,lat_range_3x,128,0.15,0.15052572809222886,0.22234587424682145,0.2124685776022444
2024-07-13,lat_range_3x,128,0.15833333333333333,0.1583591473290373,0.23267345733578407,0.22392560574452314
2024-07-13,lat_range_3x,128,0.16666666666666666,0.16720433854290861,0.24308026247823725,0.23561670358167963
2024-07-13,lat_range_3x,128,0.175,0.1752976583351268,0.2545905305226133,0.24162226731288874
2024-07-13,lat_range_3x,128,0.18333333333333332,0.18350303674147414,0.2659975773258487,0.2534705137918165
2024-07-13,lat_range_3x,128,0.19166666666666665,0.19233797215491447,0.2771635551099945,0.2596922017757127
2024-07-13,lat_range_3x,128,0.2,0.20082771939888644,0.2902883938645696,0.27162998588814247
2024-07-13,lat_range_3x,128,0.20833333333333334,0.20914874518458956,0.30297912144462086,0.2775371417937269
2024-07-13,lat_range_3x,128,0.21666666666666667,0.2172846154447887,0.3163030472972535,0.2836812786372659
2024-07-13,lat_range_3x,128,0.225,0.2254323192591817,0.3163030472972535,0.28988730333381846
2024-07-13,lat_range_3x,128,0.23333333333333334,0.23341953557764578,0.3288649518123916,0.29626054870233254
2024-07-13,lat_range_3x,128,0.24166666666666667,0.24174540067166675,0.34141049107316535,0.30855614191714476
2024-07-13,lat_range_3x,128,0.25,0.25050072167263365,0.3543387553912182,0.3149821431002151
2024-07-13,lat_range_3x,128,0.2583333333333333,0.2589696635230188,0.36698381686498427,0.32752178733460297
2024-07-13,lat_range_3x,128,0.26666666666666666,0.2666750884501166,0.3801997473614677,0.3340371612488313
2024-07-13,lat_range_3x,128,0.275,0.2751966784843539,0.393687059839292,0.34663790021435675
2024-07-13,lat_range_3x,128,0.2833333333333333,0.2835205888397077,0.4066588889621556,0.35322519130555874
2024-07-13,lat_range_3x,128,0.2916666666666667,0.29192049065753345,0.42040271033312304,0.36590843366830833
2024-07-13,lat_range_3x,128,0.3,0.30021921805731583,0.43389474568651815,0.37253002919099293
2024-07-13,lat_range_3x,128,0.30833333333333335,0.308408944551087,0.44759429663262845,0.38530773194623436
2024-07-13,lat_range_3x,128,0.31666666666666665,0.3171811360764783,0.4605215225941146,0.3918141029542862
2024-07-13,lat_range_3x,128,0.325,0.32536620833146873,0.4732838326822439,0.4046911550869901
2024-07-13,lat_range_3x,128,0.3333333333333333,0.33384418929857185,0.4872532560668517,0.41129301016898445
2024-07-13,lat_range_3x,128,0.3416666666666667,0.3422585034384184,0.5023310555384675,0.4240066135673625
2024-07-13,lat_range_3x,128,0.35,0.35016935021339696,0.5171488086124243,0.43050266206967264
2024-07-13,lat_range_3x,128,0.35833333333333334,0.35876823319183515,0.5323687271386066,0.443221176501991
2024-07-13,lat_range_3x,128,0.36666666666666664,0.3673399951746682,0.5467014785630284,0.4497099054972148
2024-07-13,lat_range_3x,128,0.375,0.37533222760934026,0.5625374496569427,0.462298796129685
2024-07-13,lat_range_3x,128,0.3833333333333333,0.383395939517865,0.5784886729575364,0.468752355896952
2024-07-13,lat_range_3x,128,0.39166666666666666,0.39234503779681357,0.5947174092481673,0.475294040646379
2024-07-13,lat_range_3x,128,0.4,0.4007090335660488,0.6105837581179486,0.48767284081743606
2024-07-13,lat_range_3x,128,0.4083333333333333,0.4083692449709746,0.6105837581179486,0.493985722336096
2024-07-13,lat_range_3x,128,0.4166666666666667,0.4170014707260706,0.6263652387686898,0.5003303169452449
2024-07-13,lat_range_3x,128,0.425,0.42505566248695337,0.6431610988326288,0.5124871878474649
2024-07-13,lat_range_3x,128,0.43333333333333335,0.43390732801352677,0.6605036789434419,0.5186711611426684
2024-07-13,lat_range_3x,128,0.44166666666666665,0.4422028627370196,0.6787349442942534,0.524811788011099
2024-07-13,lat_range_3x,128,0.45,0.4507278399798372,0.6963260010503401,0.5367703888305921
2024-07-13,lat_range_3x,128,0.4583333333333333,0.4586042039483103,0.7150770317350711,0.5428464959401973
2024-07-13,lat_range_3x,128,0.4666666666666667,0.46668053719726105,0.7150770317350711,0.5488272378146882
2024-07-13,lat_range_3x,128,0.475,0.4755943856183013,0.7348441174168853,0.5547373634357589
2024-07-13,lat_range_3x,128,0.48333333333333334,0.4840029209995382,0.753695889042085,0.5606436230144971
2024-07-13,lat_range_3x,128,0.49166666666666664,0.4925583306147491,0.753695889042085,0.5664895249465867
2024-07-13,lat_range_3x,128,0.5,0.5001011728912514,0.7733905487763346,0.5722128480167475
2024-07-13,lat_range_3x,128,0.5083333333333333,0.50849937501391,0.793249028598859,0.578068306617155
2024-07-13,lat_range_3x,128,0.5166666666666666,0.5169018684995131,0.8123987352632352,0.589138308858241
2024-07-13,lat_range_3x,128,0.525,0.5259867133235583,0.8325598668297067,0.5946933457534066
2024-07-13,lat_range_3x,128,0.5333333333333333,0.5341192564388079,0.8325598668297067,0.6003058840290479
2024-07-13,lat_range_3x,128,0.5416666666666666,0.5422186933003385,0.8530249331439352,0.6057439028239693
2024-07-13,lat_range_3x,128,0.55,0.5505750464815232,0.8754155241537532,0.6111265618712813
2024-07-13,lat_range_3x,128,0.5583333333333333,0.5593013297580514,0.8754155241537532,0.6164646871171828
2024-07-13,lat_range_3x,128,0.5666666666666667,0.5669013851314316,0.8984479917096428,0.6216857089143978
2024-07-13,lat_range_3x,128,0.575,0.5757057626614661,0.9225363543898575,0.6270245156858378
2024-07-13,lat_range_3x,128,0.5833333333333334,0.5837604899379304,0.9225363543898575,0.6272094359771029
2024-07-13,lat_range_3x,128,0.5916666666666667,0.5919277150615387,0.9225363543898575,0.6322548491661529
2024-07-13,lat_range_3x,128,0.6,0.6002681015609821,0.9461244130159845,0.6373592309859026
2024-07-13,lat_range_3x,128,0.6083333333333333,0.6086433713434146,0.9707436932369287,0.6423432370038312
2024-07-13,lat_range_3x,128,0.6166666666666667,0.6172237725091219,0.9707436932369287,0.6473070429619192
2024-07-13,lat_range_3x,128,0.625,0.6258133163933614,0.9951323729020174,0.6521920827159763
2024-07-13,lat_range_3x,128,0.6333333333333333,0.6334900899709288,1.0205792547049948,0.656921893663628
2024-07-13,lat_range_3x,128,0.6416666666666666,0.642820609545976,1.0205792547049948,0.6571785446876391
2024-07-13,lat_range_3x,128,0.65,0.6507532894736714,1.0205792547049948,0.6618500618766813
2024-07-13,lat_range_3x,128,0.6583333333333333,0.658855303946647,1.0467335598181002,0.6664701023276663
2024-07-13,lat_range_3x,128,0.6666666666666666,0.6672008270628399,1.0751619330829267,0.671015408701874
2024-07-13,lat_range_3x,128,0.675,0.6758562610757902,1.0751619330829267,0.6712075349457289
2024-07-13,lat_range_3x,128,0.6833333333333333,0.6842556572675742,1.0751619330829267,0.6756439932708911
2024-07-13,lat_range_3x,128,0.6916666666666667,0.6916829197549434,1.102858206681142,0.6800376088899718
2024-07-13,lat_range_3x,128,0.7,0.7009106306193585,1.1335858321127423,0.6843096561692198
2024-07-13,lat_range_3x,128,0.7083333333333334,0.7087563057353091,1.1335858321127423,0.684500893478169
2024-07-13,lat_range_3x,128,0.7166666666666667,0.7182495430218232,1.1335858321127423,0.6886961004447555
2024-07-13,lat_range_3x,128,0.725,0.726167185683077,1.1636965421251957,0.6928520643124282
2024-07-13,lat_range_3x,128,0.7333333333333333,0.7341692575442179,1.1636965421251957,0.692986659186015
2024-07-13,lat_range_3x,128,0.7416666666666667,0.7423175204020838,1.1939043637668136,0.6970535312103038
2024-07-13,lat_range_3x,128,0.75,0.7505879191755581,1.1939043637668136,0.6972025763876925
2024-07-13,lat_range_3x,128,0.7583333333333333,0.7592168853583453,1.1939043637668136,0.7011693997341811
2024-07-13,lat_range_3x,128,0.7666666666666666,0.7679914091232521,1.226263388810972,0.7050447208818373
2024-07-13,lat_range_3x,128,0.775,0.7752766398307134,1.226263388810972,0.7051821278005295
2024-07-13,lat_range_3x,128,0.7833333333333333,0.7847452550478372,1.2619320810360108,0.7089570584692082
2024-07-13,lat_range_3x,128,0.7916666666666666,0.7924919561014367,1.2619320810360108,0.7090767725490101
2024-07-13,lat_range_3x,128,0.8,0.800757111178957,1.2619320810360108,0.7126986892580744
2024-07-13,lat_range_3x,128,0.8083333333333333,0.809049068805301,1.2619320810360108,0.7128103267727257
2024-07-13,lat_range_3x,128,0.8166666666666667,0.8177065778027209,1.3002293179565545,0.7164319759447582
2024-07-13,lat_range_3x,128,0.825,0.8262837954225165,1.3002293179565545,0.7165245600506037
2024-07-13,lat_range_3x,128,0.8333333333333334,0.8354410650679144,1.341368698052357,0.7199743537327158
