year,domain_group,domain_label,model_variant,local_eigen_rank,n_days,n_scores_mean,mean_y2_over_expected_mean,lambda_median_mean,lambda_p25_mean,lambda_p75_mean,lambda_p10_mean,lambda_p90_mean
2023,full,full,fine_tuned_gc,1,1,9268.000000,1.027534,24.534660,19.429423,34.768845,18.711914,41.419865
2023,full,full,fine_tuned_gc,2,1,9258.000000,0.966263,10.301495,8.849625,12.827520,8.706090,13.604987
2023,full,full,fine_tuned_gc,3,1,9251.000000,1.047503,9.027540,8.120307,11.578294,8.096621,12.873908
2023,full,full,fine_tuned_gc,4,1,9244.000000,0.987171,6.187333,5.774295,6.964547,5.754922,7.248459
2023,full,full,fine_tuned_gc,5,1,9235.000000,1.053935,5.490467,5.144369,5.993649,5.113719,6.187361
2023,full,full,fine_tuned_gc,6,1,9220.000000,1.060611,5.038367,4.713110,5.511226,4.698667,5.622317
2023,full,full,fine_tuned_gc,7,1,9209.000000,1.049438,4.381002,4.241969,4.587793,4.221825,4.640290
2023,full,full,fine_tuned_gc,8,1,9191.000000,0.978351,4.200202,4.073498,4.377252,4.066875,4.455192
2023,full,full,fine_tuned_gc,9,1,8841.000000,1.036419,3.901838,3.841798,3.986258,3.830733,4.010976
2023,full,full,fine_tuned_gc,10,1,8811.000000,1.041993,3.631167,3.543580,3.680212,3.540136,3.756695
2023,full,full,fine_tuned_gc,11,1,8794.000000,0.995743,3.552910,3.506816,3.613909,3.490427,3.630705
2023,full,full,fine_tuned_gc,12,1,8762.000000,1.078498,3.516381,3.489956,3.556265,3.480403,3.571994
2023,full,full,fine_tuned_gc,13,1,8553.000000,0.911655,3.346348,3.318297,3.382456,3.314525,3.401747
2023,full,full,fine_tuned_gc,14,1,8513.000000,0.959104,3.156821,3.140954,3.168946,3.134319,3.233188
2023,full,full,fine_tuned_gc,15,1,8440.000000,0.885491,3.090074,3.076436,3.100855,3.072159,3.122057
2023,full,full,fine_tuned_gc,16,1,8282.000000,0.898434,2.909145,2.904050,2.914233,2.901399,2.949513
2023,full,full,gc_a075_b1,1,1,9268.000000,1.027367,24.763057,19.623065,34.807471,18.918230,41.014381
2023,full,full,gc_a075_b1,2,1,9258.000000,0.957213,10.416015,8.937673,12.965483,8.789732,13.742818
2023,full,full,gc_a075_b1,3,1,9251.000000,1.038230,9.119118,8.188621,11.723110,8.164185,13.001546
2023,full,full,gc_a075_b1,4,1,9244.000000,0.980343,6.227280,5.802853,7.031289,5.782362,7.321240
2023,full,full,gc_a075_b1,5,1,9235.000000,1.049314,5.519223,5.162806,6.037993,5.131294,6.229578
2023,full,full,gc_a075_b1,6,1,9220.000000,1.056677,5.055360,4.720347,5.543620,4.706262,5.656621
2023,full,full,gc_a075_b1,7,1,9209.000000,1.048499,4.386260,4.241856,4.600825,4.221271,4.655118
2023,full,full,gc_a075_b1,8,1,9191.000000,0.977941,4.200115,4.069284,4.385137,4.062575,4.465121
2023,full,full,gc_a075_b1,9,1,8841.000000,1.037943,3.897118,3.835020,3.984476,3.823713,4.009592
2023,full,full,gc_a075_b1,10,1,8811.000000,1.045497,3.620699,3.529765,3.670824,3.526243,3.747863
2023,full,full,gc_a075_b1,11,1,8794.000000,0.999024,3.540569,3.493106,3.604565,3.476027,3.621278
2023,full,full,gc_a075_b1,12,1,8762.000000,1.083112,3.503237,3.475874,3.545096,3.466205,3.561192
2023,full,full,gc_a075_b1,13,1,8553.000000,0.916507,3.329649,3.300620,3.367327,3.296689,3.386165
2023,full,full,gc_a075_b1,14,1,8513.000000,0.965581,3.137040,3.120567,3.149658,3.113701,3.214525
2023,full,full,gc_a075_b1,15,1,8440.000000,0.891465,3.068875,3.054687,3.080104,3.050261,3.101736
2023,full,full,gc_a075_b1,16,1,8282.000000,0.906136,2.884790,2.879478,2.889945,2.876734,2.925754
2023,full,full,matern_s03,1,1,9268.000000,0.950697,27.014313,20.899570,39.446480,19.972087,46.981596
2023,full,full,matern_s03,2,1,9258.000000,0.925272,10.803119,9.093820,13.949827,8.904062,14.919625
2023,full,full,matern_s03,3,1,9251.000000,1.004047,9.284869,8.238822,12.344225,8.214804,14.083430
2023,full,full,matern_s03,4,1,9244.000000,0.974262,6.233902,5.766861,7.144655,5.741387,7.513329
2023,full,full,matern_s03,5,1,9235.000000,1.051458,5.497556,5.106429,6.076302,5.074313,6.299777
2023,full,full,matern_s03,6,1,9220.000000,1.063362,5.005088,4.643730,5.546302,4.631178,5.690853
2023,full,full,matern_s03,7,1,9209.000000,1.060285,4.327504,4.176656,4.558123,4.156104,4.622422
2023,full,full,matern_s03,8,1,9191.000000,0.990182,4.137151,3.999594,4.329170,3.993083,4.423799
2023,full,full,matern_s03,9,1,8841.000000,1.055449,3.829619,3.764448,3.923429,3.753389,3.948571
2023,full,full,matern_s03,10,1,8811.000000,1.066865,3.555530,3.457466,3.605873,3.454267,3.679462
2023,full,full,matern_s03,11,1,8794.000000,1.016651,3.478315,3.432922,3.546740,3.417247,3.562794
2023,full,full,matern_s03,12,1,8762.000000,1.097792,3.442215,3.415475,3.484249,3.405732,3.500921
2023,full,full,matern_s03,13,1,8553.000000,0.932534,3.268405,3.239643,3.307424,3.235990,3.326757
2023,full,full,matern_s03,14,1,8513.000000,0.978396,3.087869,3.072326,3.100297,3.065801,3.161557
2023,full,full,matern_s03,15,1,8440.000000,0.905715,3.020704,3.006994,3.031674,3.002927,3.053444
2023,full,full,matern_s03,16,1,8282.000000,0.916336,2.846847,2.841938,2.851652,2.839423,2.885843
